Date,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHo,CODo,NH3-No,Tempo,pHMBR,CODMBR
2021/1/1,0,0,49.4,2.9,8.1,2855,158.6,7.6,413,3.1,32,7.8,475
2021/1/2,0,0,49.4,4.1,8.2,2877,156.8,7.6,398,3.9,32,7.9,484
2021/1/3,0,0,49.4,4.2,8.2,3026,131.7,7.6,387,3.6,32,8,460
2021/1/4,27,0,49.4,3.1,8.2,3154,123.8,7.6,399,3.4,32,6.4,520
2021/1/5,0,0,49.4,3.8,8.1,2513,179.3,7.7,411,3.5,32,6.7,516
2021/1/6,0,0,49.4,3.8,8.1,2761,155.8,7.7,424,3.4,32,6.6,507
2021/1/7,0,0,49.3,4.7,8.1,2915,163.2,7.6,486,3.1,32,6.8,496
2021/1/8,0,0,49.3,6.2,8.1,2841,175.2,7.6,494,3,32,7.2,485
2021/1/9,0,0,49.3,6,8.1,2899,168.9,7.6,454,4.3,32,7,453
2021/1/10,0,0,49.2,5.3,8.1,2877,171.5,7.6,477,4.5,32,6.9,441
2021/1/11,0,0,49.2,4.3,8.2,3002,155.8,7.6,485,4.6,32,6.8,457
2021/1/12,0,0,49.1,5.9,8.2,3126,141.4,7.6,496,4.2,32,6.8,460
2021/1/13,42,0,49.1,3.8,8.3,3513,195.6,7.6,485,3.5,32,6.7,550
2021/1/14,59,0,49.2,4,8.1,2244.8,97.6,7.7,511,3.7,32,6.8,621
2021/1/15,300,0,49.1,5.9,8.1,2522,105.2,7.7,521,3.5,32,7,586
2021/1/16,179,0,49.1,4.4,8.1,2751,119.5,7.7,534,3.4,32,6.8,549
2021/1/17,135,0,49.1,4.6,8.1,2865,120.1,7.7,496,3.2,32,7,535
2021/1/18,155,0,49.1,4.7,8.1,2568,135.9,7.7,474,2.8,32,7,521
2021/1/19,186,0,49.1,3.1,8.2,2714,119.4,7.7,521,2.7,32,6.9,505
2021/1/20,227,0,49.1,4.6,8.2,2931,141.7,7.7,498,3,32,7,499
