Date,CODMBR,Diff1,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,475,0,31.5128,-51.5128,0
2021/1/2,484,9,32.5128,-50.5128,0
2021/1/3,460,-24,35.0128,-48.0128,0
2021/1/4,520,60,37.5128,-45.5128,1
2021/1/5,516,-4,35.0128,-48.0128,0
2021/1/6,507,-9,32.5128,-50.5128,0
2021/1/7,496,-11,31.5128,-51.5128,0
2021/1/8,485,-11,30.5128,-52.5128,0
2021/1/9,453,-32,42.96664,-64.96664,0
2021/1/10,441,-12,47.11792,-69.11792,0
2021/1/11,457,16,51.2692,-73.2692,0
2021/1/12,460,3,51.2692,-73.2692,0
2021/1/13,550,90,51.2692,-73.2692,1
2021/1/14,621,71,51.2692,-73.2692,1
2021/1/15,586,-35,51.2692,-73.2692,0
2021/1/16,549,-37,55.42048,-77.42048,0
2021/1/17,535,-14,59.57176,-81.57176,0
2021/1/18,521,-14,59.57176,-81.57176,0
2021/1/19,505,-16,64.57176,-76.57176,0
2021/1/20,499,-6,73.57176,-67.57176,0
2021/1/21,485,-14,73.57176,-67.57176,0
2021/1/22,491,6,64.57176,-76.57176,0
2021/1/23,503,12,64.57176,-76.57176,0
2021/1/24,492,-11,63.72304,-85.72304,0
2021/1/25,512,20,63.72304,-85.72304,0
2021/1/26,498,-14,63.72304,-85.72304,0
2021/1/27,509,11,68.72304,-80.72304,0
2021/1/28,556,47,80.72304,-68.72304,0
2021/1/29,602,46,80.72304,-68.72304,0
2021/1/30,622,20,98.17688,-76.17688,0
2021/1/31,588,-34,98.17688,-76.17688,0
2021/2/1,563,-25,98.17688,-76.17688,0
2021/2/2,574,11,98.17688,-76.17688,0
2021/2/3,545,-29,79.17688,-95.17688,0
2021/2/4,569,24,79.17688,-95.17688,0
2021/2/5,541,-28,79.17688,-95.17688,0
2021/2/6,580,39,81.17688,-93.17688,0
2021/2/7,601,21,79.17688,-95.17688,0
2021/2/8,586,-15,79.17688,-95.17688,0
2021/2/9,611,25,78.17688,-96.17688,0
2021/2/10,577,-34,74.17688,-100.17688,0
2021/2/11,564,-13,70.0256,-96.0256,0
2021/2/12,556,-8,74.0256,-92.0256,0
2021/2/13,536,-20,70.0256,-96.0256,0
2021/2/14,499,-37,32.5128,-50.5128,0
2021/2/15,521,22,32.5128,-50.5128,0
2021/2/16,515,-6,32.5128,-50.5128,0
2021/2/17,502,-13,28.5128,-54.5128,0
2021/2/18,512,10,28.5128,-54.5128,0
2021/2/19,503,-9,28.36152,-46.36152,0
2021/2/20,490,-13,20.05896,-38.05896,0
2021/2/21,472,-18,21.05896,-37.05896,0
2021/2/22,498,26,21.05896,-37.05896,1
2021/2/23,485,-13,21.05896,-37.05896,0
2021/2/24,477,-8,22.05896,-36.05896,0
2021/2/25,485,8,22.05896,-36.05896,0
2021/2/26,451,-34,22.05896,-36.05896,0
2021/2/27,421,-30,22.05896,-36.05896,0
2021/2/28,419,-2,22.05896,-36.05896,0
2021/3/1,429,10,22.05896,-36.05896,0
2021/3/2,431,2,26.21024,-40.21024,0
2021/3/3,424,-7,26.21024,-40.21024,0
2021/3/4,428,4,34.36152,-40.36152,0
2021/3/5,419,-9,30.36152,-44.36152,0
2021/3/6,412,-7,34.36152,-40.36152,0
2021/3/7,410,-2,35.36152,-39.36152,0
2021/3/8,402,-8,35.36152,-39.36152,0
2021/3/9,399,-3,35.36152,-39.36152,0
2021/3/10,406,7,35.36152,-39.36152,0
2021/3/11,359,-47,34.36152,-40.36152,1
2021/3/12,346,-13,34.36152,-40.36152,0
2021/3/13,355,9,30.36152,-44.36152,0
2021/3/14,364,9,30.36152,-44.36152,0
2021/3/15,340,-24,30.36152,-44.36152,0
2021/3/16,347,7,30.36152,-44.36152,0
2021/3/17,350,3,38.5128,-44.5128,0
2021/3/18,387,37,34.5128,-48.5128,1
2021/3/19,375,-12,34.5128,-48.5128,0
2021/3/20,367,-8,34.5128,-48.5128,0
2021/3/21,351,-16,34.5128,-48.5128,0
2021/3/22,361,10,34.5128,-48.5128,0
2021/3/23,354,-7,44.5128,-38.5128,0
2021/3/24,345,-9,44.5128,-38.5128,0
2021/3/25,353,8,34.5128,-48.5128,0
2021/3/26,345,-8,34.5128,-48.5128,0
2021/3/27,366,21,38.66408,-52.66408,0
2021/3/28,352,-14,38.66408,-52.66408,0
2021/3/29,341,-11,38.66408,-52.66408,0
2021/3/30,351,10,38.66408,-52.66408,0
2021/3/31,364,13,34.5128,-48.5128,0
2021/4/1,349,-15,37.5128,-45.5128,0
2021/4/2,353,4,34.5128,-48.5128,0
2021/4/3,360,7,37.5128,-45.5128,0
2021/4/4,346,-14,37.5128,-45.5128,0
2021/4/5,339,-7,41.66408,-49.66408,0
2021/4/6,325,-14,41.66408,-49.66408,0
2021/4/7,334,9,38.66408,-52.66408,0
2021/4/8,351,17,38.66408,-52.66408,0
2021/4/9,342,-9,41.66408,-49.66408,0
2021/4/10,338,-4,41.66408,-49.66408,0
2021/4/11,356,18,38.66408,-52.66408,0
2021/4/12,346,-10,38.66408,-52.66408,0
2021/4/13,362,16,38.66408,-52.66408,0
2021/4/14,351,-11,42.81536,-56.81536,0
2021/4/15,374,23,42.81536,-56.81536,0
2021/4/16,354,-20,45.96664,-61.96664,0
2021/4/17,344,-10,49.96664,-57.96664,0
2021/4/18,323,-21,45.96664,-61.96664,0
2021/4/19,346,23,45.96664,-61.96664,0
2021/4/20,385,39,45.96664,-61.96664,0
2021/4/21,374,-11,45.96664,-61.96664,0
2021/4/22,366,-8,45.96664,-61.96664,0
2021/4/23,378,12,45.96664,-61.96664,0
2021/4/24,389,11,50.11792,-66.11792,0
2021/4/25,331,-58,50.11792,-66.11792,0
2021/4/26,315,-16,50.11792,-66.11792,0
2021/4/27,365,50,51.11792,-65.11792,0
2021/4/28,356,-9,53.11792,-63.11792,0
2021/4/29,370,14,53.11792,-63.11792,0
