Date,CODMBR,resid,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,475,2.209867808,28.40291879,-34.57510748,0
2021/1/2,484,-3.086094347,26.86883545,-34.06811233,0
2021/1/3,460,-0.275875726,28.40291879,-34.57510748,0
2021/1/4,520,4.412796982,29.56094258,-35.45816217,0
2021/1/5,516,0.264919253,30.85504414,-36.47729462,0
2021/1/6,507,-4.113182534,33.27928589,-36.36628686,0
2021/1/7,496,-2.81112524,36.67867347,-37.23042492,0
2021/1/8,485,-4.267112555,37.54281154,-40.62981251,0
2021/1/9,453,-60.42529217,36.27518678,-41.89743726,1
2021/1/10,441,-51.87179725,41.50368454,-47.40090413,1
2021/1/11,457,-84.07933024,46.86402702,-53.03621571,1
2021/1/12,460,-74.75082484,47.83629083,-54.00847952,1
2021/1/13,550,14.26605357,47.80989583,-54.03487452,0
2021/1/14,621,78.50829751,48.44890245,-54.67388114,1
2021/1/15,586,65.09657458,47.44820926,-55.67457432,1
2021/1/16,549,13.74552661,47.44820926,-55.67457432,0
2021/1/17,535,31.98120885,48.30344206,-54.81934152,0
2021/1/18,521,-9.944332022,48.30344206,-54.81934152,0
2021/1/19,505,-3.112489345,48.44890245,-54.67388114,0
2021/1/20,499,-10.12498098,50.8518952,-52.27088838,0
2021/1/21,485,-33.9099766,51.24064666,-51.88213692,0
2021/1/22,491,0.883242507,51.80562768,-50.03914267,0
2021/1/23,503,-12.78466213,53.12800592,-48.71676443,0
2021/1/24,492,-0.709496592,52.61884972,-49.22592063,0
2021/1/25,512,-6.590970112,45.82547167,-44.05898666,0
2021/1/26,498,-0.320745132,44.62148404,-45.2629743,0
2021/1/27,509,-3.257949725,43.46519593,-44.10668619,0
2021/1/28,556,2.205620747,43.46519593,-44.10668619,0
2021/1/29,602,85.2890221,44.66918357,-42.90269855,1
2021/1/30,622,80.00944956,45.4824056,-42.08947652,1
2021/1/31,588,69.91444513,45.99156181,-41.58032031,1
2021/2/1,563,7.224830616,45.99156181,-41.58032031,0
2021/2/2,574,35.33238449,51.01077168,-36.56111045,0
2021/2/3,545,1.696464541,51.01077168,-36.56111045,0
2021/2/4,569,-5.696654184,51.01077168,-36.56111045,0
2021/2/5,541,-8.596055724,51.01077168,-36.56111045,0
2021/2/6,580,16.10380988,51.01077168,-36.56111045,0
2021/2/7,601,67.20304033,51.01077168,-36.56111045,1
2021/2/8,586,18.05094429,51.01077168,-36.56111045,0
2021/2/9,611,63.4833767,46.92171586,-40.65016626,1
2021/2/10,577,31.76977061,38.55559358,-35.16266449,0
2021/2/11,564,0.485942164,38.55559358,-35.16266449,0
2021/2/12,556,16.86063845,34.41816634,-31.02523725,0
2021/2/13,536,-3.761290844,34.41816634,-31.02523725,0
2021/2/14,499,-1.040803518,35.51808484,-29.39549636,0
2021/2/15,521,-10.92367607,35.5925654,-29.3210158,0
2021/2/16,515,-0.842623603,32.28507774,-26.01352814,0
2021/2/17,502,-3.960468429,32.21059719,-26.0880087,0
2021/2/18,512,-5.647238364,28.34623777,-27.37435344,0
2021/2/19,503,3.1357748,24.87992032,-26.04117901,0
2021/2/20,490,-0.580629347,23.54345626,-24.70471496,0
2021/2/21,472,3.061294243,23.28146201,-24.96670921,0
2021/2/22,498,8.192777781,23.08328209,-25.16488913,0
2021/2/23,485,3.573104685,22.40774646,-25.84042476,0
2021/2/24,477,5.670450746,23.08328209,-25.16488913,0
2021/2/25,485,8.791857959,23.28146201,-24.96670921,0
2021/2/26,451,-5.369525227,23.54345626,-24.70471496,0
2021/2/27,421,-18.69330851,25.09706786,-24.92234172,0
2021/2/28,419,-7.150600431,25.23548544,-24.78392414,0
2021/3/1,429,-3.870279634,25.68633031,-25.23476901,0
2021/3/2,431,1.5813205,26.16924635,-25.9945202,0
2021/3/3,424,-2.924925281,29.49741321,-29.32268707,0
2021/3/4,428,-7.993180718,29.5961086,-29.42138246,0
2021/3/5,419,-1.716339154,27.79240638,-31.22508469,0
2021/3/6,412,5.653606095,26.58382025,-32.43367081,0
2021/3/7,410,7.572985183,25.6384659,-33.37902517,0
2021/3/8,402,0.22578065,26.75114362,-34.49170289,0
2021/3/9,399,0.087363073,28.80454817,-34.65439873,0
2021/3/10,406,11.75098444,33.59707379,-37.02975209,0
2021/3/11,359,-41.7294428,33.59707379,-37.02975209,1
2021/3/12,346,-38.57482451,35.40077601,-35.22604987,1
2021/3/13,355,-16.06426294,35.40077601,-35.22604987,0
2021/3/14,364,1.022595646,35.40077601,-35.22604987,0
2021/3/15,340,-16.42893623,35.40077601,-35.22604987,0
2021/3/16,347,-9.602276479,35.40077601,-35.22604987,0
2021/3/17,350,-8.419269325,35.40077601,-35.22604987,0
2021/3/18,387,15.99855334,35.40077601,-35.22604987,0
2021/3/19,375,9.788516883,30.62409067,-39.17844202,0
