Date,CODMBR,highfreq,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,475,-3.287687526,42.5730611,-49.14843615,0
2021/1/2,484,-2.869235231,49.16780976,-56.13625653,0
2021/1/3,460,-32.30909904,49.36434562,-55.93972067,0
2021/1/4,520,27.24204446,49.57357177,-55.73049452,0
2021/1/5,516,19.17665156,50.2113517,-56.78672675,0
2021/1/6,507,4.676610263,50.86182192,-57.83026868,0
2021/1/7,496,-3.680759242,49.81827998,-57.17979847,0
2021/1/8,485,-3.996620007,49.16780976,-56.13625653,0
2021/1/9,453,-20.12272483,49.36434562,-55.93972067,0
2021/1/10,441,-8.621245208,50.77859055,-56.93551331,0
2021/1/11,457,6.123738371,50.5693644,-57.14473946,0
2021/1/12,460,-19.63598322,50.66528606,-58.02680454,0
2021/1/13,550,31.59612165,50.66528606,-58.02680454,0
2021/1/14,621,45.07438391,50.66528606,-58.02680454,0
2021/1/15,586,-12.73483641,50.66528606,-58.02680454,0
2021/1/16,549,-32.53063227,50.61498577,-58.07710483,0
2021/1/17,535,-22.33150818,49.86043192,-57.85367194,0
2021/1/18,521,9.094774768,49.86043192,-57.85367194,0
2021/1/19,505,16.56535114,50.1259924,-57.58811146,0
2021/1/20,499,6.726837429,58.94975628,-48.76434758,0
2021/1/21,485,-5.655657394,58.94975628,-48.76434758,0
2021/1/22,491,-3.731059528,50.1259924,-57.58811146,0
2021/1/23,503,5.092704347,50.1259924,-57.58811146,0
2021/1/24,492,-4.912362969,48.94468896,-58.7694149,0
2021/1/25,512,8.061238409,48.94468896,-58.7694149,0
2021/1/26,498,-19.03757565,46.49084014,-56.31556608,0
2021/1/27,509,-22.04795145,47.67214358,-55.13426264,0
2021/1/28,556,8.400501889,52.89456556,-45.87546405,0
2021/1/29,602,34.01718195,45.62843004,-53.09054909,0
2021/1/30,622,30.27831013,44.82145328,-52.28357233,0
2021/1/31,588,-13.01282391,40.8883996,-48.35051866,0
2021/2/1,563,-31.18937638,41.58058532,-47.65833294,0
2021/2/2,574,-5.51538797,48.12900989,-41.10990837,0
2021/2/3,545,-6.870912085,42.07612642,-45.59535755,0
2021/2/4,569,25.54958619,40.60750449,-44.12673562,0
2021/2/5,541,-15.89097701,36.7715873,-40.29081843,0
2021/2/6,580,7.843762013,40.76294554,-36.29946019,0
2021/2/7,601,3.509550755,40.76294554,-36.29946019,0
2021/2/8,586,-19.7524501,39.69679031,-35.23330496,0
2021/2/9,611,17.65308165,39.69679031,-35.23330496,0
2021/2/10,577,-3.038873807,31.95716262,-33.56485601,0
2021/2/11,564,5.42802077,31.95716262,-33.56485601,0
2021/2/12,556,12.43753946,34.99275199,-30.52926664,0
2021/2/13,536,-1.759615566,31.98042266,-27.51693731,0
2021/2/14,499,-29.16180207,28.10196945,-23.6384841,1
2021/2/15,521,2.231742676,28.10196945,-23.6384841,0
2021/2/16,515,4.308351655,28.10196945,-23.6384841,0
2021/2/17,502,-0.803846696,25.06638008,-26.67407347,0
2021/2/18,512,14.1672515,24.11061121,-27.62984234,0
2021/2/19,503,7.087938323,25.06638008,-26.67407347,0
2021/2/20,490,-3.171792952,25.06638008,-26.67407347,0
2021/2/21,472,-18.00377931,22.49321694,-24.10091033,0
2021/2/22,498,9.458493896,16.36366796,-17.97136135,0
2021/2/23,485,-3.147760026,15.40789909,-18.92713022,0
2021/2/24,477,-5.094793611,15.22248515,-19.11254415,0
2021/2/25,485,15.05634446,14.62421614,-18.51427514,1
2021/2/26,451,-3.485159542,14.36407342,-18.77441786,0
2021/2/27,421,-12.83819077,14.36407342,-18.77441786,0
2021/2/28,419,-3.139451099,14.36407342,-18.77441786,0
2021/3/1,429,8.46552105,13.42979454,-19.70869674,0
2021/3/2,431,10.4191576,14.01975463,-20.31527468,0
2021/3/3,424,-1.945029501,14.73935694,-21.01825913,0
2021/3/4,428,1.426493525,15.67363581,-20.08398026,0
2021/3/5,419,-2.205172223,14.73935694,-21.01825913,0
2021/3/6,412,-5.748084785,14.73935694,-21.01825913,0
2021/3/7,410,-3.643260349,14.73935694,-21.01825913,0
2021/3/8,402,-4.633562411,14.73935694,-21.01825913,0
2021/3/9,399,1.810750907,15.67363581,-20.08398026,0
2021/3/10,406,21.67762614,15.67363581,-20.08398026,1
2021/3/11,359,-8.448077897,15.67363581,-20.08398026,0
2021/3/12,346,-10.98045628,15.67363581,-20.08398026,0
2021/3/13,355,1.597836673,15.67363581,-20.08398026,0
2021/3/14,364,12.87202102,15.9742814,-20.38462584,0
