Date,CODMBR,raw,Diff1
2021/1/1,475,475,0
2021/1/2,484,479.5,9
2021/1/3,460,473,-24
2021/1/4,520,484.75,60
2021/1/5,516,491,-4
2021/1/6,507,493.6666667,-9
2021/1/7,496,494,-11
2021/1/8,485,495.4285714,-11
2021/1/9,453,491,-32
2021/1/10,441,488.2857143,-12
2021/1/11,457,479.2857143,16
2021/1/12,460,471.2857143,3
2021/1/13,550,477.4285714,90
2021/1/14,621,495.2857143,71
2021/1/15,586,509.7142857,-35
2021/1/16,549,523.4285714,-37
2021/1/17,535,536.8571429,-14
2021/1/18,521,546,-14
2021/1/19,505,552.4285714,-16
2021/1/20,499,545.1428571,-6
2021/1/21,485,525.7142857,-14
2021/1/22,491,512.1428571,6
2021/1/23,503,505.5714286,12
2021/1/24,492,499.4285714,-11
2021/1/25,512,498.1428571,20
2021/1/26,498,497.1428571,-14
2021/1/27,509,498.5714286,11
2021/1/28,556,508.7142857,47
2021/1/29,602,524.5714286,46
2021/1/30,622,541.5714286,20
2021/1/31,588,555.2857143,-34
2021/2/1,563,562.5714286,-25
2021/2/2,574,573.4285714,11
2021/2/3,545,578.5714286,-29
2021/2/4,569,580.4285714,24
2021/2/5,541,571.7142857,-28
2021/2/6,580,565.7142857,39
2021/2/7,601,567.5714286,21
2021/2/8,586,570.8571429,-15
2021/2/9,611,576.1428571,25
2021/2/10,577,580.7142857,-34
2021/2/11,564,580,-13
2021/2/12,556,582.1428571,-8
2021/2/13,536,575.8571429,-20
2021/2/14,499,561.2857143,-37
2021/2/15,521,552,22
2021/2/16,515,538.2857143,-6
2021/2/17,502,527.5714286,-13
2021/2/18,512,520.1428571,10
2021/2/19,503,512.5714286,-9
2021/2/20,490,506,-13
2021/2/21,472,502.1428571,-18
2021/2/22,498,498.8571429,26
2021/2/23,485,494.5714286,-13
2021/2/24,477,491,-8
2021/2/25,485,487.1428571,8
2021/2/26,451,479.7142857,-34
2021/2/27,421,469.8571429,-30
2021/2/28,419,462.2857143,-2
2021/3/1,429,452.4285714,10
2021/3/2,431,444.7142857,2
2021/3/3,424,437.1428571,-7
2021/3/4,428,429,4
2021/3/5,419,424.4285714,-9
2021/3/6,412,423.1428571,-7
2021/3/7,410,421.8571429,-2
2021/3/8,402,418,-8
2021/3/9,399,413.4285714,-3
2021/3/10,406,410.8571429,7
2021/3/11,359,401,-47
2021/3/12,346,390.5714286,-13
2021/3/13,355,382.4285714,9
2021/3/14,364,375.8571429,9
2021/3/15,340,367,-24
2021/3/16,347,359.5714286,7
2021/3/17,350,351.5714286,3
2021/3/18,387,355.5714286,37
2021/3/19,375,359.7142857,-12
2021/3/20,367,361.4285714,-8
2021/3/21,351,359.5714286,-16
2021/3/22,361,362.5714286,10
2021/3/23,354,363.5714286,-7
2021/3/24,345,362.8571429,-9
2021/3/25,353,358,8
2021/3/26,345,353.7142857,-8
2021/3/27,366,353.5714286,21
2021/3/28,352,353.7142857,-14
