Date,CODMBR,rolling_median,raw_signed_dev
2021/1/1,475,,
2021/1/2,484,,
2021/1/3,460,,
2021/1/4,520,,
2021/1/5,516,-47,
2021/1/6,507,-45,
2021/1/7,496,-43,
2021/1/8,485,-21.5,0
2021/1/9,453,0,-43
2021/1/10,441,16,-66
2021/1/11,457,16,-59
2021/1/12,460,8,-47
2021/1/13,550,0,45
2021/1/14,621,0,122
2021/1/15,586,0,87
2021/1/16,549,-6,46
2021/1/17,535,-6,32
2021/1/18,521,0,16
2021/1/19,505,0,0
2021/1/20,499,0,-10
2021/1/21,485,0,-24
2021/1/22,491,0,-18
2021/1/23,503,0,-6
2021/1/24,492,0,-17
2021/1/25,512,-3,3
2021/1/26,498,-3,-11
2021/1/27,509,-6,-3
2021/1/28,556,-6,11
2021/1/29,602,-6,57
2021/1/30,622,-3,66
2021/1/31,588,0,25
2021/2/1,563,3,-6
2021/2/2,574,6,0
2021/2/3,545,11,-32
2021/2/4,569,11,-8
2021/2/5,541,15,-36
2021/2/6,580,8,6
2021/2/7,601,6,32
2021/2/8,586,6,22
2021/2/9,611,6,47
2021/2/10,577,6,21
2021/2/11,564,6,8
2021/2/12,556,6,15
2021/2/13,536,6,0
2021/2/14,499,6,-22
2021/2/15,521,6,6
2021/2/16,515,4,3
2021/2/17,502,3,-1
2021/2/18,512,3,10
2021/2/19,503,0,4
2021/2/20,490,0,-8
2021/2/21,472,0,-18
2021/2/22,498,0,13
2021/2/23,485,0,0
2021/2/24,477,0,0
2021/2/25,485,1,13
2021/2/26,451,0,0
2021/2/27,421,0,-10
2021/2/28,419,0,-10
2021/3/1,429,0,1
2021/3/2,431,0,7
2021/3/3,424,0,3
2021/3/4,428,0,9
2021/3/5,419,0,0
2021/3/6,412,0,0
2021/3/7,410,0,0
2021/3/8,402,0,-4
2021/3/9,399,0,-3
2021/3/10,406,-3,7
2021/3/11,359,-3,-28
2021/3/12,346,-3,-29
2021/3/13,355,-3,-12
2021/3/14,364,-3,0
2021/3/15,340,-3,-21
2021/3/16,347,-2,-12
2021/3/17,350,-2,-5
2021/3/18,387,-2,33
2021/3/19,375,-2,22
2021/3/20,367,0,13
2021/3/21,351,0,-2
2021/3/22,361,0,9
2021/3/23,354,0,2
2021/3/24,345,0,-8
2021/3/25,353,0,0
2021/3/26,345,0,-8
2021/3/27,366,0,13
2021/3/28,352,0,0
2021/3/29,341,0,-11
2021/3/30,351,0,0
2021/3/31,364,-2,15
2021/4/1,349,0,-2
2021/4/2,353,-2,4
2021/4/3,360,-2,11
2021/4/4,346,-2,-3
2021/4/5,339,-2,-7
2021/4/6,325,0,-24
2021/4/7,334,0,-15
2021/4/8,351,0,2
2021/4/9,342,0,-9
2021/4/10,338,0,-8
2021/4/11,356,-3,10
2021/4/12,346,-7,0
2021/4/13,362,0,16
2021/4/14,351,0,0
2021/4/15,374,0,23
2021/4/16,354,0,0
2021/4/17,344,1,-12
2021/4/18,323,1,-33
2021/4/19,346,0,-8
2021/4/20,385,1,23
2021/4/21,374,0,18
2021/4/22,366,1,1
2021/4/23,378,1,17
2021/4/24,389,3,27
2021/4/25,331,5,-31
2021/4/26,315,5,-47
2021/4/27,365,5,3
2021/4/28,356,3,-5
2021/4/29,370,1,13
2021/4/30,361,-5,5
