Date,observed,seasonal,resid
2021/1/1,475,-16.586638,2.209867808
2021/1/2,484,-3.929054702,-3.086094347
2021/1/3,460,-32.4293803,-0.275875726
2021/1/4,520,21.10400925,4.412796982
2021/1/5,516,19.32417784,0.264919253
2021/1/6,507,12.52772037,-4.113182534
2021/1/7,496,-2.415512423,-2.81112524
2021/1/8,485,-15.72084931,-4.267112555
2021/1/9,453,1.346252863,-60.42529217
2021/1/10,441,-25.95102452,-51.87179725
2021/1/11,457,17.27679343,-84.07933024
2021/1/12,460,7.859715252,-74.75082484
2021/1/13,550,6.734450701,14.26605357
2021/1/14,621,5.931383005,78.50829751
2021/1/15,586,-14.93609372,65.09657458
2021/1/16,549,6.277488175,13.74552661
2021/1/17,535,-19.54651322,31.98120885
2021/1/18,521,14.10653351,-9.944332022
2021/1/19,505,-3.618729382,-3.112489345
2021/1/20,499,1.309131176,-10.12498098
2021/1/21,485,13.57917805,-33.9099766
2021/1/22,491,-14.24611966,0.883242507
2021/1/23,503,10.75745278,-12.78466213
2021/1/24,492,-13.75888347,-0.709496592
2021/1/25,512,9.764555245,-6.590970112
2021/1/26,498,-14.37899166,-0.320745132
2021/1/27,509,-5.797280349,-3.257949725
2021/1/28,556,29.91116986,2.205620747
2021/1/29,602,-12.2667617,85.2890221
2021/1/30,622,8.76883003,80.00944956
2021/1/31,588,-19.32054646,69.91444513
2021/2/1,563,13.763001,7.224830616
2021/2/2,574,-8.120423174,35.33238449
2021/2/3,545,-7.443992044,1.696464541
2021/2/4,569,20.80621795,-5.696654184
2021/2/5,541,-6.948826232,-8.596055724
2021/2/6,580,7.150886042,16.10380988
2021/2/7,601,-21.9223301,67.20304033
2021/2/8,586,14.08796452,18.05094429
2021/2/9,611,-4.38001101,63.4833767
2021/2/10,577,-5.031855897,31.76977061
2021/2/11,564,15.74334897,0.485942164
2021/2/12,556,-2.864095722,16.86063845
2021/2/13,536,5.490192822,-3.761290844
2021/2/14,499,-26.67855623,-1.040803518
2021/2/15,521,12.05611704,-10.92367607
2021/2/16,515,2.147876529,-0.842623603
2021/2/17,502,-2.188941998,-3.960468429
2021/2/18,512,14.39064375,-5.647238364
2021/2/19,503,1.005537443,3.1357748
2021/2/20,490,-3.985616142,-0.580629347
2021/2/21,472,-20.90312675,3.061294243
2021/2/22,498,5.563130077,8.192777781
2021/2/23,485,3.83005767,3.573104685
2021/2/24,477,1.141640573,5.670450746
2021/2/25,485,13.6168746,8.791857959
2021/2/26,451,1.371913572,-5.369525227
2021/2/27,421,-7.639796554,-18.69330851
2021/2/28,419,-13.77720914,-7.150600431
2021/3/1,429,-0.424615522,-3.870279634
2021/3/2,431,1.603891193,1.5813205
2021/3/3,424,3.298423667,-2.924925281
2021/3/4,428,15.64732714,-7.993180718
2021/3/5,419,3.354635412,-1.716339154
2021/3/6,412,-8.059550655,5.653606095
2021/3/7,410,-8.931928423,7.572985183
2021/3/8,402,-5.160197758,0.22578065
2021/3/9,399,-1.671212783,0.087363073
2021/3/10,406,0.709979943,11.75098444
2021/3/11,359,14.23652985,-41.7294428
2021/3/12,346,4.797722459,-38.57482451
2021/3/13,355,-2.70079838,-16.06426294
2021/3/14,364,-5.268276438,1.022595646
2021/3/15,340,-6.60810187,-16.42893623
2021/3/16,347,-3.737125076,-9.602276479
2021/3/17,350,-1.843420886,-8.419269325
2021/3/18,387,10.54052274,15.99855334
2021/3/19,375,4.841164888,9.788516883
2021/3/20,367,3.534290654,3.436435085
2021/3/21,351,-3.320927617,-4.970915501
2021/3/22,361,-7.722330685,10.74681581
2021/3/23,354,-4.456207441,2.144489377
2021/3/24,345,-3.808419526,-5.819931878
2021/3/25,353,8.14292323,-8.439870982
2021/3/26,345,3.711173387,-11.10142599
2021/3/27,366,6.881454519,7.369685916
2021/3/28,352,-2.065128698,2.596065517
2021/3/29,341,-6.404088809,-4.277175677
2021/3/30,351,-1.223993958,0.203755802
2021/3/31,364,-4.338325843,16.30888634
2021/4/1,349,4.741482186,-7.178466273
2021/4/2,353,0.000914168,2.809902646
2021/4/3,360,4.284491143,6.978644048
2021/4/4,346,-1.709029549,0.424305764
2021/4/5,339,-6.687051859,-0.200631336
2021/4/6,325,4.936586069,-24.8999845
2021/4/7,334,-1.2263299,-9.507090873
2021/4/8,351,7.017076606,-0.87672087
2021/4/9,342,0.97431008,-4.351696574
2021/4/10,338,-2.616935963,-5.983935319
2021/4/11,356,-9.09640484,16.75693256
2021/4/12,346,-7.84945087,3.830922938
2021/4/13,362,9.759490342,1.059829485
2021/4/14,351,0.532140385,-1.523751564
2021/4/15,374,9.847572526,11.22479932
2021/4/16,354,4.126457376,-4.286274113
2021/4/17,344,-3.23960251,-8.228634283
2021/4/18,323,-14.17994262,-19.72491904
2021/4/19,346,-10.27804745,-2.082282215
2021/4/20,385,12.23123101,13.21429252
2021/4/21,374,-0.151243997,13.71544765
2021/4/22,366,11.54264774,-6.158929923
2021/4/23,378,5.564462929,11.9137305
2021/4/24,389,0.092956121,28.5886966
2021/4/25,331,-15.76279032,-12.87286365
2021/4/26,315,-12.61484309,-30.88082742
2021/4/27,365,10.82831763,-3.277772129
2021/4/28,356,-2.778982467,2.170298484
2021/4/29,370,9.185464202,5.039362136
2021/4/30,361,6.267236798,0.071610977
2021/5/1,362,5.724118118,3.258889382
2021/5/2,357,-11.96105075,17.85297027
2021/5/3,334,-10.69384615,-4.701334033
2021/5/4,351,8.229887065,-5.02530491
2021/5/5,325,-8.289810646,-13.09249965
2021/5/6,352,4.635212294,1.52893293
2021/5/7,345,4.387930693,-6.120762147
2021/5/8,357,10.16225533,-2.0702916
2021/5/9,345,-2.264360955,-4.543744382
2021/5/10,375.1,-9.289548734,29.32157152
2021/5/11,365,8.494114306,-2.153551614
2021/5/12,354,-14.55241593,6.06510818
2021/5/13,364,-2.108444842,-0.295873973
2021/5/14,375,4.554094589,0.607920568
2021/5/15,384,14.88286027,-3.208322648
2021/5/16,378,-4.17846565,8.275220121
2021/5/17,376,-9.962102553,11.06208064
2021/5/18,387,6.651709692,4.815983134
2021/5/19,354,-18.07212553,-4.78575722
2021/5/20,365,0.301696835,-13.90288113
2021/5/21,354,16.87111552,-43.17018797
2021/5/22,355,17.46530751,-44.93495998
2021/5/23,324,-8.978301049,-55.22983154
2021/5/24,378,-13.47697993,-6.249085556
2021/5/25,351,1.866214611,-55.53719695
2021/5/26,499,-22.77506218,109.5589554
2021/5/27,478,7.270302945,49.26630461
2021/5/28,493,23.59090834,38.27886573
2021/5/29,469,19.99327586,8.03864253
2021/5/30,426,-11.14354996,-13.93871252
2021/5/31,440,-20.4262129,0.283480374
2021/6/1,466,-4.578569027,2.931455551
2021/6/2,454,-27.23706584,7.027635068
2021/6/3,505,13.64709078,11.38543962
2021/6/4,525,36.47156927,3.711908632
2021/6/5,510,20.51492516,0.904498786
2021/6/6,486,-7.984710336,3.015448851
2021/6/7,475,-24.80712517,7.613776208
2021/6/8,484,-11.17999783,2.502138649
2021/6/9,460,-26.75661435,-5.71729111
2021/6/10,520,18.59469781,10.63685909
2021/6/11,516,28.61926705,-0.005089911
2021/6/12,507,17.96372056,6.069471824
2021/6/13,496,-0.311827746,18.21921067
2021/6/14,485,-23.18699452,35.51697379
2021/6/15,453,-9.698281061,-2.952715019
2021/6/16,441,-22.73276843,8.276545345
2021/6/17,457,9.019643015,4.983228812
2021/6/18,359,23.48830389,-94.22430038
2021/6/19,346,14.10766801,-85.17635067
2021/6/20,355,6.036092106,-57.15516815
2021/6/21,364,-19.51528547,-12.12698215
2021/6/22,340,-8.108646756,-35.00138936
2021/6/23,347,-15.95051412,-8.27267302
2021/6/24,350,1.483406827,-18.056163
2021/6/25,387,18.89153559,3.234012163
2021/6/26,375,9.600037361,1.789245929
2021/6/27,367,9.382767051,-4.764178987
2021/6/28,351,-13.63335923,3.76226151
2021/6/29,361,-8.1296248,9.922954908
2021/6/30,354,-11.45587455,7.700696325
2021/7/1,345,-4.298061313,-7.279849922
2021/7/2,353,15.81184529,-18.5269541
2021/7/3,345,5.296427976,-15.41661068
2021/7/4,366,6.035496573,5.060387789
2021/7/5,352,-0.027731195,-3.689003084
2021/7/6,341,-11.66737338,-5.325672916
2021/7/7,351,-9.471306833,-0.976465264
2021/7/8,364,-0.434160318,-0.557933551
2021/7/9,384,17.25742919,-1.200353851
2021/7/10,378,-1.69979706,9.175998561
2021/7/11,376,-1.657367325,4.807159111
