Date,CODMBR,denoised,highfreq
2021/1/1,475,478.2876875,-3.287687526
2021/1/2,484,486.8692352,-2.869235231
2021/1/3,460,492.309099,-32.30909904
2021/1/4,520,492.7579555,27.24204446
2021/1/5,516,496.8233484,19.17665156
2021/1/6,507,502.3233897,4.676610263
2021/1/7,496,499.6807592,-3.680759242
2021/1/8,485,488.99662,-3.996620007
2021/1/9,453,473.1227248,-20.12272483
2021/1/10,441,449.6212452,-8.621245208
2021/1/11,457,450.8762616,6.123738371
2021/1/12,460,479.6359832,-19.63598322
2021/1/13,550,518.4038784,31.59612165
2021/1/14,621,575.9256161,45.07438391
2021/1/15,586,598.7348364,-12.73483641
2021/1/16,549,581.5306323,-32.53063227
2021/1/17,535,557.3315082,-22.33150818
2021/1/18,521,511.9052252,9.094774768
2021/1/19,505,488.4346489,16.56535114
2021/1/20,499,492.2731626,6.726837429
2021/1/21,485,490.6556574,-5.655657394
2021/1/22,491,494.7310595,-3.731059528
2021/1/23,503,497.9072957,5.092704347
2021/1/24,492,496.912363,-4.912362969
2021/1/25,512,503.9387616,8.061238409
2021/1/26,498,517.0375757,-19.03757565
2021/1/27,509,531.0479515,-22.04795145
2021/1/28,556,547.5994981,8.400501889
2021/1/29,602,567.9828181,34.01718195
2021/1/30,622,591.7216899,30.27831013
2021/1/31,588,601.0128239,-13.01282391
2021/2/1,563,594.1893764,-31.18937638
2021/2/2,574,579.515388,-5.51538797
2021/2/3,545,551.8709121,-6.870912085
2021/2/4,569,543.4504138,25.54958619
2021/2/5,541,556.890977,-15.89097701
2021/2/6,580,572.156238,7.843762013
2021/2/7,601,597.4904492,3.509550755
2021/2/8,586,605.7524501,-19.7524501
2021/2/9,611,593.3469183,17.65308165
2021/2/10,577,580.0388738,-3.038873807
2021/2/11,564,558.5719792,5.42802077
2021/2/12,556,543.5624605,12.43753946
2021/2/13,536,537.7596156,-1.759615566
2021/2/14,499,528.1618021,-29.16180207
2021/2/15,521,518.7682573,2.231742676
2021/2/16,515,510.6916483,4.308351655
2021/2/17,502,502.8038467,-0.803846696
2021/2/18,512,497.8327485,14.1672515
2021/2/19,503,495.9120617,7.087938323
2021/2/20,490,493.171793,-3.171792952
2021/2/21,472,490.0037793,-18.00377931
2021/2/22,498,488.5415061,9.458493896
2021/2/23,485,488.14776,-3.147760026
2021/2/24,477,482.0947936,-5.094793611
2021/2/25,485,469.9436555,15.05634446
2021/2/26,451,454.4851595,-3.485159542
2021/2/27,421,433.8381908,-12.83819077
2021/2/28,419,422.1394511,-3.139451099
2021/3/1,429,420.5344789,8.46552105
2021/3/2,431,420.5808424,10.4191576
2021/3/3,424,425.9450295,-1.945029501
2021/3/4,428,426.5735065,1.426493525
2021/3/5,419,421.2051722,-2.205172223
2021/3/6,412,417.7480848,-5.748084785
2021/3/7,410,413.6432603,-3.643260349
2021/3/8,402,406.6335624,-4.633562411
2021/3/9,399,397.1892491,1.810750907
2021/3/10,406,384.3223739,21.67762614
2021/3/11,359,367.4480779,-8.448077897
2021/3/12,346,356.9804563,-10.98045628
2021/3/13,355,353.4021633,1.597836673
2021/3/14,364,351.127979,12.87202102
2021/3/15,340,352.7549839,-12.75498392
2021/3/16,347,354.4803009,-7.480300879
2021/3/17,350,355.8479277,-5.84792772
2021/3/18,387,360.9023763,26.09762366
2021/3/19,375,368.8517448,6.148255165
2021/3/20,367,371.1524791,-4.1524791
2021/3/21,351,367.5879923,-16.58799234
