Date,NH3NMBR,highfreq,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,4.54,0.035,0.702930909,-0.453333333,0
2021/1/2,4.65,0.14,0.700430909,-0.455833333,0
2021/1/3,4.56,0.055,0.697930909,-0.458333333,0
2021/1/4,4.45,-0.05,0.69661025,-0.46171875,0
2021/1/5,4.31,-0.165,0.66448845,-0.512010417,0
2021/1/6,4.54,0.09,0.630479705,-0.560885417,0
2021/1/7,4.64,0.215,0.640669818,-0.581666667,0
2021/1/8,4.51,0.11,0.652039273,-0.603333333,0
2021/1/9,4.23,-0.145,0.665908727,-0.6225,0
2021/1/10,4.21,-0.14,0.678598841,-0.64078125,0
2021/1/11,4.31,-0.065,0.662609614,-0.685677083,0
2021/1/12,4.21,-0.19,0.723413795,-0.674427083,0
2021/1/13,4.7,0.275,0.797994909,-0.721666667,0
2021/1/14,4.5,0.05,0.870217341,-0.767135417,0
2021/1/15,4.4,-0.075,0.962629886,-0.823385417,0
2021/1/16,4.6,0.1,1.0656565,-0.887604167,0
2021/1/17,4.54,0.04,1.178283557,-0.972161458,0
2021/1/18,4.32,-0.18,1.290910614,-1.05671875,0
2021/1/19,4.35,-0.15,1.401178989,-1.139505208,0
2021/1/20,4.2,-0.3,1.599088682,-1.130520833,0
2021/1/21,4.1,-0.41,1.722305409,-1.205520833,0
2021/1/22,4.35,-0.16,1.834342795,-1.289635417,0
2021/1/23,4.12,-0.39,1.932228091,-1.363125,0
2021/1/24,4.01,-0.53,1.976477773,-1.413854167,0
2021/1/25,4.21,-0.39,2.030727455,-1.454583333,0
2021/1/26,4.5,-0.2,2.076107682,-1.471145833,0
2021/1/27,6.2,0.65,2.1496945,-1.438854167,0
2021/1/28,7.9,2.1,2.156180875,-1.443723958,0
2021/1/29,7.8,2,2.16266725,-1.44859375,0
2021/1/30,6.5,0.7,2.169153625,-1.453463542,0
2021/1/31,6.4,0.6,2.17564,-1.458333333,0
2021/2/1,7.5,1.7,2.11564,-1.518333333,0
2021/2/2,6.3,0.5,2.07564,-1.558333333,0
2021/2/3,6.1,0.3,2.07564,-1.558333333,0
2021/2/4,6.7,0.9,2.070922636,-1.554791667,0
2021/2/5,6.5,0.7,2.066205273,-1.55125,0
2021/2/6,6.3,0.5,2.042618455,-1.533541667,0
2021/2/7,5.9,0.1,2.019031636,-1.515833333,0
2021/2/8,5.8,0,1.990727455,-1.494583333,0
2021/2/9,5.55,-0.25,1.962423273,-1.473333333,0
2021/2/10,8.5,2.7,1.934119091,-1.452083333,1
2021/2/11,9.3,3.5,1.905814909,-1.430833333,1
2021/2/12,7.7,2.15,1.877510727,-1.409583333,1
2021/2/13,4.31,-0.39,1.749206545,-1.488333333,0
2021/2/14,4.21,-0.49,1.720902364,-1.467083333,0
2021/2/15,4.7,0,1.697315545,-1.449375,0
2021/2/16,4.5,-0.2,1.673728727,-1.431666667,0
2021/2/17,4.4,-0.3,1.669011364,-1.428125,0
2021/2/18,4.6,-0.1,1.664294,-1.424583333,0
2021/2/19,4.54,-0.16,1.664294,-1.424583333,0
2021/2/20,4.32,-0.38,1.664294,-1.424583333,0
2021/2/21,4.35,-0.35,1.604294,-1.484583333,0
2021/2/22,4.2,-0.5,1.604294,-1.484583333,0
2021/2/23,4.1,-0.6,1.604294,-1.484583333,0
2021/2/24,4.35,-0.35,1.564294,-1.524583333,0
2021/2/25,4.12,-0.58,1.587880818,-1.542291667,0
2021/2/26,4.01,-0.69,1.611467636,-1.56,0
2021/2/27,4.21,-0.49,1.635054455,-1.577708333,0
2021/2/28,4.5,-0.2,1.663358636,-1.598958333,0
2021/3/1,6.2,0.65,1.710532273,-1.634375,0
2021/3/2,7.9,2.1,1.786010091,-1.691041667,1
2021/3/3,7.8,1.9,1.870922636,-1.754791667,1
2021/3/4,6.5,0.4,1.955835182,-1.818541667,0
2021/3/5,6.4,0.2,2.040747727,-1.882291667,0
2021/3/6,7.5,1.2,2.125660273,-1.946041667,0
2021/3/7,6.3,0,2.210572818,-2.009791667,0
2021/3/8,6.1,-0.3,2.271898545,-2.055833333,0
2021/3/9,6.7,0.22,2.333224273,-2.101875,0
2021/3/10,6.5,0,2.59455,-1.947916667,0
2021/3/11,6.3,-0.2,2.651158364,-1.990416667,0
2021/3/12,5.9,-0.61,2.688897273,-2.01875,0
2021/3/13,5.8,-0.9,2.898332,-1.825833333,0
2021/3/14,5.55,-1.15,2.898332,-1.825833333,0
2021/3/15,8.5,1.6,2.888897273,-1.81875,0
2021/3/16,9.3,2.2,2.899462545,-1.791666667,0
2021/3/17,7.7,0.6,2.870027818,-1.804583333,0
2021/3/18,7.1,0,2.860593091,-1.7975,0
2021/3/19,6.9,-0.2,2.851158364,-1.790416667,0
2021/3/20,6.7,-0.4,2.79455,-1.747916667,0
2021/3/21,6.48,-0.62,2.737941636,-1.705416667,0
2021/3/22,6.51,-0.49,2.481333273,-1.862916667,0
2021/3/23,7.6,0.6,2.424724909,-1.820416667,0
2021/3/24,7.5,0.5,2.368116545,-1.777916667,0
2021/3/25,7.2,0.2,2.311508182,-1.735416667,0
2021/3/26,7.3,0.3,2.264334545,-1.7,0
2021/3/27,7.3,0.3,2.217160909,-1.664583333,0
2021/3/28,7.2,0.2,2.169987273,-1.629166667,0
2021/3/29,8.5,1.5,2.122813636,-1.59375,0
2021/3/30,8.3,1.2,2.07564,-1.558333333,0
2021/3/31,8.1,1,2.07564,-1.558333333,0
2021/4/1,7,-0.1,2.07564,-1.558333333,0
2021/4/2,7.2,0.2,2.07564,-1.558333333,0
2021/4/3,7.3,0.4,2.07564,-1.558333333,0
2021/4/4,6.8,0,2.07564,-1.558333333,0
2021/4/5,6.4,-0.4,2.07564,-1.558333333,0
2021/4/6,6.7,-0.1,2.07564,-1.558333333,0
2021/4/7,6.5,-0.3,2.07564,-1.558333333,0
2021/4/8,6.3,-0.4,2.07564,-1.558333333,0
2021/4/9,6.1,-0.4,1.97564,-1.658333333,0
2021/4/10,6.2,-0.3,1.97564,-1.658333333,0
2021/4/11,6.4,-0.1,1.97564,-1.658333333,0
2021/4/12,5.9,-0.6,1.97564,-1.658333333,0
2021/4/13,5.6,-0.9,1.97564,-1.658333333,0
2021/4/14,7.8,1.4,1.97564,-1.658333333,0
2021/4/15,7.5,1.1,1.97564,-1.658333333,0
2021/4/16,7.2,0.9,1.97564,-1.658333333,0
2021/4/17,6.5,0.3,1.97564,-1.658333333,0
2021/4/18,6,-0.1,1.97564,-1.658333333,0
2021/4/19,6.1,0,1.97564,-1.658333333,0
2021/4/20,5.6,-0.5,1.97564,-1.658333333,0
2021/4/21,5.1,-0.9,1.97564,-1.658333333,0
2021/4/22,5.5,-0.5,1.928466364,-1.622916667,0
2021/4/23,5.7,-0.2,1.881292727,-1.5875,0
2021/4/24,5.6,-0.1,1.834119091,-1.552083333,0
2021/4/25,5.5,-0.2,1.786945455,-1.516666667,0
2021/4/26,7.5,1.8,1.739771818,-1.48125,1
2021/4/27,7.2,1.6,1.692598182,-1.445833333,0
2021/4/28,6.5,0.9,1.645424545,-1.410416667,0
2021/4/29,6,0.4,1.598250909,-1.375,0
2021/4/30,6.1,0.5,1.551077273,-1.339583333,0
2021/5/1,5.6,0,1.503903636,-1.304166667,0
2021/5/2,5.1,-0.5,1.45673,-1.26875,0
2021/5/3,5.5,-0.1,1.45673,-1.26875,0
2021/5/4,5.7,0.1,1.45673,-1.26875,0
2021/5/5,5.6,0,1.45673,-1.26875,0
2021/5/6,5.5,-0.1,1.45673,-1.26875,0
2021/5/7,5.6,0,1.55673,-1.16875,0
2021/5/8,5.4,-0.2,1.55673,-1.16875,0
2021/5/9,5.3,-0.3,1.55673,-1.16875,0
2021/5/10,4.3,-1.3,1.55673,-1.16875,1
2021/5/11,5.9,0.3,1.55673,-1.16875,0
2021/5/12,5.5,-0.1,1.603903636,-1.204166667,0
2021/5/13,5.3,-0.3,1.651077273,-1.239583333,0
2021/5/14,5.2,-0.4,1.698250909,-1.275,0
2021/5/15,5.2,-0.4,1.645424545,-1.410416667,0
2021/5/16,5.3,-0.3,1.692598182,-1.445833333,0
2021/5/17,6.4,0.8,1.739771818,-1.48125,0
2021/5/18,5.9,0.3,1.786945455,-1.516666667,0
2021/5/19,5.6,0,1.934119091,-1.452083333,0
2021/5/20,7.8,2.2,1.981292727,-1.4875,1
2021/5/21,7.5,1.9,2.028466364,-1.522916667,0
2021/5/22,7.2,1.6,2.07564,-1.558333333,0
2021/5/23,6.5,0.8,2.07564,-1.558333333,0
2021/5/24,6,0.1,2.17564,-1.458333333,0
2021/5/25,6.1,0.2,2.172618455,-1.403541667,0
2021/5/26,5.6,-0.3,2.179596909,-1.33875,0
2021/5/27,5.1,-0.8,2.116575364,-1.343958333,0
2021/5/28,5.5,-0.4,1.989206545,-1.248333333,0
2021/5/29,5.7,-0.2,1.861837727,-1.152708333,0
2021/5/30,5.6,-0.3,1.734468909,-1.057083333,0
2021/5/31,5.5,-0.4,1.597665364,-0.954375,0
2021/6/1,7.5,1.6,1.460861818,-0.851666667,1
2021/6/2,7.2,1.3,1.309340909,-0.755416667,0
2021/6/3,6.5,0.63,1.148385273,-0.652083333,0
2021/6/4,6,0.13,0.997429636,-0.53875,0
2021/6/5,6.1,0.25,0.859495545,-0.470208333,0
2021/6/6,5.6,-0.22,0.750430909,-0.405833333,0
2021/6/7,5.97,0.17,0.730430909,-0.425833333,0
2021/6/8,5.95,0.17,0.710430909,-0.445833333,0
2021/6/9,5.92,0.17,0.690430909,-0.465833333,0
2021/6/10,5.9,0.17,0.690430909,-0.465833333,0
2021/6/11,5.87,0.14,0.690430909,-0.465833333,0
2021/6/12,5.85,0.12,0.690430909,-0.465833333,0
2021/6/13,5.82,0.09,0.690430909,-0.465833333,0
2021/6/14,5.8,0.07,0.690430909,-0.465833333,0
2021/6/15,5.78,0.05,0.690430909,-0.465833333,0
2021/6/16,5.75,0.02,0.690430909,-0.465833333,0
