Date,NH3NMBR,highfreq,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,4.54,-0.030522724,0.663775366,-0.558330196,0
2021/1/2,4.65,0.053514005,0.666773787,-0.555331774,0
2021/1/3,4.56,0.081262527,0.67150015,-0.550605412,0
2021/1/4,4.45,0.029936943,0.676226513,-0.545879049,0
2021/1/5,4.31,-0.026877252,0.67150015,-0.550605412,0
2021/1/6,4.54,-0.002154748,0.666773787,-0.555331774,0
2021/1/7,4.64,0.076066124,0.666239949,-0.555865613,0
2021/1/8,4.51,0.007297977,0.665706111,-0.556399451,0
2021/1/9,4.23,-0.250898102,0.663241528,-0.558864034,0
2021/1/10,4.21,-0.173363567,0.660776945,-0.561328617,0
2021/1/11,4.31,-0.042955721,0.651414115,-0.570691447,0
2021/1/12,4.21,-0.096007715,0.660776945,-0.561328617,0
2021/1/13,4.7,0.229478356,0.663241528,-0.558864034,0
2021/1/14,4.5,-0.008151591,0.665706111,-0.556399451,0
2021/1/15,4.4,-0.05429622,0.666239949,-0.555865613,0
2021/1/16,4.6,0.224010025,0.736758144,-0.613206026,0
2021/1/17,4.54,0.246973935,0.814575741,-0.660288303,0
2021/1/18,4.32,0.03730074,0.882951795,-0.716832553,0
2021/1/19,4.35,0.097080144,0.937625817,-0.779315522,0
2021/1/20,4.2,-0.167099601,0.997503258,-0.828831759,0
2021/1/21,4.1,-0.305344644,1.057255399,-0.860974631,0
2021/1/22,4.35,-0.003222425,1.128015979,-0.864676945,0
2021/1/23,4.12,-0.105458066,1.163809612,-0.894276841,0
2021/1/24,4.01,-0.181315275,1.25387954,-0.859546484,0
2021/1/25,4.21,-0.125166636,1.27257466,-0.875006598,0
2021/1/26,4.5,-0.083958275,1.29421325,-0.865129582,0
2021/1/27,6.2,1.291878806,1.308440194,-0.862664211,0
2021/1/28,7.9,2.741760114,1.414469986,-0.768395994,1
2021/1/29,7.8,2.50225354,1.319467503,-0.871783353,1
2021/1/30,6.5,1.21200109,1.324057028,-0.875578705,0
2021/1/31,6.4,0.986906675,1.328646552,-0.879374058,0
2021/2/1,7.5,1.874077702,1.325446917,-0.89095857,1
2021/2/2,6.3,0.403758803,1.314799212,-0.909924606,0
2021/2/3,6.1,-0.099183191,1.317977876,-0.912553233,0
2021/2/4,6.7,0.331233653,1.268229667,-0.968108731,0
2021/2/5,6.5,0.219662115,1.331804244,-0.896215824,0
2021/2/6,6.3,0.355963885,1.335040304,-0.884661433,0
2021/2/7,5.9,0.112280949,1.330487204,-0.880896202,0
