Date,NH3NMBR,highfreq,upper_threshold,lower_threshold,trend_aware_flag
2021/1/1,4.54,-9.74E-05,0.65372872,-0.538242156,0
2021/1/2,4.65,0.133631072,0.654700116,-0.53727076,0
2021/1/3,4.56,0.067809673,0.65372872,-0.538242156,0
2021/1/4,4.45,-0.017977505,0.644788677,-0.547182199,0
2021/1/5,4.31,-0.125161016,0.635848634,-0.556122242,0
2021/1/6,4.54,0.144294408,0.63272952,-0.559241356,0
2021/1/7,4.64,0.266270574,0.635848634,-0.556122242,0
2021/1/8,4.51,0.139551026,0.644788677,-0.547182199,0
2021/1/9,4.23,-0.145705963,0.65372872,-0.538242156,0
2021/1/10,4.21,-0.186009781,0.654700116,-0.53727076,0
2021/1/11,4.31,-0.105038323,0.655671511,-0.536299364,0
2021/1/12,4.21,-0.22202822,0.662028766,-0.52994211,0
2021/1/13,4.7,0.239168891,0.655671511,-0.536299364,0
2021/1/14,4.5,0.001845373,0.654700116,-0.53727076,0
2021/1/15,4.4,-0.102426713,0.65372872,-0.538242156,0
2021/1/16,4.6,0.128655919,0.657569927,-0.54682953,0
2021/1/17,4.54,0.117614021,0.674721163,-0.555520408,0
2021/1/18,4.32,-0.024215733,0.685708351,-0.569989424,0
2021/1/19,4.35,0.051346539,0.694768844,-0.582872637,0
2021/1/20,4.2,-0.090397816,0.698914968,-0.597157722,0
2021/1/21,4.1,-0.179652339,0.714988812,-0.599515088,0
2021/1/22,4.35,0.06816587,0.723564093,-0.606573145,0
2021/1/23,4.12,-0.211225555,0.730604673,-0.612368036,0
2021/1/24,4.01,-0.419192093,0.725717534,-0.630090645,0
2021/1/25,4.21,-0.36257821,0.734545931,-0.64005055,0
2021/1/26,4.5,-0.272171341,0.737929101,-0.642835135,0
2021/1/27,6.2,0.634548604,0.740731245,-0.653820709,0
2021/1/28,7.9,0.886928649,0.748294157,-0.660045516,1
2021/1/29,7.8,0.518759287,0.775443918,-0.682391672,0
2021/1/30,6.5,0.132817024,0.807354446,-0.699977061,0
2021/1/31,6.4,0.014559882,0.847909387,-0.708918037,0
2021/2/1,7.5,0.459938386,0.882954307,-0.723369035,0
2021/2/2,6.3,-0.793407053,0.910104068,-0.745715191,1
2021/2/3,6.1,-0.74279308,0.92935867,-0.775956506,0
2021/2/4,6.7,-0.006049786,0.956508431,-0.798302662,0
2021/2/5,6.5,-0.03469125,0.953243153,-0.795615109,0
2021/2/6,6.3,0.003337157,0.936572695,-0.806332736,0
2021/2/7,5.9,-0.134955024,0.920781865,-0.802014989,0
2021/2/8,5.8,-0.171674446,0.899276286,-0.803411993,0
2021/2/9,5.55,-0.588372516,0.868659376,-0.77821213,0
2021/2/10,8.5,0.841287483,0.85327875,-0.737775981,0
2021/2/11,9.3,1.065163476,0.836067019,-0.699170938,1
2021/2/12,7.7,0.045288387,0.792044928,-0.687376254,0
2021/2/13,4.31,-0.592872247,0.761428017,-0.66217639,0
2021/2/14,4.21,-0.019454965,0.744216286,-0.623571347,0
2021/2/15,4.7,-0.446536126,0.713599375,-0.598371484,0
2021/2/16,4.5,-0.477009075,0.710132225,-0.595517777,0
2021/2/17,4.4,0.086511254,0.706665075,-0.592664069,0
2021/2/18,4.6,0.406255854,0.693259896,-0.606069249,0
2021/2/19,4.54,0.251421033,0.714978073,-0.651721646,0
2021/2/20,4.32,0.046597384,0.747115282,-0.68695501,0
2021/2/21,4.35,0.104348126,0.784069744,-0.717371122,0
2021/2/22,4.2,-0.047761,0.812771708,-0.756039733,0
2021/2/23,4.1,-0.133402082,0.857978668,-0.778203347,0
2021/2/24,4.35,0.09793122,0.86279592,-0.773386095,0
2021/2/25,4.12,-0.178828117,0.86279592,-0.773386095,0
2021/2/26,4.01,-0.313420967,0.857978668,-0.778203347,0
2021/2/27,4.21,-0.119624181,0.89493313,-0.808619459,0
2021/2/28,4.5,-0.407511087,0.951941129,-0.818982034,0
2021/3/1,6.2,0.094363562,0.98889559,-0.849398146,0
2021/3/2,7.9,1.196002398,0.98889559,-0.849398146,1
2021/3/3,7.8,1.029461496,0.98889559,-0.849398146,1
2021/3/4,6.5,-0.224254728,0.968842053,-0.869451683,0
2021/3/5,6.4,-0.533223129,0.971368031,-0.886575623,0
2021/3/6,7.5,0.040300774,0.982146508,-0.895447064,0
2021/3/7,6.3,-0.459824044,0.994272734,-0.970341329,0
2021/3/8,6.1,-0.615838886,1.042333098,-1.009898377,0
2021/3/9,6.7,0.024619133,1.139045349,-1.024585807,0
2021/3/10,6.5,-0.039508502,1.14039721,-1.025698484,0
2021/3/11,6.3,-0.083367712,1.14039721,-1.025698484,0
2021/3/12,5.9,-0.180727178,1.104790499,-1.061305195,0
2021/3/13,5.8,0.196333218,1.104790499,-1.061305195,0
2021/3/14,5.55,-0.632782876,1.104790499,-1.061305195,0
2021/3/15,8.5,0.546156887,1.104790499,-1.061305195,0
2021/3/16,9.3,0.890188846,1.111693407,-1.054402287,0
2021/3/17,7.7,-0.014254473,1.111693407,-1.054402287,0
2021/3/18,7.1,-0.177804326,1.143482662,-1.022613032,0
2021/3/19,6.9,0.25862162,1.143482662,-1.022613032,0
2021/3/20,6.7,0.338594668,1.143482662,-1.022613032,0
2021/3/21,6.48,-0.15686773,1.143482662,-1.022613032,0
2021/3/22,6.51,-0.399867727,1.143482662,-1.022613032,0
