Date,NH3NMBR,denoised,highfreq
2021/1/1,4.54,4.505,0.035
2021/1/2,4.65,4.51,0.14
2021/1/3,4.56,4.505,0.055
2021/1/4,4.45,4.5,-0.05
2021/1/5,4.31,4.475,-0.165
2021/1/6,4.54,4.45,0.09
2021/1/7,4.64,4.425,0.215
2021/1/8,4.51,4.4,0.11
2021/1/9,4.23,4.375,-0.145
2021/1/10,4.21,4.35,-0.14
2021/1/11,4.31,4.375,-0.065
2021/1/12,4.21,4.4,-0.19
2021/1/13,4.7,4.425,0.275
2021/1/14,4.5,4.45,0.05
2021/1/15,4.4,4.475,-0.075
2021/1/16,4.6,4.5,0.1
2021/1/17,4.54,4.5,0.04
2021/1/18,4.32,4.5,-0.18
2021/1/19,4.35,4.5,-0.15
2021/1/20,4.2,4.5,-0.3
2021/1/21,4.1,4.51,-0.41
2021/1/22,4.35,4.51,-0.16
2021/1/23,4.12,4.51,-0.39
2021/1/24,4.01,4.54,-0.53
2021/1/25,4.21,4.6,-0.39
2021/1/26,4.5,4.7,-0.2
2021/1/27,6.2,5.55,0.65
2021/1/28,7.9,5.8,2.1
2021/1/29,7.8,5.8,2
2021/1/30,6.5,5.8,0.7
2021/1/31,6.4,5.8,0.6
2021/2/1,7.5,5.8,1.7
2021/2/2,6.3,5.8,0.5
2021/2/3,6.1,5.8,0.3
2021/2/4,6.7,5.8,0.9
2021/2/5,6.5,5.8,0.7
2021/2/6,6.3,5.8,0.5
2021/2/7,5.9,5.8,0.1
2021/2/8,5.8,5.8,0
2021/2/9,5.55,5.8,-0.25
2021/2/10,8.5,5.8,2.7
2021/2/11,9.3,5.8,3.5
2021/2/12,7.7,5.55,2.15
2021/2/13,4.31,4.7,-0.39
2021/2/14,4.21,4.7,-0.49
2021/2/15,4.7,4.7,0
2021/2/16,4.5,4.7,-0.2
2021/2/17,4.4,4.7,-0.3
2021/2/18,4.6,4.7,-0.1
2021/2/19,4.54,4.7,-0.16
2021/2/20,4.32,4.7,-0.38
2021/2/21,4.35,4.7,-0.35
2021/2/22,4.2,4.7,-0.5
2021/2/23,4.1,4.7,-0.6
2021/2/24,4.35,4.7,-0.35
2021/2/25,4.12,4.7,-0.58
2021/2/26,4.01,4.7,-0.69
2021/2/27,4.21,4.7,-0.49
2021/2/28,4.5,4.7,-0.2
2021/3/1,6.2,5.55,0.65
2021/3/2,7.9,5.8,2.1
