Date,NH3NMBR,denoised,highfreq
2021/1/1,4.54,4.570522724,-0.030522724
2021/1/2,4.65,4.596485995,0.053514005
2021/1/3,4.56,4.478737473,0.081262527
2021/1/4,4.45,4.420063057,0.029936943
2021/1/5,4.31,4.336877252,-0.026877252
2021/1/6,4.54,4.542154748,-0.002154748
2021/1/7,4.64,4.563933876,0.076066124
2021/1/8,4.51,4.502702023,0.007297977
2021/1/9,4.23,4.480898102,-0.250898102
2021/1/10,4.21,4.383363567,-0.173363567
2021/1/11,4.31,4.352955721,-0.042955721
2021/1/12,4.21,4.306007715,-0.096007715
2021/1/13,4.7,4.470521644,0.229478356
2021/1/14,4.5,4.508151591,-0.008151591
2021/1/15,4.4,4.45429622,-0.05429622
2021/1/16,4.6,4.375989975,0.224010025
2021/1/17,4.54,4.293026065,0.246973935
2021/1/18,4.32,4.28269926,0.03730074
2021/1/19,4.35,4.252919856,0.097080144
2021/1/20,4.2,4.367099601,-0.167099601
2021/1/21,4.1,4.405344644,-0.305344644
2021/1/22,4.35,4.353222425,-0.003222425
2021/1/23,4.12,4.225458066,-0.105458066
2021/1/24,4.01,4.191315275,-0.181315275
2021/1/25,4.21,4.335166636,-0.125166636
2021/1/26,4.5,4.583958275,-0.083958275
2021/1/27,6.2,4.908121194,1.291878806
2021/1/28,7.9,5.158239886,2.741760114
2021/1/29,7.8,5.29774646,2.50225354
2021/1/30,6.5,5.28799891,1.21200109
2021/1/31,6.4,5.413093325,0.986906675
2021/2/1,7.5,5.625922298,1.874077702
2021/2/2,6.3,5.896241197,0.403758803
2021/2/3,6.1,6.199183191,-0.099183191
2021/2/4,6.7,6.368766347,0.331233653
2021/2/5,6.5,6.280337885,0.219662115
2021/2/6,6.3,5.944036115,0.355963885
2021/2/7,5.9,5.787719051,0.112280949
2021/2/8,5.8,5.679929892,0.120070108
2021/2/9,5.55,5.606572806,-0.056572806
2021/2/10,8.5,5.478429373,3.021570627
2021/2/11,9.3,5.39909234,3.90090766
2021/2/12,7.7,5.239892728,2.460107272
2021/2/13,4.31,4.842178885,-0.532178885
2021/2/14,4.21,4.723884395,-0.513884395
2021/2/15,4.7,4.655846728,0.044153272
2021/2/16,4.5,4.653897572,-0.153897572
2021/2/17,4.4,4.54339397,-0.14339397
2021/2/18,4.6,4.575132765,0.024867235
2021/2/19,4.54,4.495890912,0.044109088
2021/2/20,4.32,4.17577676,0.14422324
2021/2/21,4.35,4.193526011,0.156473989
2021/2/22,4.2,4.236611055,-0.036611055
2021/2/23,4.1,4.445627986,-0.345627986
2021/2/24,4.35,4.416762042,-0.066762042
2021/2/25,4.12,4.47810762,-0.35810762
2021/2/26,4.01,4.489149183,-0.479149183
2021/2/27,4.21,4.365323429,-0.155323429
2021/2/28,4.5,4.633858264,-0.133858264
2021/3/1,6.2,4.850246945,1.349753055
2021/3/2,7.9,5.349396928,2.550603072
2021/3/3,7.8,5.501114749,2.298885251
2021/3/4,6.5,5.590859181,0.909140819
2021/3/5,6.4,5.70448864,0.69551136
2021/3/6,7.5,5.644341991,1.855658009
2021/3/7,6.3,5.881049964,0.418950036
2021/3/8,6.1,6.016558993,0.083441007
2021/3/9,6.7,6.469207531,0.230792469
2021/3/10,6.5,6.504222856,-0.004222856
2021/3/11,6.3,6.360627686,-0.060627686
2021/3/12,5.9,6.383110969,-0.483110969
2021/3/13,5.8,6.247603641,-0.447603641
2021/3/14,5.55,6.312478804,-0.762478804
2021/3/15,8.5,6.252865838,2.247134162
2021/3/16,9.3,6.709705679,2.590294321
2021/3/17,7.7,6.89716495,0.80283505
2021/3/18,7.1,6.711916493,0.388083507
2021/3/19,6.9,6.774044333,0.125955667
2021/3/20,6.7,6.741611606,-0.041611606
2021/3/21,6.48,6.826862996,-0.346862996
2021/3/22,6.51,6.747243626,-0.237243626
2021/3/23,7.6,7.220960654,0.379039346
2021/3/24,7.5,7.46107828,0.03892172
2021/3/25,7.2,7.175116786,0.024883214
2021/3/26,7.3,7.194744988,0.105255012
2021/3/27,7.3,7.129039125,0.170960875
2021/3/28,7.2,7.085717746,0.114282254
2021/3/29,8.5,6.909835148,1.590164852
2021/3/30,8.3,7.277334977,1.022665023
2021/3/31,8.1,7.478982801,0.621017199
2021/4/1,7,7.054025989,-0.054025989
2021/4/2,7.2,7.014172638,0.185827362
2021/4/3,7.3,6.898963872,0.401036128
2021/4/4,6.8,6.717975907,0.082024093
2021/4/5,6.4,6.479595643,-0.079595643
2021/4/6,6.7,6.696798378,0.003201622
2021/4/7,6.5,6.873023754,-0.373023754
2021/4/8,6.3,6.396088067,-0.096088067
2021/4/9,6.1,6.360483914,-0.260483914
2021/4/10,6.2,6.274336914,-0.074336914
2021/4/11,6.4,6.113529699,0.286470301
2021/4/12,5.9,5.999623791,-0.099623791
2021/4/13,5.6,6.219144361,-0.619144361
2021/4/14,7.8,6.460272964,1.339727036
2021/4/15,7.5,6.06786529,1.43213471
2021/4/16,7.2,6.100617643,1.099382357
2021/4/17,6.5,6.02817721,0.47182279
2021/4/18,6,5.847190639,0.152809361
2021/4/19,6.1,5.811453148,0.288546852
2021/4/20,5.6,5.93781102,-0.33781102
2021/4/21,5.1,6.125237589,-1.025237589
2021/4/22,5.5,5.778443624,-0.278443624
2021/4/23,5.7,5.848252509,-0.148252509
2021/4/24,5.6,5.796732452,-0.196732452
2021/4/25,5.5,5.637732716,-0.137732716
2021/4/26,7.5,5.710812935,1.789187065
2021/4/27,7.2,5.790275999,1.409724001
2021/4/28,6.5,5.918165594,0.581834406
2021/4/29,6,5.625093316,0.374906684
2021/4/30,6.1,5.707320854,0.392679146
2021/5/1,5.6,5.660546378,-0.060546378
2021/5/2,5.1,5.517649139,-0.417649139
2021/5/3,5.5,5.65790666,-0.15790666
2021/5/4,5.7,5.745009754,-0.045009754
2021/5/5,5.6,5.737592761,-0.137592761
2021/5/6,5.5,5.453819649,0.046180351
2021/5/7,5.6,5.518227926,0.081772074
2021/5/8,5.4,5.448607544,-0.048607544
2021/5/9,5.3,5.287070925,0.012929075
2021/5/10,4.3,5.49769041,-1.19769041
2021/5/11,5.9,5.656873432,0.243126568
2021/5/12,5.5,5.584639425,-0.084639425
2021/5/13,5.3,5.384826053,-0.084826053
2021/5/14,5.2,5.478278235,-0.278278235
2021/5/15,5.2,5.435129607,-0.235129607
2021/5/16,5.3,5.29608229,0.00391771
2021/5/17,6.4,5.579014365,0.820985635
2021/5/18,5.9,5.792139117,0.107860883
2021/5/19,5.6,5.653273571,-0.053273571
2021/5/20,7.8,5.531438724,2.268561276
2021/5/21,7.5,5.617471222,1.882528778
2021/5/22,7.2,5.594206315,1.605793685
2021/5/23,6.5,5.45820805,1.04179195
2021/5/24,6,5.705927521,0.294072479
2021/5/25,6.1,5.882719419,0.217280581
2021/5/26,5.6,5.690475121,-0.090475121
2021/5/27,5.1,5.60062699,-0.50062699
2021/5/28,5.5,5.662176908,-0.162176908
2021/5/29,5.7,5.670542704,0.029457296
2021/5/30,5.6,5.565119401,0.034880599
2021/5/31,5.5,5.79527515,-0.29527515
2021/6/1,7.5,5.94482716,1.55517284
2021/6/2,7.2,5.782419944,1.417580056
2021/6/3,6.5,5.734606044,0.765393956
2021/6/4,6,5.810269388,0.189730612
2021/6/5,6.1,5.858398472,0.241601528
2021/6/6,5.6,5.772852218,-0.172852218
2021/6/7,5.97,5.953554408,0.016445592
2021/6/8,5.95,6.049721482,-0.099721482
2021/6/9,5.92,5.888470655,0.031529345
2021/6/10,5.9,5.809990769,0.090009231
2021/6/11,5.87,5.835148787,0.034851213
2021/6/12,5.85,5.850813819,-0.000813819
2021/6/13,5.82,5.728872642,0.091127358
2021/6/14,5.8,5.818952736,-0.018952736
2021/6/15,5.78,5.86744768,-0.08744768
2021/6/16,5.75,5.746999011,0.003000989
2021/6/17,5.73,5.695982318,0.034017682
2021/6/18,5.7,5.703241683,-0.003241683
2021/6/19,5.68,5.707121677,-0.027121677
2021/6/20,5.66,5.593987212,0.066012788
2021/6/21,5.63,5.633605321,-0.003605321
2021/6/22,5.61,5.647642796,-0.037642796
2021/6/23,5.58,5.5806206,-0.0006206
2021/6/24,5.56,5.555513498,0.004486502
2021/6/25,5.54,5.542094289,-0.002094289
2021/6/26,5.51,5.532713403,-0.022713403
2021/6/27,5.49,5.450758875,0.039241125
2021/6/28,5.46,5.459547199,0.000452801
2021/6/29,5.44,5.447849023,-0.007849023
2021/6/30,5.42,5.414537024,0.005462976
2021/7/1,5.39,5.396145696,-0.006145696
2021/7/2,5.37,5.378583443,-0.008583443
2021/7/3,5.34,5.357583089,-0.017583089
2021/7/4,5.32,5.304399567,0.015600433
2021/7/5,5.3,5.29246411,0.00753589
2021/7/6,5.27,5.26699614,0.00300386
2021/7/7,5.25,5.238667788,0.011332212
2021/7/8,5.22,5.214312893,0.005687107
2021/7/9,5.2,5.221733312,-0.021733312
2021/7/10,5.18,5.192509908,-0.012509908
2021/7/11,5.15,5.155323034,-0.005323034
2021/7/12,5.13,5.12459909,0.00540091
2021/7/13,5.1,5.090651634,0.009348366
2021/7/14,5.08,5.061323295,0.018676705
2021/7/15,5.06,5.030399655,0.029600345
2021/7/16,5.03,5.068509699,-0.038509699
2021/7/17,5.01,5.033290512,-0.023290512
2021/7/18,4.98,4.994739407,-0.014739407
2021/7/19,4.96,4.95351896,0.00648104
2021/7/20,4.94,4.911321064,0.028678936
2021/7/21,4.91,4.889902752,0.020097248
2021/7/22,4.89,4.855235073,0.034764927
2021/7/23,4.86,4.912660899,-0.052660899
2021/7/24,4.84,4.874060754,-0.034060754
2021/7/25,4.82,4.829841106,-0.009841106
2021/7/26,4.79,4.782508007,0.007491993
2021/7/27,4.77,4.731344955,0.038655045
2021/7/28,4.74,4.718071943,0.021928057
2021/7/29,4.72,4.692802248,0.027197752
2021/7/30,4.7,4.782921676,-0.082921676
2021/7/31,4.67,4.786963856,-0.116963856
2021/8/1,4.65,4.800014989,-0.150014989
2021/8/2,4.62,4.821291376,-0.201291376
2021/8/3,4.6,4.839790903,-0.239790903
2021/8/4,4.58,4.895632307,-0.315632307
2021/8/5,4.55,4.947433916,-0.397433916
2021/8/6,5.49,5.103052284,0.386947716
2021/8/7,5.46,5.153732477,0.306267523
