Date,CODMBR,Diff1,Hampel,STL,Wavelet-strong
2021/1/1,475,0,0,0,0
2021/1/2,484,0,0,0,0
2021/1/3,460,0,0,0,0
2021/1/4,520,1,0,0,0
2021/1/5,516,0,0,0,0
2021/1/6,507,0,0,0,0
2021/1/7,496,0,0,0,0
2021/1/8,485,0,0,0,0
2021/1/9,453,0,1,1,0
2021/1/10,441,0,1,1,0
2021/1/11,457,0,1,1,0
2021/1/12,460,0,1,1,0
2021/1/13,550,1,1,0,0
2021/1/14,621,1,1,1,0
2021/1/15,586,0,0,1,0
2021/1/16,549,0,0,0,0
2021/1/17,535,0,0,0,0
2021/1/18,521,0,0,0,0
2021/1/19,505,0,0,0,0
2021/1/20,499,0,0,0,0
2021/1/21,485,0,0,0,0
2021/1/22,491,0,0,0,0
2021/1/23,503,0,0,0,0
2021/1/24,492,0,0,0,0
2021/1/25,512,0,0,0,0
2021/1/26,498,0,0,0,0
2021/1/27,509,0,0,0,0
2021/1/28,556,0,0,0,0
2021/1/29,602,0,0,1,0
2021/1/30,622,0,1,1,0
2021/1/31,588,0,0,1,0
2021/2/1,563,0,0,0,0
2021/2/2,574,0,0,0,0
2021/2/3,545,0,0,0,0
2021/2/4,569,0,0,0,0
2021/2/5,541,0,0,0,0
2021/2/6,580,0,0,0,0
2021/2/7,601,0,0,1,0
2021/2/8,586,0,0,0,0
2021/2/9,611,0,0,1,0
2021/2/10,577,0,0,0,0
2021/2/11,564,0,0,0,0
2021/2/12,556,0,0,0,0
2021/2/13,536,0,0,0,0
2021/2/14,499,0,0,0,1
2021/2/15,521,0,0,0,0
2021/2/16,515,0,0,0,0
2021/2/17,502,0,0,0,0
2021/2/18,512,0,0,0,0
2021/2/19,503,0,0,0,0
2021/2/20,490,0,0,0,0
2021/2/21,472,0,0,0,0
2021/2/22,498,1,0,0,0
2021/2/23,485,0,0,0,0
2021/2/24,477,0,0,0,0
2021/2/25,485,0,0,0,1
2021/2/26,451,0,0,0,0
2021/2/27,421,0,0,0,0
2021/2/28,419,0,0,0,0
2021/3/1,429,0,0,0,0
2021/3/2,431,0,0,0,0
2021/3/3,424,0,0,0,0
2021/3/4,428,0,0,0,0
2021/3/5,419,0,0,0,0
2021/3/6,412,0,0,0,0
2021/3/7,410,0,0,0,0
2021/3/8,402,0,0,0,0
2021/3/9,399,0,0,0,0
2021/3/10,406,0,0,0,1
2021/3/11,359,1,0,1,0
2021/3/12,346,0,0,1,0
2021/3/13,355,0,0,0,0
2021/3/14,364,0,0,0,0
2021/3/15,340,0,0,0,0
2021/3/16,347,0,0,0,0
2021/3/17,350,0,0,0,0
2021/3/18,387,1,1,0,1
2021/3/19,375,0,0,0,0
2021/3/20,367,0,0,0,0
2021/3/21,351,0,0,0,0
2021/3/22,361,0,0,0,0
2021/3/23,354,0,0,0,0
2021/3/24,345,0,0,0,0
2021/3/25,353,0,0,0,0
2021/3/26,345,0,0,0,0
2021/3/27,366,0,0,0,0
2021/3/28,352,0,0,0,0
2021/3/29,341,0,0,0,0
2021/3/30,351,0,0,0,0
2021/3/31,364,0,0,0,0
2021/4/1,349,0,0,0,0
2021/4/2,353,0,0,0,0
2021/4/3,360,0,0,0,0
2021/4/4,346,0,0,0,0
2021/4/5,339,0,0,0,0
2021/4/6,325,0,0,1,0
2021/4/7,334,0,0,0,0
2021/4/8,351,0,0,0,0
2021/4/9,342,0,0,0,0
2021/4/10,338,0,0,0,0
2021/4/11,356,0,0,0,0
2021/4/12,346,0,0,0,0
2021/4/13,362,0,0,0,0
2021/4/14,351,0,0,0,0
2021/4/15,374,0,0,0,0
2021/4/16,354,0,0,0,0
2021/4/17,344,0,0,0,0
