target_date,dataset_part,actual,blend_pred,residual
2021/1/8,train,485,483.1437992,-1.856200807
2021/1/9,train,453,470.9838508,17.98385078
2021/1/10,train,441,447.3686957,6.368695702
2021/1/11,train,457,450.8587805,-6.141219481
2021/1/12,train,460,455.8421555,-4.157844472
2021/1/13,train,550,501.3086898,-48.6913102
2021/1/14,train,621,580.0692296,-40.93077037
2021/1/15,train,586,596.5634938,10.56349379
2021/1/16,train,549,572.3030109,23.30301095
2021/1/17,train,535,549.6683692,14.66836918
2021/1/18,train,521,521.0400108,0.040010803
2021/1/19,train,505,511.0820064,6.082006422
2021/1/20,train,499,503.1657115,4.16571146
2021/1/21,train,485,493.0258949,8.025894873
2021/1/22,train,491,486.0818318,-4.918168224
2021/1/23,train,503,492.5199127,-10.48008725
2021/1/24,train,492,499.3293823,7.329382316
2021/1/25,train,512,494.1881983,-17.81180166
2021/1/26,train,498,502.6507907,4.650790725
2021/1/27,train,509,500.3255493,-8.674450725
2021/1/28,train,556,520.9966997,-35.00330029
2021/1/29,train,602,583.6187206,-18.38127936
2021/1/30,train,622,606.7707237,-15.2292763
2021/1/31,train,588,596.8462005,8.846200548
2021/2/1,train,563,574.3078947,11.30789465
2021/2/2,train,574,569.7170669,-4.282933128
2021/2/3,train,545,561.1870084,16.18700838
2021/2/4,train,569,559.7249437,-9.275056318
2021/2/5,train,541,556.0138417,15.01384171
2021/2/6,train,580,560.9248419,-19.07515806
2021/2/7,train,601,584.711564,-16.28843596
2021/2/8,train,586,592.7316095,6.731609533
2021/2/9,train,611,593.7131977,-17.28680234
2021/2/10,train,577,589.9662003,12.96620027
2021/2/11,train,564,570.6804183,6.680418304
2021/2/12,train,556,559.7673825,3.767382451
2021/2/13,train,536,548.9212315,12.92123147
2021/2/14,train,499,514.6999984,15.69999842
2021/2/15,train,521,505.0575401,-15.94245992
2021/2/16,train,515,514.8847331,-0.115266903
2021/2/17,train,502,506.7400766,4.74007664
2021/2/18,train,512,502.5655025,-9.43449753
2021/2/19,train,503,504.7641405,1.764140494
2021/2/20,train,490,497.0900221,7.090022052
2021/2/21,train,472,483.4576598,11.45765978
2021/2/22,train,498,479.4554443,-18.54455573
2021/2/23,train,485,490.5337323,5.533732299
2021/2/24,train,477,477.5244537,0.52445365
2021/2/25,train,485,477.960184,-7.039816029
2021/2/26,train,451,470.8354969,19.83549693
2021/2/27,train,421,438.8344989,17.83449893
2021/2/28,train,419,422.8993942,3.89939422
2021/3/1,train,429,424.9210194,-4.078980608
2021/3/2,train,431,429.2906787,-1.709321318
2021/3/3,train,424,427.2092811,3.209281065
2021/3/4,train,428,422.0280413,-5.971958722
2021/3/5,train,419,418.0119736,-0.988026367
2021/3/6,train,412,413.1237603,1.123760333
2021/3/7,train,410,408.5030132,-1.496986826
2021/3/8,train,402,404.3273882,2.327388185
2021/3/9,train,399,392.6077332,-6.392266836
2021/3/10,train,406,394.9876771,-11.01232294
2021/3/11,train,359,383.9686825,24.96868245
2021/3/12,train,346,353.6262794,7.626279356
2021/3/13,train,355,352.5987259,-2.401274097
2021/3/14,train,364,362.7702628,-1.229737188
2021/3/15,train,340,354.7331854,14.73318543
2021/3/16,train,347,348.265516,1.265516046
2021/3/17,train,350,351.455945,1.455944999
2021/3/18,train,387,361.1038665,-25.89613355
2021/3/19,train,375,374.0503241,-0.949675863
2021/3/20,train,367,371.7430771,4.743077081
2021/3/21,train,351,358.2014935,7.201493528
2021/3/22,train,361,351.152377,-9.847622976
2021/3/23,train,354,354.2443619,0.244361893
2021/3/24,train,345,351.7407674,6.740767356
2021/3/25,train,353,349.2613782,-3.738621828
2021/3/26,train,345,351.4192111,6.419211128
2021/3/27,train,366,350.3420546,-15.65794543
2021/3/28,train,352,355.7043185,3.704318467
2021/3/29,train,341,351.2612168,10.26121676
2021/3/30,train,351,348.0113538,-2.988646175
2021/3/31,train,364,352.0313813,-11.96861872
2021/4/1,train,349,354.8860805,5.8860805
2021/4/2,train,353,350.6939991,-2.306000916
2021/4/3,train,360,357.8875609,-2.112439062
2021/4/4,train,346,355.3873235,9.387323479
2021/4/5,train,339,352.2674954,13.26749537
2021/4/6,train,325,345.9622493,20.96224927
2021/4/7,train,334,339.9767814,5.976781382
2021/4/8,train,351,343.6234707,-7.376529319
2021/4/9,train,342,351.227515,9.227514987
2021/4/10,train,338,346.3977233,8.397723292
2021/4/11,train,356,346.8754133,-9.124586659
2021/4/12,train,346,353.5038536,7.50385362
2021/4/13,train,362,351.5923023,-10.40769772
2021/4/14,train,351,354.1461884,3.146188404
2021/4/15,train,374,355.8532489,-18.14675109
2021/4/16,train,354,363.5674098,9.567409799
2021/4/17,train,344,352.7658084,8.765808439
2021/4/18,train,323,345.5177232,22.51772321
2021/4/19,train,346,342.9527413,-3.047258666
2021/4/20,train,385,358.3403778,-26.6596222
2021/4/21,train,374,375.3984679,1.398467913
2021/4/22,train,366,366.1955847,0.19558467
2021/4/23,train,378,359.5382136,-18.46178641
2021/4/24,train,389,373.3477612,-15.65223875
2021/4/25,train,331,366.3823804,35.3823804
2021/4/26,train,315,339.2949977,24.29499773
2021/4/27,train,365,337.0304786,-27.96952139
2021/4/28,train,356,357.5248798,1.524879763
2021/4/29,train,370,356.2802556,-13.71974445
2021/4/30,train,361,362.3616979,1.36169787
2021/5/1,train,362,359.7866265,-2.213373502
2021/5/2,train,357,359.220784,2.220783976
2021/5/3,train,334,355.5476791,21.54767908
2021/5/4,train,351,351.7308292,0.730829236
2021/5/5,train,325,349.0190774,24.01907738
2021/5/6,train,352,344.6687149,-7.33128509
2021/5/7,train,345,359.1617128,14.16171281
2021/5/8,train,357,351.3331103,-5.666889746
2021/5/9,train,345,357.2580335,12.25803352
2021/5/10,train,375.1,359.0659674,-16.03403866
2021/5/11,train,365,368.2214002,3.221400185
2021/5/12,train,354,354.1999843,0.199984263
2021/5/13,train,364,358.235813,-5.764186989
2021/5/14,train,375,363.8852263,-11.11477374
2021/5/15,train,384,376.1345062,-7.865493782
2021/5/16,train,378,376.4673336,-1.532666425
2021/5/17,train,376,374.660181,-1.339819002
2021/5/18,train,387,375.5495878,-11.45041225
2021/5/19,train,354,368.8252638,14.82526385
2021/5/20,train,365,356.6766085,-8.323391539
2021/5/21,train,354,361.0496403,7.049640343
2021/5/22,train,355,355.591815,0.591814986
2021/5/23,train,324,350.2243178,26.22431778
2021/5/24,train,378,358.8270179,-19.17298213
2021/5/25,train,351,387.6199941,36.61999408
2021/5/26,train,499,394.8139916,-104.1860084
2021/5/27,train,478,485.1955165,7.195516492
