time_col_std,y_true_std,y_pred_std,residual,abs_error,dataset
2021/1/8,485,496,-11,11,train
2021/1/9,453,485,-32,32,train
2021/1/10,441,453,-12,12,train
2021/1/11,457,441,16,16,train
2021/1/12,460,457,3,3,train
2021/1/13,550,460,90,90,train
2021/1/14,621,550,71,71,train
2021/1/15,586,621,-35,35,train
2021/1/16,549,586,-37,37,train
2021/1/17,535,549,-14,14,train
2021/1/18,521,535,-14,14,train
2021/1/19,505,521,-16,16,train
2021/1/20,499,505,-6,6,train
2021/1/21,485,499,-14,14,train
2021/1/22,491,485,6,6,train
2021/1/23,503,491,12,12,train
2021/1/24,492,503,-11,11,train
2021/1/25,512,492,20,20,train
2021/1/26,498,512,-14,14,train
2021/1/27,509,498,11,11,train
2021/1/28,556,509,47,47,train
2021/1/29,602,556,46,46,train
2021/1/30,622,602,20,20,train
2021/1/31,588,622,-34,34,train
2021/2/1,563,588,-25,25,train
2021/2/2,574,563,11,11,train
2021/2/3,545,574,-29,29,train
2021/2/4,569,545,24,24,train
2021/2/5,541,569,-28,28,train
2021/2/6,580,541,39,39,train
2021/2/7,601,580,21,21,train
2021/2/8,586,601,-15,15,train
2021/2/9,611,586,25,25,train
2021/2/10,577,611,-34,34,train
2021/2/11,564,577,-13,13,train
2021/2/12,556,564,-8,8,train
2021/2/13,536,556,-20,20,train
2021/2/14,499,536,-37,37,train
2021/2/15,521,499,22,22,train
2021/2/16,515,521,-6,6,train
2021/2/17,502,515,-13,13,train
2021/2/18,512,502,10,10,train
2021/2/19,503,512,-9,9,train
2021/2/20,490,503,-13,13,train
2021/2/21,472,490,-18,18,train
2021/2/22,498,472,26,26,train
2021/2/23,485,498,-13,13,train
2021/2/24,477,485,-8,8,train
2021/2/25,485,477,8,8,train
2021/2/26,451,485,-34,34,train
2021/2/27,421,451,-30,30,train
2021/2/28,419,421,-2,2,train
2021/3/1,429,419,10,10,train
2021/3/2,431,429,2,2,train
2021/3/3,424,431,-7,7,train
2021/3/4,428,424,4,4,train
2021/3/5,419,428,-9,9,train
2021/3/6,412,419,-7,7,train
2021/3/7,410,412,-2,2,train
2021/3/8,402,410,-8,8,train
2021/3/9,399,402,-3,3,train
2021/3/10,406,399,7,7,train
2021/3/11,359,406,-47,47,train
2021/3/12,346,359,-13,13,train
2021/3/13,355,346,9,9,train
2021/3/14,364,355,9,9,train
2021/3/15,340,364,-24,24,train
2021/3/16,347,340,7,7,train
2021/3/17,350,347,3,3,train
2021/3/18,387,350,37,37,train
2021/3/19,375,387,-12,12,train
2021/3/20,367,375,-8,8,train
2021/3/21,351,367,-16,16,train
2021/3/22,361,351,10,10,train
2021/3/23,354,361,-7,7,train
2021/3/24,345,354,-9,9,train
2021/3/25,353,345,8,8,train
2021/3/26,345,353,-8,8,train
2021/3/27,366,345,21,21,train
2021/3/28,352,366,-14,14,train
2021/3/29,341,352,-11,11,train
2021/3/30,351,341,10,10,train
2021/3/31,364,351,13,13,train
2021/4/1,349,364,-15,15,train
2021/4/2,353,349,4,4,train
2021/4/3,360,353,7,7,train
2021/4/4,346,360,-14,14,train
2021/4/5,339,346,-7,7,train
2021/4/6,325,339,-14,14,train
2021/4/7,334,325,9,9,train
2021/4/8,351,334,17,17,train
2021/4/9,342,351,-9,9,train
2021/4/10,338,342,-4,4,train
2021/4/11,356,338,18,18,train
2021/4/12,346,356,-10,10,train
2021/4/13,362,346,16,16,train
2021/4/14,351,362,-11,11,train
2021/4/15,374,351,23,23,train
2021/4/16,354,374,-20,20,train
2021/4/17,344,354,-10,10,train
2021/4/18,323,344,-21,21,train
2021/4/19,346,323,23,23,train
2021/4/20,385,346,39,39,train
2021/4/21,374,385,-11,11,train
2021/4/22,366,374,-8,8,train
2021/4/23,378,366,12,12,train
2021/4/24,389,378,11,11,train
2021/4/25,331,389,-58,58,train
2021/4/26,315,331,-16,16,train
2021/4/27,365,315,50,50,train
2021/4/28,356,365,-9,9,train
2021/4/29,370,356,14,14,train
2021/4/30,361,370,-9,9,train
2021/5/1,362,361,1,1,train
2021/5/2,357,362,-5,5,train
2021/5/3,334,357,-23,23,train
2021/5/4,351,334,17,17,train
2021/5/5,325,351,-26,26,train
2021/5/6,352,325,27,27,train
2021/5/7,345,352,-7,7,train
2021/5/8,357,345,12,12,train
2021/5/9,345,357,-12,12,train
2021/5/10,375.1,345,30.1,30.1,train
2021/5/11,365,375.1,-10.1,10.1,train
2021/5/12,354,365,-11,11,train
2021/5/13,364,354,10,10,train
2021/5/14,375,364,11,11,train
2021/5/15,384,375,9,9,train
2021/5/16,378,384,-6,6,train
2021/5/17,376,378,-2,2,train
2021/5/18,387,376,11,11,train
2021/5/19,354,387,-33,33,train
2021/5/20,365,354,11,11,train
2021/5/21,354,365,-11,11,train
2021/5/22,355,354,1,1,train
2021/5/23,324,355,-31,31,train
2021/5/24,378,324,54,54,train
2021/5/25,351,378,-27,27,train
2021/5/26,499,351,148,148,train
2021/5/27,478,499,-21,21,train
2021/5/28,493,478,15,15,train
2021/5/29,469,493,-24,24,train
2021/5/30,426,469,-43,43,train
2021/5/31,440,426,14,14,train
2021/6/1,466,440,26,26,train
2021/6/2,454,466,-12,12,train
2021/6/3,505,454,51,51,train
2021/6/4,525,505,20,20,train
2021/6/5,510,525,-15,15,train
2021/6/6,486,510,-24,24,train
2021/6/7,475,486,-11,11,train
2021/6/8,484,475,9,9,train
2021/6/9,460,484,-24,24,train
2021/6/10,520,460,60,60,train
