target_date,dataset_part,actual,model_pred,persistence_pred,blend_pred,residual,alpha
2021/1/8,train,4.51,4.462326597,4.64,4.560047015,0.050046786,0.45
2021/1/9,train,4.23,4.433491302,4.51,4.475571307,0.245571288,0.45
2021/1/10,train,4.21,4.340961735,4.23,4.279932958,0.06993292,0.45
2021/1/11,train,4.31,4.364641067,4.21,4.279588501,-0.030411442,0.45
2021/1/12,train,4.21,4.385723278,4.31,4.344075563,0.134075525,0.45
2021/1/13,train,4.7,4.447051316,4.21,4.316673113,-0.383326696,0.45
2021/1/14,train,4.5,4.5374893,4.7,4.626870223,0.126870223,0.45
2021/1/15,train,4.4,4.519809423,4.5,4.508914383,0.108914288,0.45
2021/1/16,train,4.6,4.570765856,4.4,4.476844711,-0.123155193,0.45
2021/1/17,train,4.54,4.643294494,4.6,4.619482494,0.079482532,0.45
2021/1/18,train,4.32,4.567356947,4.54,4.552310605,0.232310433,0.45
2021/1/19,train,4.35,4.474401313,4.32,4.389480757,0.039480852,0.45
2021/1/20,train,4.2,4.493013935,4.35,4.414356194,0.214356385,0.45
2021/1/21,train,4.1,4.433330676,4.2,4.304998747,0.204998842,0.45
2021/1/22,train,4.35,4.41244695,4.1,4.240601242,-0.109398663,0.45
2021/1/23,train,4.12,4.450207617,4.35,4.395093351,0.275093466,0.45
2021/1/24,train,4.01,4.458186276,4.12,4.272183857,0.262183628,0.45
2021/1/25,train,4.21,4.514131621,4.01,4.236859355,0.026859317,0.45
2021/1/26,train,4.5,4.649532323,4.21,4.407789566,-0.092210434,0.45
2021/1/27,train,6.2,5.172644197,4.5,4.802690032,-1.397309777,0.45
2021/1/28,train,7.9,6.078500363,6.2,6.145325249,-1.754674846,0.45
2021/1/29,train,7.8,6.554114083,7.9,7.294351604,-0.505648587,0.45
2021/1/30,train,6.5,6.54928435,7.8,7.23717792,0.73717792,0.45
2021/1/31,train,6.4,6.359258312,6.5,6.436666288,0.036666193,0.45
2021/2/1,train,7.5,6.244345821,6.4,6.329955839,-1.170044161,0.45
2021/2/2,train,6.3,6.274047319,7.5,6.948321293,0.648321103,0.45
2021/2/3,train,6.1,6.015056715,6.3,6.171775674,0.071775769,0.45
2021/2/4,train,6.7,6.141919981,6.1,6.11886401,-0.581135799,0.45
2021/2/5,train,6.5,6.192906057,6.7,6.471807669,-0.028192331,0.45
2021/2/6,train,6.3,6.047600305,6.5,6.296420185,-0.003580006,0.45
