target_time,y_true,y_pred,residual,abs_error,dataset
2021/1/8,4.51,4.622349,-0.11234856,0.11234856,train
2021/1/9,4.23,4.4880743,-0.25807428,0.25807428,train
2021/1/10,4.21,4.4714785,-0.26147842,0.26147842,train
2021/1/11,4.31,4.4001565,-0.090156555,0.090156555,train
2021/1/12,4.21,4.4910526,-0.2810526,0.2810526,train
2021/1/13,4.7,4.3699775,0.33002234,0.33002234,train
2021/1/14,4.5,4.587353,-0.08735323,0.08735323,train
2021/1/15,4.4,4.55166,-0.15165997,0.15165997,train
2021/1/16,4.6,4.398839,0.20116091,0.20116091,train
2021/1/17,4.54,4.5350356,0.004964352,0.004964352,train
2021/1/18,4.32,4.5025244,-0.1825242,0.1825242,train
2021/1/19,4.35,4.389222,-0.03922224,0.03922224,train
2021/1/20,4.2,4.3883705,-0.1883707,0.1883707,train
2021/1/21,4.1,4.3251624,-0.2251625,0.2251625,train
2021/1/22,4.35,4.259364,0.09063578,0.09063578,train
2021/1/23,4.12,4.3217454,-0.20174551,0.20174551,train
2021/1/24,4.01,4.196056,-0.18605566,0.18605566,train
2021/1/25,4.21,4.0974417,0.112558365,0.112558365,train
2021/1/26,4.5,4.1577826,0.34221745,0.34221745,train
2021/1/27,6.2,4.3966846,1.8033152,1.8033152,train
2021/1/28,7.9,5.2419724,2.6580276,2.6580276,train
2021/1/29,7.8,6.3910913,1.4089088,1.4089088,train
2021/1/30,6.5,6.826987,-0.3269868,0.3269868,train
2021/1/31,6.4,6.4923234,-0.0923233,0.0923233,train
2021/2/1,7.5,6.414619,1.085381,1.085381,train
2021/2/2,6.3,6.7614255,-0.4614253,0.4614253,train
2021/2/3,6.1,6.4763837,-0.37638378,0.37638378,train
2021/2/4,6.7,6.3382387,0.3617611,0.3617611,train
2021/2/5,6.5,6.4625344,0.037465572,0.037465572,train
2021/2/6,6.3,6.432871,-0.13287067,0.13287067,train
2021/2/7,5.9,6.31027,-0.41026974,0.41026974,train
2021/2/8,5.8,6.0655303,-0.2655301,0.2655301,train
2021/2/9,5.55,5.9164968,-0.36649656,0.36649656,train
2021/2/10,8.5,5.7390556,2.7609444,2.7609444,train
2021/2/11,9.3,6.8646116,2.4353886,2.4353886,train
2021/2/12,7.7,7.477512,0.22248793,0.22248793,train
2021/2/13,4.31,7.1224165,-2.8124166,2.8124166,train
2021/2/14,4.21,5.641989,-1.4319892,1.4319892,train
2021/2/15,4.7,5.098571,-0.398571,0.398571,train
2021/2/16,4.5,4.8767996,-0.37679958,0.37679958,train
2021/2/17,4.4,4.7090364,-0.30903625,0.30903625,train
2021/2/18,4.6,4.5637107,0.036289215,0.036289215,train
