target_time,y_true,y_pred,residual,abs_error,dataset
2021-01-08,4.51,4.64,-0.12999964,0.12999964,train
2021-01-09,4.23,4.51,-0.2800002,0.2800002,train
2021-01-10,4.21,4.23,-0.01999998,0.01999998,train
2021-01-11,4.31,4.21,0.099999905,0.099999905,train
2021-01-12,4.21,4.31,-0.099999905,0.099999905,train
2021-01-13,4.7,4.21,0.48999977,0.48999977,train
2021-01-14,4.5,4.7,-0.19999981,0.19999981,train
2021-01-15,4.4,4.5,-0.099999905,0.099999905,train
2021-01-16,4.6,4.4,0.19999981,0.19999981,train
2021-01-17,4.54,4.6,-0.059999943,0.059999943,train
2021-01-18,4.32,4.54,-0.21999979,0.21999979,train
2021-01-19,4.35,4.32,0.029999733,0.029999733,train
2021-01-20,4.2,4.35,-0.1500001,0.1500001,train
2021-01-21,4.1,4.2,-0.099999905,0.099999905,train
2021-01-22,4.35,4.1,0.25,0.25,train
2021-01-23,4.12,4.35,-0.23000002,0.23000002,train
2021-01-24,4.01,4.12,-0.10999966,0.10999966,train
2021-01-25,4.21,4.01,0.19999981,0.19999981,train
2021-01-26,4.5,4.21,0.28999996,0.28999996,train
2021-01-27,6.2,4.5,1.6999998,1.6999998,train
2021-01-28,7.9,6.2,1.7000003,1.7000003,train
2021-01-29,7.8,7.9,-0.099999905,0.099999905,train
2021-01-30,6.5,7.8,-1.3000002,1.3000002,train
2021-01-31,6.4,6.5,-0.099999905,0.099999905,train
2021-02-01,7.5,6.4,1.0999999,1.0999999,train
2021-02-02,6.3,7.5,-1.1999998,1.1999998,train
2021-02-03,6.1,6.3,-0.20000029,0.20000029,train
2021-02-04,6.7,6.1,0.5999999,0.5999999,train
2021-02-05,6.5,6.7,-0.19999981,0.19999981,train
2021-02-06,6.3,6.5,-0.19999981,0.19999981,train
2021-02-07,5.9,6.3,-0.4000001,0.4000001,train
2021-02-08,5.8,5.9,-0.099999905,0.099999905,train
2021-02-09,5.55,5.8,-0.25,0.25,train
2021-02-10,8.5,5.55,2.9499998,2.9499998,train
2021-02-11,9.3,8.5,0.8000002,0.8000002,train
2021-02-12,7.7,9.3,-1.6000004,1.6000004,train
2021-02-13,4.31,7.7,-3.3899999,3.3899999,train
2021-02-14,4.21,4.31,-0.099999905,0.099999905,train
2021-02-15,4.7,4.21,0.48999977,0.48999977,train
2021-02-16,4.5,4.7,-0.19999981,0.19999981,train
2021-02-17,4.4,4.5,-0.099999905,0.099999905,train
2021-02-18,4.6,4.4,0.19999981,0.19999981,train
2021-02-19,4.54,4.6,-0.059999943,0.059999943,train
2021-02-20,4.32,4.54,-0.21999979,0.21999979,train
2021-02-21,4.35,4.32,0.029999733,0.029999733,train
2021-02-22,4.2,4.35,-0.1500001,0.1500001,train
2021-02-23,4.1,4.2,-0.099999905,0.099999905,train
2021-02-24,4.35,4.1,0.25,0.25,train
2021-02-25,4.12,4.35,-0.23000002,0.23000002,train
2021-02-26,4.01,4.12,-0.10999966,0.10999966,train
