target_time,y_true,y_pred,residual,abs_error,dataset
2021-01-08,4.51,4.8233447,-0.31334448,0.31334448,train
2021-01-09,4.23,4.5335927,-0.30359268,0.30359268,train
2021-01-10,4.21,4.043226,0.16677427,0.16677427,train
2021-01-11,4.31,4.297949,0.0120511055,0.0120511055,train
2021-01-12,4.21,4.2677217,-0.057721615,0.057721615,train
2021-01-13,4.7,4.1944294,0.5055704,0.5055704,train
2021-01-14,4.5,4.813557,-0.31355715,0.31355715,train
2021-01-15,4.4,4.4447603,-0.044760227,0.044760227,train
2021-01-16,4.6,4.4086785,0.19132137,0.19132137,train
2021-01-17,4.54,4.469473,0.07052708,0.07052708,train
2021-01-18,4.32,4.471527,-0.15152693,0.15152693,train
2021-01-19,4.35,4.3684363,-0.018436432,0.018436432,train
2021-01-20,4.2,4.457879,-0.25787926,0.25787926,train
2021-01-21,4.1,4.300252,-0.20025206,0.20025206,train
2021-01-22,4.35,4.209182,0.14081812,0.14081812,train
2021-01-23,4.12,4.359458,-0.23945808,0.23945808,train
2021-01-24,4.01,4.199953,-0.18995285,0.18995285,train
2021-01-25,4.21,4.0960054,0.1139946,0.1139946,train
2021-01-26,4.5,4.126714,0.37328577,0.37328577,train
2021-01-27,6.2,4.57183,1.62817,1.62817,train
2021-01-28,7.9,5.69374,2.2062602,2.2062602,train
2021-01-29,7.8,6.960603,0.83939695,0.83939695,train
2021-01-30,6.5,6.952077,-0.4520769,0.4520769,train
2021-01-31,6.4,6.198643,0.20135689,0.20135689,train
2021-02-01,7.5,6.174698,1.3253021,1.3253021,train
2021-02-02,6.3,6.9113054,-0.61130524,0.61130524,train
2021-02-03,6.1,6.1686535,-0.06865358,0.06865358,train
2021-02-04,6.7,6.4918585,0.20814133,0.20814133,train
2021-02-05,6.5,6.7825866,-0.28258657,0.28258657,train
2021-02-06,6.3,6.4503865,-0.15038633,0.15038633,train
2021-02-07,5.9,6.627877,-0.72787714,0.72787714,train
2021-02-08,5.8,6.1460214,-0.34602118,0.34602118,train
2021-02-09,5.55,5.809365,-0.2593646,0.2593646,train
2021-02-10,8.5,5.7569013,2.7430987,2.7430987,train
2021-02-11,9.3,8.017774,1.2822266,1.2822266,train
2021-02-12,7.7,8.313173,-0.6131735,0.6131735,train
2021-02-13,4.31,7.4154863,-3.1054864,3.1054864,train
2021-02-14,4.21,5.143926,-0.9339261,0.9339261,train
2021-02-15,4.7,5.218451,-0.5184512,0.5184512,train
2021-02-16,4.5,4.9954996,-0.4954996,0.4954996,train
2021-02-17,4.4,5.0734158,-0.67341566,0.67341566,train
2021-02-18,4.6,4.884846,-0.2848463,0.2848463,train
2021-02-19,4.54,5.115078,-0.575078,0.575078,train
2021-02-20,4.32,4.49708,-0.17707968,0.17707968,train
2021-02-21,4.35,4.531404,-0.18140411,0.18140411,train
2021-02-22,4.2,4.540761,-0.34076118,0.34076118,train
2021-02-23,4.1,4.3135858,-0.21358585,0.21358585,train
2021-02-24,4.35,4.040932,0.30906773,0.30906773,train
2021-02-25,4.12,4.14992,-0.029920101,0.029920101,train
2021-02-26,4.01,4.274783,-0.2647829,0.2647829,train
2021-02-27,4.21,3.79335,0.41665006,0.41665006,train
2021-02-28,4.5,4.415012,0.08498812,0.08498812,train
2021-03-01,6.2,4.380156,1.8198438,1.8198438,train
2021-03-02,7.9,5.6089425,2.2910576,2.2910576,train
2021-03-03,7.8,6.689854,1.110146,1.110146,train
2021-03-04,6.5,6.677983,-0.1779828,0.1779828,train
2021-03-05,6.4,5.5797014,0.8202987,0.8202987,train
2021-03-06,7.5,5.99644,1.5035601,1.5035601,train
2021-03-07,6.3,6.496216,-0.19621563,0.19621563,train
2021-03-08,6.1,5.7471147,0.35288525,0.35288525,train
2021-03-09,6.7,6.248675,0.45132494,0.45132494,train
2021-03-10,6.5,6.5437937,-0.04379368,0.04379368,train
2021-03-11,6.3,6.2033453,0.09665489,0.09665489,train
2021-03-12,5.9,6.2567058,-0.35670567,0.35670567,train
2021-03-13,5.8,6.1081243,-0.30812407,0.30812407,train
2021-03-14,5.55,5.7789283,-0.22892809,0.22892809,train
2021-03-15,8.5,5.6988482,2.8011518,2.8011518,train
2021-03-16,9.3,7.532698,1.767302,1.767302,train
2021-03-17,7.7,8.383445,-0.683445,0.683445,train
2021-03-18,7.1,6.9804077,0.11959219,0.11959219,train
2021-03-19,6.9,6.450022,0.44997787,0.44997787,train
2021-03-20,6.7,6.5320253,0.16797447,0.16797447,train
2021-03-21,6.48,6.1250567,0.35494328,0.35494328,train
2021-03-22,6.51,6.3014135,0.2085867,0.2085867,train
2021-03-23,7.6,6.416478,1.1835217,1.1835217,train
2021-03-24,7.5,7.0140033,0.48599672,0.48599672,train
2021-03-25,7.2,6.811057,0.38894272,0.38894272,train
2021-03-26,7.3,6.810271,0.4897294,0.4897294,train
2021-03-27,7.3,6.875828,0.4241724,0.4241724,train
2021-03-28,7.2,6.8227897,0.37721014,0.37721014,train
2021-03-29,8.5,6.855055,1.6449451,1.6449451,train
2021-03-30,8.3,8.004548,0.29545212,0.29545212,train
2021-03-31,8.1,7.8175898,0.28241062,0.28241062,train
2021-04-01,7.0,7.511623,-0.5116229,0.5116229,train
2021-04-02,7.2,7.0490055,0.1509943,0.1509943,train
2021-04-03,7.3,7.025841,0.27415895,0.27415895,train
