theoretical_quantiles,sample_quantiles,qq_line
-3.259098917490773,-109.63348388671876,-65.60156141126711
-2.9985236365570667,-80.703857421875,-60.38978275115585
-2.853405448383268,-75.18145751953125,-57.48726692690683
-2.751198321755223,-67.40313720703125,-55.443017297538276
-2.671549351684149,-63.37957763671875,-53.84995443666824
-2.6059259986508696,-60.13116455078125,-52.53741861316929
-2.549910614532967,-53.09088134765625,-51.417052235600664
-2.5009095051806227,-52.1495361328125,-50.436978703187215
-2.457265665672261,-51.3521728515625,-49.56405618121986
-2.4178539933443264,-50.75653076171875,-48.775781437498935
-2.3818744580836975,-49.92864990234375,-48.05615303145771
-2.348737193503928,-48.0145263671875,-47.39337301728114
-2.3179943943375863,-47.45721435546875,-46.77848482039194
-2.289297819533728,-47.41574096679688,-46.204523254869976
-2.262371132705066,-46.94757080078125,-45.66596130341295
-2.236991256323771,-46.58676147460938,-45.15833718171451
-2.2129754228872183,-46.209228515625,-44.677995348210914
-2.190171949988268,-44.09420776367188,-44.22190199582032
-2.168453521158486,-43.9208984375,-43.78751066176665
-2.1477121959132144,-43.578514099121094,-43.37266242325229
-2.1278556398609205,-43.24240112304688,-42.97551049569482
-2.1088042327324814,-42.534423828125,-42.59446239028243
-2.0904888193107642,-41.98197937011719,-42.22813493020879
-2.0728489386291504,-41.93538665771485,-41.87531883278805
-2.0558314140624305,-41.70648193359375,-41.53495050979537
-2.0393892192785104,-41.537353515625,-41.20608938531277
-2.0234805575509567,-41.41717529296875,-40.88789948101526
-2.008068107880938,-41.37067413330078,-40.57963433781974
-1.993118402832192,-40.77326965332031,-40.280624571932414
-1.9786013113214613,-39.7088623046875,-39.99026753011555
-1.964489605752681,-39.446868896484375,-39.70801863191767
-1.9507585974648598,-38.915771484375,-39.43338407824915
-1.9373858279156018,-38.35316467285156,-39.165914674729095
-1.9243508056488432,-38.08555603027344,-38.90520057076444
-1.9116347811124128,-37.881591796875,-38.65086675566523
-1.8992205529533572,-37.836029052734375,-38.4025691843481
-1.8870923006388027,-37.816162109375,-38.15999142957818
-1.8752354392098596,-37.56613159179688,-37.92284177689495
-1.8636364927364282,-36.86685180664063,-37.6908506935758
-1.852282983647341,-36.71514892578125,-37.46376861512286
-1.841163335597121,-36.70172119140625,-37.24136400249643
-1.8302667879237995,-36.616943359375,-37.02342163118167
-1.819583320071517,-36.45459747314453,-36.80974107956144
-1.809103584612316,-36.35675048828125,-36.600135389281974
-1.7988188477154479,-35.7044677734375,-36.39442987457664
-1.788720936088926,-34.946792602539055,-36.192461061041385
-1.7788021895641961,-34.92822265625,-35.99407573727849
-1.7690554186163865,-34.542999267578125,-35.79913010525705
-1.7594738662142146,-34.04742431640625,-35.60748901727111
-1.750051173478843,-33.258819580078125,-35.41902528908083
-1.7407813487027946,-33.2530517578125,-35.233619080258315
-1.7316587393406633,-33.213134765625,-35.051157333972476
-1.7226780066348728,-33.036834716796875,-34.87153326947762
-1.7138341025834911,-32.99847412109375,-34.69464592144559
-1.7051222489945306,-32.914947509765625,-34.52039972102987
-1.6965379184031915,-32.837417602539055,-34.34870411419039
-1.688076816656012,-32.73834228515625,-34.17947321335832
-1.6797348669896082,-32.7034912109375,-34.01262547899419
-1.6715081954521562,-32.6512451171875,-33.848083428002234
-1.6633931175335146,-32.38043212890625,-33.68577336631884
-1.6553861258852893,-32.23504638671875,-33.52562514330099
-1.6474838790255557,-32.15789794921875,-33.36757192580885
