bin_left,bin_right,count
-170.0,-158.66666666666666,1
-158.66666666666666,-147.33333333333334,0
-147.33333333333334,-136.0,0
-136.0,-124.66666666666666,0
-124.66666666666666,-113.33333333333333,0
-113.33333333333333,-102.0,0
-102.0,-90.66666666666666,3
-90.66666666666666,-79.33333333333333,1
-79.33333333333333,-68.0,1
-68.0,-56.66666666666666,2
-56.66666666666666,-45.33333333333333,14
-45.33333333333333,-34.0,20
-34.0,-22.666666666666657,87
-22.666666666666657,-11.333333333333314,187
-11.333333333333314,0.0,323
0.0,11.333333333333343,348
11.333333333333343,22.666666666666686,152
22.666666666666686,34.0,48
34.0,45.33333333333334,19
45.33333333333334,56.666666666666686,16
56.666666666666686,68.0,6
68.0,79.33333333333334,3
79.33333333333334,90.66666666666669,3
90.66666666666669,102.0,0
102.0,113.33333333333337,0
113.33333333333337,124.66666666666669,0
124.66666666666669,136.0,0
136.0,147.33333333333337,0
147.33333333333337,158.66666666666669,5
158.66666666666669,170.0,1
