theoretical_quantiles,sample_quantiles,qq_line
-3.259098917490773,-170.0,-68.61197733077987
-2.9985236365570667,-98.0,-63.149767031468066
-2.853405448383268,-98.0,-60.10778216160599
-2.751198321755223,-98.0,-57.965304111768226
-2.671549351684149,-84.0,-56.295692845907276
-2.6059259986508696,-79.0,-54.9200882470008
-2.549910614532967,-58.0,-53.74588704513562
-2.5009095051806227,-58.0,-52.718719912386085
-2.457265665672261,-55.0,-51.80385251280057
-2.4178539933443264,-55.0,-50.97770030937067
-2.3818744580836975,-53.0,-50.22349297488809
-2.348737193503928,-52.0,-49.52886565939576
-2.3179943943375863,-52.0,-48.884431415156044
-2.289297819533728,-50.0,-48.28289037148166
-2.262371132705066,-50.0,-47.71844993187112
-2.236991256323771,-50.0,-47.186433918424164
-2.2129754228872183,-49.0,-46.68301113682476
-2.190171949988268,-48.0,-46.205002002257565
-2.168453521158486,-47.0,-45.749737691637534
-2.1477121959132144,-47.0,-45.31495554357598
-2.1278556398609205,-47.0,-44.898720033480544
-2.1088042327324814,-47.0,-44.49936215171809
-2.0904888193107642,-45.0,-44.115432258330735
-2.0728489386291504,-43.0,-43.74566296328292
-2.0558314140624305,-43.0,-43.38893957177758
-2.0393892192785104,-43.0,-43.04427631219975
-2.0234805575509567,-43.0,-42.71079703655572
-2.008068107880938,-41.0,-42.38771941759071
-1.993118402832192,-41.0,-42.0743419068908
-1.9786013113214613,-40.0,-41.770032893074024
-1.964489605752681,-40.0,-41.47422162800527
-1.9507585974648598,-39.0,-41.186390585011
-1.9373858279156018,-39.0,-40.90606898543124
-1.9243508056488432,-37.0,-40.632827284905694
-1.9116347811124128,-37.0,-40.366272453072426
-1.8992205529533572,-37.0,-40.10604391310722
-1.8870923006388027,-37.0,-39.85181003310206
-1.8752354392098596,-37.0,-39.60326508139897
-1.8636364927364282,-37.0,-39.36012657393455
-1.852282983647341,-35.0,-39.122132954365085
-1.841163335597121,-35.0,-38.88904155794792
-1.8302667879237995,-35.0,-38.660626818395926
-1.819583320071517,-34.0,-38.436678683615064
-1.809103584612316,-34.0,-38.21700121169909
-1.7988188477154479,-34.0,-38.00141132304009
-1.788720936088926,-34.0,-37.78973768811092
-1.7788021895641961,-34.0,-37.58181973353937
-1.7690554186163865,-34.0,-37.37750675164258
-1.7594738662142146,-34.0,-37.176657100720185
-1.750051173478843,-33.0,-36.979137485191146
-1.7407813487027946,-33.0,-36.784822306164514
-1.7316587393406633,-33.0,-36.593593074305375
-1.7226780066348728,-33.0,-36.405337877936944
-1.7138341025834911,-33.0,-36.219950900237116
-1.7051222489945306,-33.0,-36.03733198017223
-1.6965379184031915,-33.0,-35.85738621248201
-1.688076816656012,-33.0,-35.680023582606445
-1.6797348669896082,-32.0,-35.505158632942376
-1.6715081954521562,-32.0,-35.33271015724695
-1.6633931175335146,-32.0,-35.162600920376555
-1.6553861258852893,-32.0,-34.99475740087339
-1.6474838790255557,-32.0,-34.82910955419248
-1.6396831909346572,-32.0,-34.66559059460757
-1.631981021458743,-32.0,-34.50413679404892
-1.624374467446676,-32.0,-34.34468729631412
-1.6168607545538363,-32.0,-34.18718394525842
-1.609437229653275,-31.0,-34.03157112571641
-1.602101353800824,-31.0,-33.87779561603587
-1.5948506957061412,-31.0,-33.72580645121697
-1.5876829256665108,-31.0,-33.57555479575189
-1.5805958099244377,-31.0,-33.42699382534804
-1.5735872054138675,-31.0,-33.2800786167977
-1.5666550548632412,-31.0,-33.13476604532764
