bin_left,bin_right,count
-128.8232680648805,-119.0425355296633,1
-119.0425355296633,-109.2618029944461,0
-109.2618029944461,-99.4810704592289,0
-99.4810704592289,-89.7003379240117,2
-89.7003379240117,-79.91960538879451,0
-79.91960538879451,-70.13887285357733,2
-70.13887285357733,-60.35814031836013,0
-60.35814031836013,-50.57740778314293,4
-50.57740778314293,-40.796675247925734,14
-40.796675247925734,-31.015942712708537,27
-31.015942712708537,-21.23521017749134,68
-21.23521017749134,-11.454477642274156,157
-11.454477642274156,-1.6737451070569591,314
-1.6737451070569591,8.106987428160238,311
8.106987428160238,17.887719963377435,198
17.887719963377435,27.668452498594633,74
27.668452498594633,37.44918503381183,30
37.44918503381183,47.22991756902903,16
47.22991756902903,57.010650104246224,7
57.010650104246224,66.79138263946342,2
66.79138263946342,76.57211517468062,1
76.57211517468062,86.35284770989782,2
86.35284770989782,96.13358024511501,3
96.13358024511501,105.91431278033218,1
105.91431278033218,115.69504531554938,0
115.69504531554938,125.47577785076658,2
125.47577785076658,135.2565103859838,2
135.2565103859838,145.03724292120097,1
145.03724292120097,154.8179754564182,0
154.8179754564182,164.5987079916354,1
