theoretical_quantiles,sample_quantiles,qq_line
-3.259098917490773,-6.167060211874772,-3.0378120961253314
-2.9985236365570667,-4.718511115655639,-2.7949293974372176
-2.853405448383268,-4.628415424455731,-2.6596644672946343
-2.751198321755223,-3.643868695229362,-2.5643970165540058
-2.671549351684149,-3.4677930123059992,-2.4901560650359955
-2.6059259986508696,-2.7539622059246076,-2.4289884169591205
-2.549910614532967,-2.522608269531778,-2.3767763743821853
-2.5009095051806227,-2.522460916947853,-2.3311023502170283
-2.457265665672261,-2.4496884155973118,-2.290421847128177
-2.4178539933443264,-2.4124222076102906,-2.2536861548532996
-2.3818744580836975,-2.2288728820175745,-2.2201495638522943
-2.348737193503928,-2.206160089858649,-2.1892622585812926
-2.3179943943375863,-2.1836747640201857,-2.1606068389267805
-2.289297819533728,-2.1780562664023404,-2.133858708764581
-2.262371132705066,-2.157952106784068,-2.108760294439782
-2.236991256323771,-2.104828598689003,-2.0851036649783405
-2.2129754228872183,-2.069966082578396,-2.062718462454859
-2.190171949988268,-2.0528258189392323,-2.0414633034186207
-2.168453521158486,-2.0311199629607444,-2.0212195159552
-2.1477121959132144,-1.985842045323003,-2.001886488540289
-2.1278556398609205,-1.9858264077733865,-1.9833781561176906
-2.1088042327324814,-1.9691442528559158,-1.9656203044880938
-2.0904888193107642,-1.962779192500143,-1.9485484739463974
-2.0728489386291504,-1.9219933610283095,-1.932106308714398
-2.0558314140624305,-1.891977476301862,-1.9162442427619188
-2.0393892192785104,-1.8791833612253814,-1.90091844275831
-2.0234805575509567,-1.8554582931678358,-1.8860899498979777
-2.008068107880938,-1.8478439168607175,-1.871723977209259
-1.993118402832192,-1.8445785710870024,-1.8577893296332497
-1.9786013113214613,-1.8330731571686618,-1.84425792193182
-1.964489605752681,-1.817595259258815,-1.8311043752125922
-1.9507585974648598,-1.813372925897544,-1.8183056771292412
-1.9373858279156018,-1.785169885052455,-1.8058408940330872
-1.9243508056488432,-1.783858543986319,-1.7936909258002391
-1.9116347811124128,-1.772740801350728,-1.7818382959386283
-1.8992205529533572,-1.7432700347428316,-1.7702669710355248
-1.8870923006388027,-1.6993056456797406,-1.758962204743135
-1.8752354392098596,-1.693248408249786,-1.7479104023944487
-1.8636364927364282,-1.6872454779748194,-1.7370990030502311
-1.852282983647341,-1.6667146317250268,-1.7265163763434441
-1.841163335597121,-1.6429842360517335,-1.7161517319411743
-1.8302667879237995,-1.628835560544114,-1.705995039810606
-1.819583320071517,-1.6202717334904488,-1.6960369597731897
-1.809103584612316,-1.6028276741135283,-1.6862687790741318
-1.7988188477154479,-1.5818983148875103,-1.676682356893725
-1.788720936088926,-1.5535392866733349,-1.6672700748914746
-1.7788021895641961,-1.5494485012566792,-1.6580247930101795
-1.7690554186163865,-1.5388880375269876,-1.648939809880482
-1.7594738662142146,-1.5202124727575501,-1.640008827261094
-1.750051173478843,-1.5086451055208225,-1.6312259180293538
-1.7407813487027946,-1.4775734309117226,-1.6225854973037004
-1.7316587393406633,-1.4603559627328113,-1.6140822963361625
-1.7226780066348728,-1.423444263927396,-1.6057113388609832
-1.7138341025834911,-1.4165660710996133,-1.5974679196262753
-1.7051222489945306,-1.4058881045436675,-1.5893475848704977
-1.6965379184031915,-1.4028955459607333,-1.5813461145353824
-1.688076816656012,-1.4008321750677935,-1.5734595060325887
-1.6797348669896082,-1.3926171119366038,-1.5656839594034666
-1.6715081954521562,-1.3921619706801343,-1.5580158637303956
-1.6633931175335146,-1.384858190546725,-1.5504517846746948
-1.6553861258852893,-1.3843115773283663,-1.5429884530304745
-1.6474838790255557,-1.3806232578151754,-1.535622754196286
-1.6396831909346572,-1.3765719139554413,-1.5283517184773465
-1.631981021458743,-1.3733088430143285,-1.5211725121406594
-1.624374467446676,-1.3504647833683634,-1.5140824291537096
-1.6168607545538363,-1.3302615818969368,-1.5070788835447735
-1.609437229653275,-1.3244360827414463,-1.5001594023293414
-1.602101353800824,-1.3165624058401457,-1.4933216189528835
-1.5948506957061412,-1.3031214826583941,-1.4865632672052005
-1.5876829256665108,-1.3026796867120245,-1.4798821755661045
-1.5805958099244377,-1.2815198151004457,-1.473276261946126
-1.5735872054138675,-1.2707031990312276,-1.466743528789453
-1.5666550548632412,-1.2700127163302217,-1.4602820585094813
-1.5597973822265712,-1.2668914983419195,-1.4538900092301108
-1.553012288416439,-1.2569729417936675,-1.4475656108084656
-1.5462979473151903,-1.2462369671651499,-1.4413071611169206
-1.5396526020427532,-1.2211419411499627,-1.4351130225643292
-1.5330745614614651,-1.2023129714130671,-1.428981618838165
-1.5265621968999907,-1.1998106630933933,-1.4229114318508806
-1.5201139390800025,-1.1935062315556622,-1.4169009988752603
-1.5137282752306878,-1.1884277398061152,-1.4109489098548469
-1.5074037463774248,-1.1863693422047035,-1.4050538048767114
-1.5011389447921135,-1.1856932975118422,-1.3992143717949022
-1.4949325115936922,-1.1731645770363415,-1.3934293439938823
-1.4887831344883007,-1.1697164314839832,-1.3876974982821304
-1.4826895456394218,-1.1651425467850363,-1.3820176529068968
-1.4766505196590876,-1.1598633377015732,-1.3763886656818025
-1.4706648717119644,-1.1593274390680453,-1.3708094322196533
-1.4647314557247493,-1.1444468680030846,-1.3652788842634156
-1.4588491626939226,-1.1394490541677826,-1.3597959881088684
-1.4530169190854056,-1.1343581029711665,-1.3543597431129224
-1.4472336853201804,-1.1330565893904985,-1.3489691802820623
-1.4414984543403742,-1.1314085901422912,-1.3436233609357928
-1.4358102502506997,-1.128750471899727,-1.3383213754403216
-1.4301681270305424,-1.1274376001687063,-1.3330623420080931
-1.4245711673123058,-1.1257566270824706,-1.3278454055590834
-1.4190184812219542,-1.123625602710854,-1.322669736640067
-1.413509205277975,-1.1148930023317374,-1.3175345303983375
-1.408042501345253,-1.1115834580886135,-1.3124390056066126
-1.4026175556405824,-1.1098569807550425,-1.3073824037360686
-1.3972335777867826,-1.105847893033105,-1.3023639880746818
-1.3918897999125848,-1.100934944692804,-1.2973830428882303
-1.3865854757956368,-1.0949372554009678,-1.2924388726214868
-1.3813198800461723,-1.0932375926990006,-1.2875308011373157
-1.3760923073290359,-1.0890287856069643,-1.2826581709915212
-1.3709020716219125,-1.086781497944341,-1.2778203427414414
-1.365748505507753,-1.0816850778043445,-1.2730166942864174
-1.3606309594995099,-1.077102644939482,-1.268246620238377
