theoretical_q,sample_q
-3.357185880281268,-7.723501794410408
-3.040455657655781,-7.683510167382426
-2.8831652975370994,-7.335127012492967
-2.7754928560976837,-7.269149361855096
-2.6927464367039295,-6.802543193603259
-2.625136748587886,-6.438547972173361
-2.5677457473390075,-3.4280701421309345
-2.5177407029805927,-3.166759581120293
-2.473335887928078,-3.039936682793238
-2.433330700385236,-3.029581220835317
-2.396877893019857,-3.023419171294624
-2.3633565533682126,-2.8816959579323083
-2.3322976253898617,-2.7406153701605054
-2.3033378338010704,-2.719348735705042
-2.276189908256616,-2.659839857711967
-2.2506226307412662,-2.5942681583954426
-2.2264470497270823,-2.552347446149077
-2.2035067020912473,-2.464377485469661
-2.1816705183493883,-2.4378563299801157
-2.1608275715246172,-2.2251038692120466
-2.140883121808579,-2.2240343463052716
-2.1217555904384424,-2.223850503585446
-2.1033742119506185,-2.1900941235682407
-2.0856771897007182,-2.1505804867292158
-2.0686102301882636,-2.132366267960238
-2.0521253662750065,-2.123498609363735
-2.036180003379318,-2.0670714440643314
-2.02073613966461,-2.031073175093003
-2.0057597233723223,-2.0187401197336783
-1.991220119261043,-2.0077697847228797
-1.9770896625929595,-1.9708417351381022
-1.96334328392955,-1.9707092732090878
-1.949958191623682,-1.969170284203499
-1.9369136016488802,-1.8769479496249153
-1.9241905065176583,-1.8526002944065472
-1.9117714766734304,-1.8231951827808435
-1.8996404890134893,-1.800866690611021
-1.8877827782006436,-1.6481671199607775
-1.8761847072125122,-1.624072265299255
-1.8648336542080022,-1.605357241729786
-1.8537179132960315,-1.5684092712799311
-1.842826607199363,-1.5540275011196614
-1.8321496101372496,-1.540722176878196
-1.8216774795204507,-1.527100912219891
-1.8114013952734145,-1.5165268784576738
-1.8013131057807232,-1.4828161959594786
-1.791404879605767,-1.4686290125003145
-1.7816694622550744,-1.446391055494508
-1.772100037366447,-1.3872481623174715
-1.7626901917868798,-1.3668150309684755
-1.7534338840801178,-1.3645266466449164
-1.7443254160661272,-1.358555149974778
-1.7353594070476754,-1.3528318898139648
-1.7265307704241974,-1.3499095065326097
-1.7178346924315453,-1.3498574450604646
-1.709266612779088,-1.3474715455251443
-1.7008222069838335,-1.3449384262285318
-1.692497370225583,-1.3429702245807473
-1.6842882025680737,-1.3257322687421715
-1.6761909954092638,-1.3216349345531306
-1.6682022190396677,-1.3145642911432192
-1.6603185112013867,-1.3056136203020645
-1.6525366665524397,-1.29978631702441
-1.6448536269514729,-1.2941182865970409
-1.637266472487102,-1.287666835484521
-1.6297724131841926,-1.2776065244031667
-1.6223687813264691,-1.2719422619478626
-1.6150530243411119,-1.2565358015466142
-1.6078226981965007,-1.2560179492297743
-1.6006754612691825,-1.2540246954728245
-1.5936090686404503,-1.2482133172732697
-1.5866213667868005,-1.234802855239948
-1.5797102886319518,-1.226440097457469
-1.57287384893116,-1.2199879542122862
-1.5661101399613215,-1.2170625663562933
-1.5594173274927778,-1.2062279645643061
-1.5527936470209278,-1.203325662874471
-1.5462374002377206,-1.196200020753593
-1.539746951724882,-1.1856916679433394
-1.5333207258522796,-1.1639438878359996
-1.5269572038662997,-1.1604809056951357
-1.520654921154378,-1.1557330439936493
-1.5144124646730053,-1.1467734336880664
-1.508228470527575,-1.1288628084523773
-1.5021016216934013,-1.1224152851954634
-1.4960306458681087,-1.1032801963552983
-1.4900143134463613,-1.102384285871051
-1.4840514356086505,-1.101982511988825
-1.4781408625164711,-1.0994871248856337
-1.4722814816068421,-1.0969537456370915
-1.4664722159796508,-1.096063995030835
-1.460712022871805,-1.0732335147765744
-1.4549998922126177,-1.072580516236691
-1.4493348452552735,-1.072204201632354
-1.4437159332795984,-1.0472013064449255
-1.4381422363617093,-1.040274981033735
-1.4326128622064185,-1.0357307492964716
-1.4271269450385904,-1.0288226931205458
-1.4216836445498933,-1.02519692226839
-1.4162821448976421,-1.0206243271548414
-1.4109216537526688,-1.0155255685040925
-1.4056014013933407,-1.0153183192888415
-1.400320639843074,-1.0099279391459275
-1.3950786420488415,-0.9924040601007237
-1.3898747010983448,-0.9833324401553116
-1.384708129473694,-0.9824736679416021
-1.379578258339546,-0.9723717619851318
-1.374484436863816,-0.9681741352680401
-1.36942603156917,-0.965926899466936
-1.3644024257136422,-0.9565529839612383
-1.3594130186988134,-0.956482855002216
-1.354457225504083,-0.9375533429287481
-1.3495344761456627,-0.9330427777502207
-1.3446442151589997,-0.9227599532076534
-1.339785901103423,-0.9226957817068134
-1.3349590060878613,-0.9222414262399615
-1.330163015316576,-0.9211780169827497
-1.325397426653889,-0.9039358821645808
-1.3206617502069617,-0.9036756843012027
-1.315955507925726,-0.9000667694131985
-1.3112782332191326,-0.8957462971258238
-1.3066294705869128,-0.8922678820905435
-1.3020087752661065,-0.8753649712203952
-1.2974157128916537,-0.8712649496218078
-1.292849859170372,-0.8689746478461308
-1.288310799567698,-0.8676728671732548
-1.2837981290065836,-0.862234434838082
-1.2793114515779989,-0.8621506813658623
-1.2748503802624924,-0.8498637628324905
-1.2704145366623099,-0.8462412178305622
-1.2660035507435903,-0.8426403869837057
-1.2616170605881942,-0.8362382014171054
-1.2572547121547184,-0.8342621702101578
-1.2529161590483044,-0.8334046647473357
-1.2486010622988482,-0.8262297925616466
-1.2443090901472398,-0.8241248755587773
-1.2400399178392938,-0.8223210484886169
-1.2357932274270347,-0.8061565026794035
-1.2315687075770219,-0.805493083044014
-1.2273660533854187,-0.8054118875452615
-1.22318496619952,-0.80487149036835
-1.2190251534454695,-0.7825261597909127
-1.214886328461907,-0.7814973489664798
-1.2107682103393071,-0.776885066430247
-1.2066705237647692,-0.7753131986624303
-1.202592998872042,-0.7743530682506924
-1.1985353710965705,-0.7723264988763505
-1.1944973810353632,-0.7718155229099251
-1.1904787743114864,-0.7677316723472332
-1.1864793014430064,-0.7657077469405278
-1.1824987177162036,-0.7648133856371837
-1.178536783062886,-0.7623782812252514
-1.1745932619416521,-0.7585212371388304
-1.1706679232229478,-0.7537140456028871
-1.1667605400777674,-0.7497670099021496
-1.162870889869867,-0.7472102176353211
-1.1589987540513556,-0.7428736004025998
-1.1551439180615324,-0.7418820688320756
-1.1513061712288577,-0.7418413213097896
-1.147485306675933,-0.7408828636363632
-1.1436811212273865,-0.7378415993369178
-1.139893415320554,-0.7375774661921272
-1.1361219929188495,-0.7369060523270576
-1.1323666614277408,-0.7327450764200674
-1.1286272316132195,-0.7327294952352068
-1.1249035175226956,-0.7324667366401416
-1.121195336408209,-0.732104003432032
-1.1175025086518975,-0.7320988533520458
-1.113824857693627,-0.7310505631800162
-1.110162209960714,-0.7298079417651657
-1.1065143947996727,-0.726297802169213
-1.1028812444099039,-0.7159812267377861
-1.0992625937792717,-0.7146357459928349
-1.0956582806215054,-0.7082068884365572
-1.092068145315345,-0.7078409448271747
-1.0884920308453978,-0.7051186363646533
-1.0849297827446287,-0.700714541903133
-1.081381249038445,-0.6964225172227168
-1.0778462801903053,-0.6933134917543904
-1.0743247290488243,-0.6904868130655707
-1.0708164507963014,-0.6880200730165168
-1.0673213028986477,-0.6863132247471362
-1.0638391450566516,-0.6825462133735497
-1.0603698391585434,-0.6777635298933757
-1.0569132492338271,-0.6748812732103064
-1.0534692414083215,-0.6744442182735342
-1.0500376838603842,-0.6723327931136298
-1.0466184467782835,-0.6720825790451633
-1.0432114023186727,-0.6711829295829096
-1.0398164245661385,-0.6696808189976791
-1.0364333894937898,-0.6691706902572722
-1.0330621749248508,-0.6680309568662782
-1.0297026604952373,-0.6666624833967818
-1.0263547276170724,-0.6644369298216463
-1.023018259443124,-0.6642277472635089
-1.0196931408321348,-0.6599803589641965
-1.01637925831501,-0.659183988142328
-1.013076500061848,-0.6539704301767725
-1.0097847558497826,-0.6530024248153911
-1.0065039170316126,-0.6501658745892682
-1.0032338765051976,-0.646179907247266
-0.9999745286835999,-0.6447000083335905
-0.9967257694659429,-0.6424087368906803
-0.9934874962089737,-0.6419776111353998
