bin_left,bin_right,count
-131.97374078299566,-122.9633350042356,1
-122.9633350042356,-113.95292922547554,0
-113.95292922547554,-104.94252344671548,0
-104.94252344671548,-95.93211766795542,0
-95.93211766795542,-86.92171188919536,0
-86.92171188919536,-77.91130611043529,2
-77.91130611043529,-68.90090033167523,1
-68.90090033167523,-59.89049455291517,1
-59.89049455291517,-50.88008877415511,1
-50.88008877415511,-41.86968299539505,4
-41.86968299539505,-32.85927721663499,16
-32.85927721663499,-23.84887143787492,36
-23.84887143787492,-14.83846565911486,89
-14.83846565911486,-5.8280598803548,276
-5.8280598803548,3.1823458984052593,338
3.1823458984052593,12.192751677165319,291
12.192751677165319,21.20315745592538,112
21.20315745592538,30.213563234685438,30
30.213563234685438,39.2239690134455,19
39.2239690134455,48.23437479220556,11
48.23437479220556,57.24478057096562,0
57.24478057096562,66.25518634972568,0
66.25518634972568,75.26559212848574,6
75.26559212848574,84.27599790724582,0
84.27599790724582,93.28640368600588,0
93.28640368600588,102.29680946476594,0
102.29680946476594,111.307215243526,0
111.307215243526,120.31762102228606,3
120.31762102228606,129.32802680104612,2
129.32802680104612,138.33843257980618,1
