theoretical_quantiles,sample_quantiles,qq_line
-3.259098917490773,-131.97374078299566,-53.71175433474577
-2.9985236365570667,-82.58427397473213,-49.42736930537681
-2.853405448383268,-81.13338526881978,-47.04133256899446
-2.751198321755223,-76.6201373216186,-45.3608405374751
-2.671549351684149,-65.70730337080866,-44.05125025801961
-2.6059259986508696,-56.039204622154806,-42.97226951086152
-2.549910614532967,-46.42191123062204,-42.05126321943916
-2.5009095051806227,-44.749133181036036,-41.24558580222833
-2.457265665672261,-44.13520898059407,-40.52799274449934
-2.4178539933443264,-41.934191736659606,-39.87998508122772
-2.3818744580836975,-41.381159268217004,-39.288408698072985
-2.348737193503928,-41.23097516977083,-38.74356499773779
-2.3179943943375863,-40.039910770703564,-38.23809115525662
-2.289297819533728,-39.92219492466245,-37.76626138290344
-2.262371132705066,-39.14768744552738,-37.323532151159554
-2.236991256323771,-38.441008175800334,-36.90623561395302
-2.2129754228872183,-38.349304456596634,-36.51136670361474
-2.190171949988268,-37.92870388850224,-36.13643145436237
-2.168453521158486,-37.27923437044049,-35.7793365257632
-2.1477121959132144,-35.39799978796225,-35.438307157775206
-2.1278556398609205,-35.26726633219317,-35.11182518611452
-2.1088042327324814,-35.09583037195847,-34.798581492403365
-2.0904888193107642,-34.66627688697929,-34.49743902490019
-2.0728489386291504,-34.52277857365516,-34.20740368293931
-2.0558314140624305,-33.879007402430574,-33.92760113517146
-2.0393892192785104,-32.93884810311238,-33.65725817351456
-2.0234805575509567,-32.79273907464653,-33.39568757518845
-2.008068107880938,-32.73362280475692,-33.14227570743369
-1.993118402832192,-32.545941153158715,-32.896472297859226
-1.9786013113214613,-32.519213769500034,-32.65778193047024
-1.964489605752681,-31.288015803438725,-32.4257569284781
-1.9507585974648598,-31.10094740001702,-32.199991360325654
-1.9373858279156018,-30.36705034484385,-31.980115962119253
-1.9243508056488432,-29.772845428287724,-31.76579381284601
-1.9116347811124128,-29.329182011389552,-31.55671663191866
-1.8992205529533572,-29.306358206881896,-31.352601594278696
-1.8870923006388027,-29.275308098381966,-31.153188578344515
-1.8752354392098596,-29.256816688188,-30.958237777871656
-1.8636364927364282,-28.677434719585328,-30.767527621293663
-1.852282983647341,-28.60932168730844,-30.58085295208563
-1.841163335597121,-28.469179844115843,-30.39802343169711
-1.8302667879237995,-28.346115534065174,-30.21886213306548
-1.819583320071517,-28.342259433216327,-30.043204297970565
-1.809103584612316,-28.27159618275505,-29.87089623577732
-1.7988188477154479,-27.9059327278012,-29.70179434463074
-1.788720936088926,-27.1835295947867,-29.53576423906763
-1.7788021895641961,-27.05832131658235,-29.372679970412577
-1.7690554186163865,-26.633552069871712,-29.21242332832492
-1.7594738662142146,-26.420768342728024,-29.054883213533973
-1.750051173478843,-26.33243481041711,-28.89995507320112
-1.7407813487027946,-26.038643426135195,-28.747540391528073
-1.7316587393406633,-26.013395490587808,-28.597546229227465
-1.7226780066348728,-25.818203771885862,-28.449884806318966
-1.7138341025834911,-25.726484133445354,-28.30447312343353
-1.7051222489945306,-25.61989314376689,-28.161232617423707
-1.6965379184031915,-25.46962748663185,-28.02008884760448
-1.688076816656012,-25.39825536624718,-27.88097120940147
-1.6797348669896082,-25.39083938558099,-27.74381267257317
-1.6715081954521562,-24.921831973978637,-27.608549541510627
-1.6633931175335146,-24.79657335109647,-27.47512123540957
-1.6553861258852893,-24.146478787185732,-27.34347008636345
-1.6474838790255557,-24.09411328292356,-27.213541153646172
-1.6396831909346572,-23.806046449900236,-27.085282052646008
-1.631981021458743,-23.550174990970998,-26.9586427970803
-1.624374467446676,-23.41578090309349,-26.833575653268312
-1.6168607545538363,-23.387603079859506,-26.710035005369136
-1.609437229653275,-23.25130109344974,-26.587977230605752
-1.602101353800824,-23.127691238225797,-26.46736058359714
-1.5948506957061412,-22.976008609568623,-26.34814508900909
-1.5876829256665108,-22.97358726066733,-26.230292441813578
-1.5805958099244377,-22.87414697675024,-26.1137659145162
-1.5735872054138675,-22.73167556022004,-25.998530270773408
-1.5666550548632412,-22.27673222000294,-25.8845516848768
-1.5597973822265712,-22.232780883286864,-25.771797666630775
-1.553012288416439,-22.22221040029945,-25.660236991194374
-1.5462979473151903,-21.8150591589324,-25.54983963349725
-1.5396526020427532,-21.796918518827,-25.440576706875056
-1.5330745614614651,-21.643826356844386,-25.332420405601713
-1.5265621968999907,-21.58200747342147,-25.225343951023994
-1.5201139390800025,-21.51912351484921,-25.11932154102994
-1.5137282752306878,-21.413270000885802,-25.014328302605506
-1.5074037463774248,-21.393290791446816,-24.910340247254908
-1.5011389447921135,-21.315918567118388,-24.807334229078904
-1.4949325115936922,-21.305744932577678,-24.705287905322432
-1.4887831344883007,-21.291964443631485,-24.604179699218314
-1.4826895456394218,-21.031496083151524,-24.503988764968074
-1.4766505196590876,-20.88975706166923,-24.404694954713307
-1.4706648717119644,-20.870101768718428,-24.30627878736299
-1.4647314557247493,-20.81794053665658,-24.20872141915234
-1.4588491626939226,-20.631360054304157,-24.112004615818847
-1.4530169190854056,-20.500429648992,-24.016110726289394
-1.4472336853201804,-20.485737056077284,-23.921022657780792
-1.4414984543403742,-20.33749341344975,-23.826723852223306
-1.4358102502506997,-20.089692317384678,-23.733198263923178
-1.4301681270305424,-19.80459432063958,-23.640430338386732
-1.4245711673123058,-19.696377977380045,-23.548404992233905
-1.4190184812219542,-19.66602911350742,-23.457107594134428
-1.413509205277975,-19.649628524131888,-23.366523946704522
-1.408042501345253,-19.49273725169857,-23.276640269306494
-1.4026175556405824,-19.312533641624952,-23.187443181697315
-1.3972335777867826,-19.191815087530074,-23.098919688476396
-1.3918897999125848,-19.189513396608728,-23.011057164285887
-1.3865854757956368,-19.057250843626093,-22.923843339719948
-1.3813198800461723,-19.041422022736693,-22.83726628790261
-1.3760923073290359,-18.977301937533642,-22.751314411696306
-1.3709020716219125,-18.861178448663395,-22.665976431505648
-1.365748505507753,-18.858358281001983,-22.58124137364348
-1.3606309594995099,-18.803977552800692,-22.497098559228164
-1.3555488013954289,-18.79744776010779,-22.413537593583268
-1.350501415663235,-18.733551922169053,-22.330548356112335
-1.345488202851673,-18.676809956380907,-22.24812099062343
-1.3405085790279554,-18.59797240246354,-22.16624589607963
-1.335561975239742,-18.574105382012306,-22.084913717752887
-1.33064783700039,-18.570786884508838,-22.0041153387605
-1.3257656237962572,-18.36276418085112,-21.92384187196418
-1.3209148086149425,-18.360344273906666,-21.84408465221336
-1.3160948774933865,-18.1873196632082,-21.76483522891508
-1.3113053290848518,-18.182590029025818,-21.68608535891423
-1.3065456742438195,-18.174794787921318,-21.607826999668443
-1.3018154356279312,-18.13844321812246,-21.53005230270319
-1.2971141473161372,-17.805306840551296,-21.452753607333378
-1.2924413544422533,-17.764383757537416,-21.37592343463828
-1.287796612843198,-17.569458664494807,-21.299554481677838
-1.283179488721192,-17.462436420465394,-21.22363961593855
-1.2785895583192683,-17.439873369097768,-21.14817186999817
-1.2740264076094585,-17.36389953333864,-21.073144436398906
-1.2694896319930724,-17.317954613959046,-20.998550662719367
-1.264978836012496,-17.242367676337434,-20.924384046835968
-1.2604936330739926,-17.164884343568644,-20.8506382323652
-1.2560336451809986,-17.029590341146392,-20.77730700427848
-1.2515985026774326,-16.666183552062535,-20.70438428468164
-1.247187844000584,-16.506426590618887,-20.631864128751907
-1.2428013154431374,-16.388159040504732,-20.559740720825104
-1.238438570923933,-16.26600951325011,-20.48800837062648
-1.234099271767091,-16.264423520253985,-20.41666150963909
-1.2297830864891166,-16.082158680782072,-20.34569468760335
-1.2254896905936525,-16.008613850909686,-20.275102569142348
-1.221218766373548,-15.901634995759025,-20.204879930507488
-1.216970002719933,-15.831198944467358,-20.13502165643925
-1.2127430949379905,-15.816211499747169,-20.06552273713813
-1.2085377445691707,-15.791810346131625,-19.996378265341487
-1.204353659219544,-15.67692483938481,-19.927583433501308
-1.2001905523940684,-15.573896644160184,-19.859133531059218
-1.1960481433365118,-15.365823158715415,-19.791023941814515
-1.1919261568747983,-15.327581507892717,-19.723250141381314
-1.1878243232715677,-15.287489401534517,-19.655807694731454
-1.1837423780797312,-15.265380143714538,-19.58869225381955
-1.1796800620028178,-15.202431028657458,-19.521899555286797
-1.1756371207599372,-15.074386847392875,-19.455425418240683
-1.1716133049551622,-14.97351136402375,-19.38926574210739
-1.16760836995116,-14.853703514737392,-19.323416504554007
-1.1636220757469107,-14.713802429465233,-19.257873759478006
-1.1596541868593584,-14.6784158036711,-19.192633635061316
-1.1557044722088292,-14.60601283863659,-19.127692331886394
-1.1517727050080868,-14.589358733921358,-19.06304612111205
-1.1478586626548801,-14.553703058685358,-18.99869134270672
-1.1439621266278546,-14.545154216469598,-18.934624403737047
-1.1400828823856968,-14.373629645216852,-18.8708417767096
-1.1362207192694,-14.36427001033951,-18.807339997963933
-1.1323754304075213,-14.326288806500544,-18.744115666114805
-1.1285468126243385,-14.0782317449017,-18.681165440542113
-1.1247346663507853,-14.015965622420067,-18.618486039926477
-1.1209387955380707,-13.936485954832053,-18.55607424082896
-1.1171590075738833,-13.84214066242896,-18.493926876313317
-1.1133951132010966,-13.8350791031811,-18.43204083460932
-1.109646926438869,-13.733568939831686,-18.37041305781551
-1.1059142645060667,-13.656168436465919,-18.30904054064009
-1.1021969477469296,-13.534611999118285,-18.24792032917874
-1.0984947995588894,-13.418086957409885,-18.187049519727783
-1.0948076463224752,-13.306539766180551,-18.126425257631713
-1.0911353173332283,-13.30615879758835,-18.066044736163715
-1.0874776447355694,-13.293016108084373,-18.005905195438324
-1.0838344634585237,-13.255568282506616,-17.946003921354606
-1.080205611153279,-13.200294941290364,-17.886338244569487
-1.076590928132483,-13.200091299062931,-17.82690553949969
-1.0729902573112329,-13.13042597969853,-17.767703223351468
-1.0694034441497073,-13.022878596095724,-17.70872875517736
-1.065830336597373,-12.89725161280285,-17.64997963495885
-1.0622707850387274,-12.881392428563005,-17.59145340271425
-1.0587246422405114,-12.87644101887335,-17.533147637630776
-1.0551917633003625,-12.843127115929404,-17.4750599572203
-1.0516720055968432,-12.812868110311172,-17.41718801649772
-1.0481652287408167,-12.785320061525509,-17.359529507181485
-1.0446712945281118,-12.763698118531408,-17.302082156915283
-1.0411900668934464,-12.73471475527728,-17.244843728510478
-1.0377214118655673,-12.676103978239697,-17.187812019208508
-1.0342651975235626,-12.67590107597789,-17.130984859962567
-1.0308212939543164,-12.474825235567975,-17.074360114738084
-1.0273895732110663,-12.381422762962186,-17.01793567983132
-1.0239699092730314,-12.358897695454914,-16.961709483205567
-1.020562178006076,-12.302704042300546,-16.90567948384438
-1.0171662571243762,-12.270492480677776,-16.84984367112131
-1.0137820261530648,-12.204533995362224,-16.79420006418569
-1.0104093663918143,-12.168956510912919,-16.73874671136389
-1.00704816087934,-12.124446762630782,-16.683481689575654
-1.0036982943587898,-12.082635998433831,-16.62840310376505
-1.0003596532439911,-12.08231118329303,-16.5735090863455
-0.9970321255865419,-12.072238006960788,-16.518797796658685
-0.9937156010437024,-12.060973313941474,-16.46426742044663
-0.9904099708470815,-12.05991743901322,-16.40991616933684
-0.9871151277720814,-12.031681893108384,-16.355742280339896
-0.9838309661080871,-12.001083196375607,-16.301744015359326
-0.9805573816293727,-11.866097779617915,-16.247919660713244
-0.9772942715667066,-11.768980197198431,-16.19426752666747
-0.9740415345796399,-11.761780397812572,-16.140785946979914
-0.9707990707294482,-11.734710566454284,-16.08747327845567
-0.9675667814527145,-11.65293892837856,-16.034327900512658
-0.9643445695355393,-11.57643924684126,-15.981348214757615
-0.9611323390883487,-11.511973664433642,-15.928532644571861
-0.9579299955212948,-11.428537765852296,-15.875879634706845
-0.9547374455202241,-11.401724765819182,-15.823387650889014
-0.9515545970232039,-11.35071158787028,-15.771055179433855
-0.9483813591975858,-11.321864354814295,-15.718880726868786
-0.9452176424175952,-11.304237381675932,-15.666862819564663
-0.9420633582424329,-11.289189274645253,-15.615000003375744
-0.9389184193948688,-11.288592012373787,-15.563290843287714
-0.935782739740324,-11.262311561172625,-15.511733923073757
-0.9326562342664189,-11.242020162237324,-15.460327844958284
-0.9295388190629799,-11.229263358482143,-15.409071229288207
-0.9264304113024902,-11.221986403769435,-15.357962714211505
-0.9233309292209756,-11.162978290097499,-15.307000955362948
-0.9202402920993101,-11.1566144067136,-15.25618462555673
-0.9171584202449303,-11.1459276019915,-15.205512414485804
-0.9140852349739553,-10.940742365208449,-15.154983028427914
-0.9110206585936874,-10.93545080911292,-15.104595189957855
-0.9079646143854981,-10.811267416247974,-15.054347637666098
-0.9049170265880817,-10.809212974213496,-15.00423912588343
-0.901877820381064,-10.7477571443344,-14.954268424411465
-0.8988469218689696,-10.70892648613497,-14.904434318259018
-0.8958242580655217,-10.696512588701324,-14.854735607383974
-0.8928097568782792,-10.685401831159481,-14.805171106440683
-0.889803347093598,-10.661819262546373,-14.7557396445327
-0.8868049583619053,-10.593619668268046,-14.706440064970659
-0.8838145211832849,-10.560512558700722,-14.657271225035263
-0.8808319668933584,-10.546833824057103,-14.608231995745161
-0.8778572276494655,-10.54551100936851,-14.559321261629696
-0.8748902364171216,-10.544443451042113,-14.510537920506263
-0.8719309269567608,-10.52248096272092,-14.46188088326233
-0.8689792338107449,-10.514185822228171,-14.413349073641836
-0.866035092290641,-10.505447197906776,-14.364941428036012
-0.8630984384647549,-10.502101519596636,-14.316656895278408
-0.860169209145916,-10.478755352487497,-14.268494436444046
-0.8572473418795112,-10.44460218012432,-14.220453024652677
-0.8543327749317546,-10.395522552103557,-14.172531644875908
-0.8514254472781936,-10.384209050426731,-14.124729293748228
-0.8485252985924434,-10.381656029793447,-14.077044979381766
-0.845632269235143,-10.349661307011502,-14.029477721184714
-0.8427463002431308,-10.30604077498498,-13.982026549683354
-0.839867333318831,-10.226252828872957,-13.934690506347545
-0.8369953108198479,-10.155307959197613,-13.887468643419632
-0.8341301757487639,-10.152921405622578,-13.840360023746705
-0.8312718717431337,-10.127164314209836,-13.793363720616082
-0.8284203430656738,-10.114749379219633,-13.746478817594014
-0.8255755345946368,-10.10471190771969,-13.699704408367399
-0.8227373918143762,-10.092206773424351,-13.653039596588673
-0.8199058608060854,-10.025093668564466,-13.60648349572352
-0.8170808882387155,-10.020866047826047,-13.560035228901555
-0.8142624213600655,-9.85244859390238,-13.513693928769818
-0.8114504079880392,-9.84513559401288,-13.467458737349034
-0.8086447965020671,-9.844100336532783,-13.421328805892554
-0.8058455358346875,-9.81994827393052,-13.375303294747951
-0.8030525754632879,-9.811952571494773,-13.329381373221214
-0.8002658654019948,-9.709418310942509,-13.283562219443409
-0.7974853561937172,-9.674325104816262,-13.23784502023986
-0.7947109989023368,-9.614254281936935,-13.19222897100173
-0.7919427451050375,-9.546314372477354,-13.146713275559922
-0.7891805468847808,-9.494012415175234,-13.101297146061327
-0.7864243568229132,-9.493695102505312,-13.055979802847315
-0.7836741279919114,-9.464964612947313,-13.010760474334411
-0.7809298139482561,-9.45555897504525,-12.965638396897162
-0.7781913687254358,-9.427658945870775,-12.920612814753078
-0.7754587468270754,-9.3582830172449,-12.875682979849667
-0.7727319032201864,-9.325564814184816,-12.830848151753452
-0.7700107933285409,-9.301178941999057,-12.786107597541024
-0.7672953730261586,-9.296899477867127,-12.741460591691949
-0.7645855986309117,-9.08609736838207,-12.696906415983637
-0.7618814268982428,-9.080968701577348,-12.652444359388035
-0.7591828150149899,-9.046508425474343,-12.608073717970104
-0.7564897205933234,-9.000642152623186,-12.563793794788134
-0.7538021016647856,-9.00046733108502,-12.519603899795731
-0.7511199166744343,-8.936192154152792,-12.475503349745543
-0.7484431244750894,-8.935142098105842,-12.43149146809464
-0.7457716843216758,-8.902530949497534,-12.38756758491152
-0.743105555865666,-8.899338682944972,-12.343731036784728
-0.7404446991496147,-8.893587009744069,-12.299981166732985
-0.737789074601791,-8.893353148428671,-12.256317324116942
-0.7351386430308966,-8.883774171260017,-12.21273886455233
-0.7324933656208772,-8.866807725132986,-12.169245149824652
-0.7298532039258195,-8.83155932230185,-12.12583554780528
-0.7272181198649342,-8.80883734114309,-12.082509432368958
-0.7245880757176245,-8.763274252985298,-12.039266183312728
-0.7219630341186329,-8.708682555367147,-11.99610518627613
-0.7193429580532741,-8.708010163105698,-11.953025832662819
-0.716727810852742,-8.701044156604441,-11.910027519563402
-0.7141175561894967,-8.692414063749851,-11.867109649679596
-0.711512158072728,-8.672137148056038,-11.824271631249639
-0.7089115808438893,-8.62041029925939,-11.781512877974844
-0.7063157891723103,-8.602840953769316,-11.738832808947487
-0.7037247480508755,-8.59013601920455,-11.69623084857973
-0.7011384227917765,-8.547492337227027,-11.653706426533798
-0.6985567790223318,-8.532021613966094,-11.611258977653232
-0.6959797826808726,-8.525459113427871,-11.568887941895257
-0.6934074000126976,-8.514126089928027,-11.526592764264265
-0.6908395975660889,-8.510746429124536,-11.484372894746302
-0.6882763421883948,-8.489069247054317,-11.442227788244677
-0.6857176010221723,-8.480688768272685,-11.40015690451652
-0.6831633415013918,-8.448759556153703,-11.35815970811039
-0.6806135313477027,-8.408679681501553,-11.316235668304873
-0.6780681385667539,-8.387277001178745,-11.274384259048077
-0.6755271314445779,-8.37434259887192,-11.23260495889819
-0.6729904785440255,-8.364776071729978,-11.190897250964845
-0.6704581487012602,-8.336037891114017,-11.149260622851498
-0.6679301110223045,-8.281721884096186,-11.107694566598624
-0.6654063348796406,-8.211304951556826,-11.066198578627846
-0.6628867899088638,-8.209967115252226,-11.024772159686886
-0.6603714460053871,-8.163904313126864,-10.983414814795404
-0.6578602733211948,-8.14574776138042,-10.942126053191608
-0.6553532422616479,-8.142154125430777,-10.900905388279735
-0.6528503234823367,-8.116390567265114,-10.859752337578293
-0.650351487885982,-8.114925146188853,-10.818666422669118
-0.6478567066193813,-8.082547040671955,-10.777647169147164
-0.6453659510704035,-8.079980827979796,-10.736694106571083
-0.642879192865027,-8.052407534578961,-10.69580676841453
-0.6403964038644228,-8.047025845184095,-10.654984692018198
-0.6379175561620797,-8.045271369592513,-10.614227418542567
-0.6354426220809749,-7.961036049354958,-10.573534492921361
-0.6329715741707844,-7.9458590987622415,-10.532905463815691
-0.6305043852051346,-7.937762395075937,-10.49233988356887
-0.6280410281788961,-7.907229650669818,-10.45183730816191
-0.6255814763055146,-7.9053513791900505,-10.411397297169644
-0.6231257030143836,-7.9044859175360775,-10.37101941371752
-0.6206736819482531,-7.892275441420394,-10.330703224439
-0.6182253869606772,-7.867526786199335,-10.290448299433592
-0.6157807921134981,-7.848501971195276,-10.250254212225485
-0.6133398716743677,-7.8425094682285135,-10.210120539722789
-0.610902600114302,-7.799452660477242,-10.17004686217734
-0.608468952105274,-7.776538977219161,-10.130032763145106
-0.6060389025178387,-7.72987959183945,-10.090077829447152
-0.6036124264187924,-7.710937579826408,-10.050181651131144
-0.6011894990688663,-7.702186809014988,-10.010343821433425
-0.5987700959204514,-7.625777274843571,-9.970563936741621
-0.5963541926153558,-7.622924436528791,-9.930841596557759
-0.5939417649825947,-7.617592097493556,-9.89117640346192
-0.5915327890362093,-7.612595597060932,-9.851567963076398
-0.5891272409731186,-7.584379436193899,-9.81201588403036
-0.5867250971709994,-7.5730335550872505,-9.772519777925003
-0.5843263341861963,-7.566457540142665,-9.733079259299181
-0.5819309287516604,-7.552812587374659,-9.693693945595516
-0.5795388577749172,-7.528621148835327,-9.654363457126989
-0.5771500983360616,-7.447215068468268,-9.615087417043966
-0.574764627685781,-7.389009144720858,-9.575865451301707
-0.5723824232434049,-7.367705503026401,-9.536697188628285
-0.5700034625949817,-7.366560299049581,-9.497582260492967
-0.5676277234913811,-7.362450331393348,-9.45852030107502
-0.5652551838464226,-7.313335638180206,-9.419510947232931
-0.5628858217350284,-7.304926078981509,-9.380553838474047
-0.5605196153914034,-7.282181119572558,-9.341648616924639
-0.5581565432072362,-7.2715934480990265,-9.302794927300333
-0.555796583729927,-7.259890432870178,-9.26399241687697
