theoretical_quantiles,sample_quantiles,qq_line
-3.26587280814613,-6.277313050777072,-2.7847610149685877
-3.005798458037476,-4.856124414807703,-2.56299949707684
-2.860990602911328,-4.106207725751406,-2.439523999620029
-2.7590173110877676,-4.033931241692662,-2.352572895177152
-2.6795600897847605,-3.8057407782535235,-2.2848209081155524
-2.6141014142103076,-3.70619413646129,-2.2290052721310367
-2.5582316490802035,-3.460558039276791,-2.181365957010837
-2.50936192244013,-3.037570477277437,-2.1396954702668354
-2.4658383754200197,-3.0309656006636936,-2.1025835911169684
-2.426538080987267,-2.9484156306773914,-2.069072816435195
-2.3906625814355693,-2.8966557106930066,-2.038482313248758
-2.3576231868438033,-2.7245236520106295,-2.01031011444548
-2.32697299708267,-2.708203617208458,-1.9841751549530904
-2.2983644836850923,-2.6808777544648392,-1.9597811024330218
-2.271521882174307,-2.6012898600629732,-1.9368928166304882
-2.2462225816180403,-2.5659432424435895,-1.9153204805250117
-2.222284200600216,-2.41349932745559,-1.8949085802043308
-2.199555380132044,-2.344111071513727,-1.8755280541170598
-2.177909077606447,-2.2350570154469835,-1.8570705749276861
-2.1572375866624056,-2.0325376182120567,-1.839444303029204
-2.13744877477208,-1.987694190712293,-1.8225706783897901
-2.1184631970500223,-1.9689452385992294,-1.8063819595409831
-2.100211851710283,-1.8614461955560437,-1.7908193096894458
-2.0826344128542607,-1.841603585445966,-1.7758312898415354
-2.0656778234382873,-1.827782865800055,-1.7613726590477552
-2.0492951635538112,-1.7951913464338969,-1.7474034094021524
-2.0334447316418216,-1.7777372802787468,-1.7338879826075682
-2.0180892921811964,-1.776294571621938,-1.7207946284907147
-2.003195454823677,-1.597757203357516,-1.7080948755998338
-1.9887331582708916,-1.5760511584476196,-1.6957630911143344
-1.974675238322693,-1.5580832263504143,-1.6837761125260546
-1.9609970640988477,-1.4917697336510911,-1.6721129374509254
-1.9476762298812718,-1.4895880392635898,-1.6607544608674414
-1.9346922926455017,-1.471416068402222,-1.6496832513136632
-1.9220265473631037,-1.4071137054378287,-1.6388833592909344
-1.9096618337159386,-1.3813220302208626,-1.6283401524520187
-1.8975823690806195,-1.3639880620233285,-1.6180401731894387
-1.8857736035992623,-1.3457032757400724,-1.6079710150564688
-1.8742220939114913,-1.3282295339620787,-1.5981212151002981
-1.862915392727985,-1.3215804510788303,-1.5884801597030425
-1.851841951911698,-1.315328458038423,-1.5790380019405477
-1.8409910371252853,-1.2679574795859807,-1.5697855888035213
-1.83035265242184,-1.2654803953282576,-1.5607143968971808
-1.819917473416243,-1.2530390135019451,-1.55181647545746
-1.8096767878878732,-1.2455009502047687,-1.5430843957038256
-1.79962244284147,-1.2354399354511627,-1.5345112056988666
-1.7897467971987946,-1.2348403400095755,-1.5260903900091771
-1.7800426794150541,-1.201171005355706,-1.5178158335655159
-1.7705033494154583,-1.2005379358025279,-1.5096817892066743
-1.7611224643323307,-1.1974965189077942,-1.501682848464024
-1.7518940475948421,-1.1907025518926984,-1.4938139152047922
-1.7428124609839442,-1.1806133013426743,-1.4860701818037216
-1.7338723793164865,-1.146213924423041,-1.4784471075565946
-1.7250687674661596,-1.1155196972596468,-1.4709403990863334
-1.716396859466249,-1.1009229403854806,-1.4635459925242318
-1.7078521394711554,-1.0798776897700415,-1.4562600372761256
-1.6994303243810644,-1.0767695801796957,-1.4490788812067097
-1.691127347957828,-1.0747298313569935,-1.4419990570953851
-1.6829393462805546,-1.0738049493195654,-1.4350172702344597
-1.6748626444070926,-1.0641199433843254,-1.4281303870555926
-1.6668937441229728,-1.0391819218948184,-1.4213354246835013
-1.6590293126727644,-1.033776938865066,-1.4146295413273566
-1.6512661723804696,-1.0229203390241461,-1.4080100274302472
-1.643601291075802,-1.0174313513059547,-1.401474297505812
-1.6360317732521483,-1.01371163647826,-1.3950198825987643
-1.6285548518898938,-1.0123103232876933,-1.3886444233127635
-1.6211678808856913,-1.0107433004683735,-1.3823456633549673
-1.6138683280343986,-1.0037493831302253,-1.3761214435518325
-1.606653768515791,-0.9963017765926151,-1.369969696295333
-1.599521878842936,-0.988284854630391,-1.3638884403828293
-1.5924704312333848,-0.9847675176376577,-1.3578757762174671
-1.5854972883680793,-0.9752759460724503,-1.3519298813391751
-1.578600398506251,-0.9509175249922253,-1.3460490062592132
-1.5717777909275874,-0.9467956097703014,-1.3402314705737752
-1.565027571675592,-0.9393697230760898,-1.3344756593344154
-1.5583479195784915,-0.9179148617669094,-1.3287800196551354
-1.551737082526174,-0.9065761452844321,-1.3231430575377854
-1.5451933739835526,-0.9033398247361417,-1.3175633348990603
-1.5387151697225168,-0.9024651538660999,-1.3120394667838853
-1.5323009047561569,-0.8942821389837685,-1.3065701187512724
-1.5259490704603715,-0.8905757754715746,-1.30115400441996
-1.5196582118692272,-0.8880433056131851,-1.2957898831622057
-1.513426925131586,-0.8848770635008016,-1.2904765579350899
-1.5072538551175594,-0.8843119642810827,-1.2852128732395762
-1.5011376931642768,-0.870232650734943,-1.2799977131983609
-1.4950771749513123,-0.8695769669918734,-1.274829999744281
-1.4890710784968946,-0.8603330016414106,-1.2697086909117126
-1.4831182222667163,-0.8583460192617887,-1.264632779223981
-1.477217463387802,-0.8266337702619216,-1.2596012901703526
-1.4713676959604962,-0.8137048418332019,-1.2546132807666914
-1.465567849462129,-0.8123824866615785,-1.2496678381942896
-1.4598168872364425,-0.807519924779761,-1.244764078511824
