bin_left,bin_right,count
-8.1,-7.4900002,4
-7.4900002,-6.8800006,0
-6.8800006,-6.2700005,1
-6.2700005,-5.6600003,0
-5.6600003,-5.05,1
-5.05,-4.4400005,2
-4.4400005,-3.8300004,1
-3.8300004,-3.2200003,3
-3.2200003,-2.6100004,3
-2.6100004,-2.0000002,10
-2.0000002,-1.3900003,14
-1.3900003,-0.7800003,48
-0.7800003,-0.1700003,294
-0.1700003,0.4399997,738
0.4399997,1.0499997,71
1.0499997,1.6599997,33
1.6599997,2.2699997,23
2.2699997,2.8799996,5
2.8799996,3.4899998,8
3.4899998,4.1,3
4.1,4.7099996,3
4.7099996,5.3199997,1
5.3199997,5.93,1
5.93,6.54,0
6.54,7.1499996,1
7.1499996,7.7599998,0
7.7599998,8.37,1
8.37,8.98,0
8.98,9.59,0
9.59,10.2,1
