theoretical_quantiles,sample_quantiles,qq_line
-3.26587280814613,-8.100000381469727,-2.6064458613962342
-3.005798458037476,-8.0,-2.399031010586997
-2.860990602911328,-7.700000286102295,-2.2835436522433255
-2.7590173110877676,-7.5,-2.2022177733118804
-2.6795600897847605,-6.699999809265137,-2.1388489416858683
-2.6141014142103076,-5.400000095367432,-2.08664424936318
-2.5582316490802035,-4.700000286102295,-2.0420869179909538
-2.50936192244013,-4.599999904632568,-2.0031122668732855
-2.4658383754200197,-3.90000057220459,-1.9684013082259082
-2.426538080987267,-3.4000000953674316,-1.9370584837485116
-2.3906625814355693,-3.3899998664855957,-1.9084470063609358
-2.3576231868438033,-3.299999952316284,-1.8820973832734778
-2.32697299708267,-2.999999761581421,-1.8576532020848122
-2.2983644836850923,-2.9000000953674316,-1.8348373014173547
-2.271521882174307,-2.799999952316284,-1.8134297532090622
-2.2462225816180403,-2.5999999046325684,-1.7932530204852708
-2.222284200600216,-2.5999999046325684,-1.774161650170004
-2.199555380132044,-2.5999999046325684,-1.756034930235853
-2.177909077606447,-2.299999713897705,-1.7387715414893559
-2.1572375866624056,-2.200000286102295,-1.7222855858064074
-2.13744877477208,-2.1999998092651367,-1.7065035855276056
-2.1184631970500223,-2.1600003242492676,-1.6913621816594326
-2.100211851710283,-2.1000001430511475,-1.6768063438033414
-2.0826344128542607,-2.0999999046325684,-1.662787960766309
-2.0656778234382873,-2.0999999046325684,-1.6492647184224243
-2.0492951635538112,-2.0,-1.6361991971421541
-2.0334447316418216,-1.9999998807907104,-1.6235581390412157
-2.0180892921811964,-1.9999995231628418,-1.6113118479959616
-2.003195454823677,-1.8999998569488525,-1.599433694490257
-1.9887331582708916,-1.7000000476837158,-1.5878997039963783
-1.974675238322693,-1.6000003814697266,-1.5766882124843333
-1.9609970640988477,-1.6000003814697266,-1.5657795763008866
-1.9476762298812718,-1.6000003814697266,-1.5551559264071588
-1.9346922926455017,-1.5000001192092896,-1.5448009590543668
-1.9220265473631037,-1.5,-1.5346997565826934
-1.9096618337159386,-1.5,-1.5248386332717854
-1.8975823690806195,-1.5,-1.5152050021422894
-1.8857736035992623,-1.4000000953674316,-1.505787259371679
-1.8742220939114913,-1.3999998569488525,-1.4965746835928315
-1.862915392727985,-1.3000001907348633,-1.4875573478265713
-1.851841951911698,-1.3000001907348633,-1.4787260421868744
-1.8409910371252853,-1.3000001907348633,-1.4700722058103641
-1.83035265242184,-1.3000001907348633,-1.4615878667158149
-1.819917473416243,-1.3000001907348633,-1.4532655885068744
-1.8096767878878732,-1.2999999523162842,-1.4450984230014574
-1.79962244284147,-1.2999999523162842,-1.4370798680116514
-1.7897467971987946,-1.2999999523162842,-1.429203829614306
-1.7800426794150541,-1.299999713897705,-1.4214645883492258
-1.7705033494154583,-1.2100000381469727,-1.413856768862761
-1.7611224643323307,-1.2000000476837158,-1.4063753125824219
-1.7518940475948421,-1.1999998092651367,-1.39901545306528
-1.7428124609839442,-1.1999998092651367,-1.3917726937111814
-1.7338723793164865,-1.1999998092651367,-1.384642787572789
-1.7250687674661596,-1.1999998092651367,-1.3776217190292932
-1.716396859466249,-1.1000003814697266,-1.3707056871204124
-1.7078521394711554,-1.1000003814697266,-1.3638910903627983
-1.6994303243810644,-1.1000001430511475,-1.3571745128928385
-1.691127347957828,-1.1000001430511475,-1.350552711798733
-1.6829393462805546,-1.100000023841858,-1.3440226055210172
-1.6748626444070926,-1.100000023841858,-1.3375812632148076
-1.6668937441229728,-1.100000023841858,-1.3312258949793248
-1.6590293126727644,-1.0999999046325684,-1.3249538428709067
-1.6512661723804696,-1.0999999046325684,-1.3187625726250527
-1.643601291075802,-1.0999994277954102,-1.312649666021176
-1.6360317732521483,-1.0,-1.3066128138308886
-1.6285548518898938,-1.0,-1.3006498092969292
-1.6211678808856913,-1.0,-1.2947585420953436
-1.6138683280343986,-1.0,-1.288936992738429
-1.606653768515791,-1.0,-1.2831832273802488
-1.599521878842936,-0.9999998807907104,-1.2774953929903325
-1.5924704312333848,-0.9999998807907104,-1.2718717128645793
-1.5854972883680793,-0.9000000953674316,-1.266310482445376
-1.578600398506251,-0.8999999761581421,-1.2608100654256227
-1.5717777909275874,-0.8600001335144043,-1.2553688901137656
-1.565027571675592,-0.8000001907348633,-1.2499854460390334
-1.5583479195784915,-0.8000001907348633,-1.2446582807780266
-1.551737082526174,-0.8000000715255737,-1.2393859969854968
-1.5451933739835526,-0.7999999523162842,-1.2341672496136782
-1.5387151697225168,-0.7999999523162842,-1.2290007433059507
-1.5323009047561569,-0.7999999523162842,-1.223885229951817
-1.5259490704603715,-0.7999999523162842,-1.218819506391324
-1.5196582118692272,-0.7999999523162842,-1.2138024122580537
-1.513426925131586,-0.7999999523162842,-1.2088328279507299
-1.5072538551175594,-0.7999999523162842,-1.2039096727243133
-1.5011376931642768,-0.7999999523162842,-1.1990319028922047
-1.4950771749513123,-0.7999999523162842,-1.1941985101318515
-1.4890710784968946,-0.7999999523162842,-1.1894085198866833
-1.4831182222667163,-0.7000002861022949,-1.1846609898578457
-1.477217463387802,-0.7000000476837158,-1.1799550085797228
