bin_left,bin_right,count
-5.9008036,-5.3677535,4
-5.3677535,-4.834703,1
-4.834703,-4.301653,0
-4.301653,-3.7686026,1
-3.7686026,-3.2355525,0
-3.2355525,-2.7025023,3
-2.7025023,-2.169452,9
-2.169452,-1.6364018,11
-1.6364018,-1.1033516,12
-1.1033516,-0.57030135,93
-0.57030135,-0.037251156,552
-0.037251156,0.49579906,440
0.49579906,1.0288492,59
1.0288492,1.5618995,29
1.5618995,2.0949497,24
2.0949497,2.628,9
2.628,3.16105,10
3.16105,3.6941004,5
3.6941004,4.2271504,2
4.2271504,4.760201,0
4.760201,5.293251,2
5.293251,5.826301,1
5.826301,6.3593516,1
6.3593516,6.8924017,0
6.8924017,7.4254518,0
7.4254518,7.9585023,0
7.9585023,8.491552,1
8.491552,9.024603,0
9.024603,9.557652,0
9.557652,10.090703,1
