theoretical_quantiles,sample_quantiles,qq_line
-3.26587280814613,-5.900803565979004,-2.5505503257138065
-3.005798458037476,-5.788019180297852,-2.3474399516894784
-2.860990602911328,-5.718542098999023,-2.2343493004812958
-2.7590173110877676,-5.3733601570129395,-2.154711176098317
-2.6795600897847605,-5.153717517852783,-2.0926574367309203
-2.6141014142103076,-4.030811309814453,-2.0415361474784053
-2.5582316490802035,-3.2123208045959473,-1.9979035136277932
-2.50936192244013,-3.200399875640869,-1.959737702765687
-2.4658383754200197,-3.1054863929748535,-1.9257471000383255
-2.426538080987267,-2.686516761779785,-1.8950547326512004
-2.3906625814355693,-2.6471433639526367,-1.867037028755331
-2.3576231868438033,-2.5983119010925293,-1.841234238936699
-2.32697299708267,-2.4749603271484375,-1.8172973474143337
-2.2983644836850923,-2.466439723968506,-1.7949549447358906
-2.271521882174307,-2.388263463973999,-1.7739916670025657
-2.2462225816180403,-2.2069454193115234,-1.7542336616614378
-2.222284200600216,-2.2018954753875732,-1.7355384942216814
-2.199555380132044,-2.1722824573516846,-1.7177879577904895
-2.177909077606447,-2.099874973297119,-1.700882835849856
-2.1572375866624056,-2.070094585418701,-1.6847390129179496
-2.13744877477208,-2.0215516090393066,-1.6692845362159527
-2.1184631970500223,-1.935523509979248,-1.6544573616384366
-2.100211851710283,-1.9223887920379639,-1.6402036008317562
-2.0826344128542607,-1.8692004680633545,-1.6264761410536392
-2.0656778234382873,-1.8497556447982788,-1.6132335463224923
-2.0492951635538112,-1.8147928714752197,-1.6004391735777017
-2.0334447316418216,-1.7905793190002441,-1.588060455135278
-2.0180892921811964,-1.717165231704712,-1.5760683111547105
-2.003195454823677,-1.6584267616271973,-1.5644366647617483
-1.9887331582708916,-1.567521333694458,-1.5531420389716242
-1.974675238322693,-1.5068206787109375,-1.542163219347583
-1.9609970640988477,-1.4977362155914307,-1.5314809699007825
-1.9476762298812718,-1.4867538213729858,-1.521077792428196
-1.9346922926455017,-1.3535003662109375,-1.5109377215324544
-1.9220265473631037,-1.3050715923309326,-1.5010461491396754
-1.9096618337159386,-1.2813037633895874,-1.4913896735490213
-1.8975823690806195,-1.2481850385665894,-1.4819559689985022
-1.8857736035992623,-1.2296853065490723,-1.4727336724795184
-1.8742220939114913,-1.1491482257843018,-1.4637122851252922
-1.862915392727985,-1.1211577653884888,-1.454882085971074
-1.851841951911698,-1.1143994331359863,-1.4462340562634437
-1.8409910371252853,-1.0725843906402588,-1.4377598128024731
-1.83035265242184,-1.0521726608276367,-1.4294515490493245
-1.819917473416243,-1.0512133836746216,-1.4213019829350493
-1.8096767878878732,-1.0505805015563965,-1.4133043104730638
-1.79962244284147,-1.0427196025848389,-1.4054521644152482
-1.7897467971987946,-1.040459394454956,-1.3977395773055332
-1.7800426794150541,-1.0377802848815918,-1.3901609483795812
-1.7705033494154583,-0.9889501333236694,-1.3827110138383627
-1.7611224643323307,-0.9591779708862305,-1.3753848200898546
-1.7518940475948421,-0.9525023102760315,-1.368177699609036
-1.7428124609839442,-0.9460811614990234,-1.3610852491136174
-1.7338723793164865,-0.9339261054992676,-1.3541033097930857
-1.7250687674661596,-0.9056990146636963,-1.34722794936274
-1.716396859466249,-0.9006562232971191,-1.3404554457435613
-1.7078521394711554,-0.8949874639511108,-1.3337822721937223
-1.6994303243810644,-0.8808789253234863,-1.327205083738969
-1.691127347957828,-0.8788819313049316,-1.3207207047675933
-1.6829393462805546,-0.8788173198699951,-1.3143261176716803
-1.6748626444070926,-0.8745434284210205,-1.3080184524301195
-1.6668937441229728,-0.8679829239845276,-1.3017949770408934
-1.6590293126727644,-0.8576607704162598,-1.295653088720599
-1.6512661723804696,-0.8524236679077148,-1.2895903057982825
-1.643601291075802,-0.8515682220458984,-1.2836042602386464
-1.6360317732521483,-0.8441625833511353,-1.27769269073668
-1.6285548518898938,-0.8389811515808105,-1.271853436331916
-1.6211678808856913,-0.8383108377456665,-1.2660844304959173
-1.6138683280343986,-0.8376319408416748,-1.2603836956513739
-1.606653768515791,-0.8350968360900879,-1.25474933808542
-1.599521878842936,-0.8320474624633789,-1.2491795432234944
-1.5924704312333848,-0.8289930820465088,-1.2436725712334058
-1.5854972883680793,-0.8177685737609863,-1.2382267529321949
-1.578600398506251,-0.8153718709945679,-1.232840485971015
-1.5717777909275874,-0.8134272694587708,-1.2275122312755995
-1.565027571675592,-0.8004350662231445,-1.2222405097219504
-1.5583479195784915,-0.7987117767333984,-1.2170238990287867
-1.551737082526174,-0.780055046081543,-1.2118610308499405
-1.5451933739835526,-0.7737667560577393,-1.2067505880513993
-1.5387151697225168,-0.7728519439697266,-1.2016913021590563
-1.5323009047561569,-0.7701534032821655,-1.1966819509644298
-1.5259490704603715,-0.7677112817764282,-1.191721356276724
-1.5196582118692272,-0.7624125480651855,-1.1868083818105852
-1.513426925131586,-0.7609844207763672,-1.1819419311998025
-1.5072538551175594,-0.758185863494873,-1.1771209461280203
-1.5011376931642768,-0.7580270767211914,-1.1723444045682485
-1.4950771749513123,-0.7500995397567749,-1.1676113191236355
-1.4890710784968946,-0.740168571472168,-1.162920735462566
-1.4831182222667163,-0.727877140045166,-1.158271730841697
-1.477217463387802,-0.7274219989776611,-1.1536634127110434
-1.4713676959604962,-0.7205080986022949,-1.1490949173956884
-1.465567849462129,-0.7181735038757324,-1.1445654088490942
-1.4598168872364425,-0.7129423022270203,-1.1400740774733897
-1.4541138050632776,-0.7026488780975342,-1.1356201390023368
-1.4484576298034388,-0.6986700296401978,-1.131202833443011
-1.442847418114032,-0.6953272819519043,-1.1268214240725176
-1.4372822552298965,-0.6935551166534424,-1.122475196486326
-1.4317612538070845,-0.6905767917633057,-1.1181634576950623
-1.4262835528246167,-0.6897664070129395,-1.1138855352668118
-1.4208483165410106,-0.688271164894104,-1.1096407765121994
-1.4154547335023264,-0.6834449768066406,-1.1054285477097023
-1.4101020155986936,-0.6825008392333984,-1.101248233368825
-1.4047893971664915,-0.6813092231750488,-1.097099235528929
-1.3995161341335476,-0.6806330680847168,-1.0929809730916589
-1.3942815032048959,-0.6770719289779663,-1.0888928811850422
-1.3890848010867982,-0.6752939224243164,-1.0848344105574743
-1.3839253437468766,-0.6734156608581543,-1.080805026999902
-1.3788024657083615,-0.6718723773956299,-1.0768042107946552
-1.3737155193765644,-0.6714572906494141,-1.072831456189438
-1.368663874395834,-0.6594150066375732,-1.068886270895134
-1.3636469170353314,-0.6564202308654785,-1.0649681756061136
-1.3586640496020979,-0.6514005661010742,-1.0610767035418565
-1.353714689879953,-0.6432478427886963,-1.0572114000087482
-1.3487982705928776,-0.6372992992401123,-1.053371821980999
-1.3439142388915961,-0.6371790170669556,-1.049557537699679
