theoretical_quantiles,sample_quantiles,qq_line
-3.26587280814613,-4.277227900955089,-2.0649676734569518
-3.005798458037476,-4.134131131606679,-1.9009484090911517
-2.860990602911328,-3.656640409973317,-1.809623455814301
-2.7590173110877676,-3.207161499363268,-1.7453126758282245
-2.6795600897847605,-3.20458292864898,-1.6952019479489657
-2.6141014142103076,-3.08375283583132,-1.6539195846186496
-2.5582316490802035,-2.7872045901599156,-1.6186845921132322
-2.50936192244013,-2.383381078009344,-1.5878642647341044
-2.4658383754200197,-2.276723630811403,-1.560415574919648
-2.426538080987267,-2.15922062424883,-1.535630334162432
-2.3906625814355693,-2.155922670515863,-1.5130049847469025
-2.3576231868438033,-2.044458559253201,-1.4921682617337761
-2.32697299708267,-2.022040314115115,-1.4728383217562542
-2.2983644836850923,-2.009323365248871,-1.45479599147605
-2.271521882174307,-1.9783154750330638,-1.4378673564467825
-2.2462225816180403,-1.9763807176370287,-1.4219120241947765
-2.222284200600216,-1.7003371776955092,-1.4068149735128797
-2.199555380132044,-1.6203807983720915,-1.3924807478903434
-2.177909077606447,-1.5998769981564873,-1.3788292262581459
-2.1572375866624056,-1.56852740134812,-1.365792482201804
-2.13744877477208,-1.5177449185189582,-1.3533124111468597
-2.1184631970500223,-1.5128658668832715,-1.3413389101452013
-2.100211851710283,-1.503684963436624,-1.3298284623249548
-2.0826344128542607,-1.4541660060216275,-1.3187430223752052
-2.0656778234382873,-1.4509734814909985,-1.3080491291827434
-2.0492951635538112,-1.3439740350696376,-1.2977171920982742
-2.0334447316418216,-1.3308920735466767,-1.2877209114923682
-2.0180892921811964,-1.3024591264725562,-1.2780368043003552
-2.003195454823677,-1.296337292322567,-1.2686438124657369
-1.9887331582708916,-1.2803527911579207,-1.259522977440534
-1.974675238322693,-1.2641801517864706,-1.250657167769363
-1.9609970640988477,-1.2613227546530963,-1.2420308496679235
-1.9476762298812718,-1.14201909957983,-1.2336298926793055
-1.9346922926455017,-1.1413234139047868,-1.2254414041448036
-1.9220265473631037,-1.1035719589934159,-1.2174535874954662
-1.9096618337159386,-1.0856341176003843,-1.2096556203539373
-1.8975823690806195,-1.0765267670337482,-1.2020375492039372
-1.8857736035992623,-1.0706259027059555,-1.194590197988751
-1.8742220939114913,-1.0415156266069405,-1.187305088478678
-1.862915392727985,-1.0389984946615742,-1.1801743706291559
-1.851841951911698,-1.0058328989592744,-1.1731907614576755
-1.8409910371252853,-0.9589364157057085,-1.1663474912150704
-1.83035265242184,-0.9370211856433341,-1.159638255827688
-1.819917473416243,-0.9194386523361917,-1.1530571747510328
-1.8096767878878732,-0.9129047984233147,-1.1465987535100954
-1.79962244284147,-0.9072108125599008,-1.1402578503125982
-1.7897467971987946,-0.9064840316920186,-1.1340296462133772
-1.7800426794150541,-0.9034452124643284,-1.1279096183846304
-1.7705033494154583,-0.8648234383045983,-1.1218935161107129
-1.7611224643323307,-0.8490030157129849,-1.115977339179801
-1.7518940475948421,-0.8324695817960808,-1.1101573183899325
-1.7428124609839442,-0.8087357629859135,-1.1044298979250866
-1.7338723793164865,-0.8075415722443466,-1.098791719389395
-1.7250687674661596,-0.8046323357339564,-1.0932396073151
-1.716396859466249,-0.8002322701555826,-1.0877705559834367
-1.7078521394711554,-0.7949202452108821,-1.082381717417767
-1.6994303243810644,-0.7879074147969907,-1.0770703904256032
-1.691127347957828,-0.7757909045559837,-1.0718340105810824
-1.6829393462805546,-0.763527392387167,-1.0666701410523447
-1.6748626444070926,-0.7511417394341899,-1.0615764641894259
-1.6668937441229728,-0.7497657041633632,-1.0565507737979678
-1.6590293126727644,-0.7466007309710911,-1.0515909680325028
-1.6512661723804696,-0.7450461575978338,-1.0466950428504205
-1.643601291075802,-0.7448749974005504,-1.041861085974175
-1.6360317732521483,-0.7386835054727925,-1.037087271314941
-1.6285548518898938,-0.7360145620826772,-1.032371853815885
-1.6211678808856913,-0.7358078028155546,-1.0277131646775883
-1.6138683280343986,-0.72573286922057,-1.0231096069320125
-1.606653768515791,-0.7243460674379634,-1.0185596513348112
-1.599521878842936,-0.7227027223661366,-1.014061832548795
-1.5924704312333848,-0.7121022244754593,-1.0096147455940476
-1.5854972883680793,-0.7097665611847788,-1.0052170425425655
-1.578600398506251,-0.7016620131250559,-1.0008674294374038
-1.5717777909275874,-0.6947398697914999,-0.9965646634182196
-1.565027571675592,-0.6894544587073719,-0.992307550036767
-1.5583479195784915,-0.687025309727185,-0.9880949407474304
-1.551737082526174,-0.6865817006390917,-0.9839257305592274
-1.5451933739835526,-0.6863954236277827,-0.979798855836916
-1.5387151697225168,-0.684669870239424,-0.9757132922399577
-1.5323009047561569,-0.6746722179164646,-0.9716680527890462
-1.5259490704603715,-0.671681129642494,-0.9676621860508119
-1.5196582118692272,-0.658438162991807,-0.9636947744321048
-1.513426925131586,-0.6521209617079182,-0.9597649325759845
-1.5072538551175594,-0.6519969957547094,-0.9558718058521987
-1.5011376931642768,-0.6482454663752799,-0.9520145689355232
-1.4950771749513123,-0.6435382596213759,-0.9481924244658718
-1.4890710784968946,-0.6304186899216526,-0.9444046017845805
-1.4831182222667163,-0.6298493544414874,-0.9406503557417035
-1.477217463387802,-0.6276966252925504,-0.9369289655695656
-1.4713676959604962,-0.623171905460203,-0.9332397338181959
-1.465567849462129,-0.6112397344224405,-0.9295819853485782
-1.4598168872364425,-0.6109705457304284,-0.9259550663799889
-1.4541138050632776,-0.600801520190184,-0.9223583435879511
-1.4484576298034388,-0.5895022444934832,-0.9187912032496008
-1.442847418114032,-0.587471401128385,-0.9152530504334986
-1.4372822552298965,-0.5831921785151764,-0.9117433082311229
-1.4317612538070845,-0.5780253732915488,-0.9082614170274965
-1.4262835528246167,-0.5740450462188527,-0.9048068338085639
-1.4208483165410106,-0.5708724769259175,-0.9013790315031118
-1.4154547335023264,-0.5657085949871075,-0.8979774983571817
-1.4101020155986936,-0.5629567466217571,-0.8946017373390547
-1.4047893971664915,-0.5613321689614947,-0.8912512655730311
-1.3995161341335476,-0.5599569237447084,-0.8879256138003381
-1.3942815032048959,-0.5578201112806882,-0.8846243258656178
-1.3890848010867982,-0.5554747020191937,-0.8813469582275463
-1.3839253437468766,-0.5477288654186481,-0.8780930794922265
-1.3788024657083615,-0.5450796685648784,-0.8748622699680965
-1.3737155193765644,-0.5337569876654862,-0.8716541212411609
-1.368663874395834,-0.5263250870964686,-0.868468235769447
-1.3636469170353314,-0.5261678562799577,-0.8653042264956358
