显示名,贡献值,占比(%)
CODo,115.08816250975094,68.95487960726481
COD2i,16.938292710775567,10.148549678384017
TempO,7.495533440624467,4.4909362937017665
P,5.6873688391186965,3.4075775043355314
pHMBR,4.460911454735621,2.672747618799644
NH3NO,3.362453293155498,2.014608252998601
DO,2.938586997146203,1.7606494724122672
pHO,2.8672995938119543,1.717937744227267
Q2i,2.74240296604243,1.6431061391047916
NH3N2i,2.5544522244965377,1.5304957674317268
pH2i,1.5308045055876711,0.9171789529276136
Q2mbr,1.2373112625004377,0.7413329684119496
