显示名,贡献值,占比(%)
CODo,115.11269652728797,69.51024659472832
COD2i,16.835996204591144,10.166335105976966
TempO,7.30089987889402,4.408613178695222
P,5.477164469812019,3.3073593480304466
pHMBR,4.438189909312118,2.679979570779919
NH3NO,3.0752494007122144,1.8569745182984525
pHO,2.855515603447932,1.7242893246246547
DO,2.7647580163113297,1.669485793367681
Q2i,2.7000839638222924,1.630432678703412
NH3N2i,2.4665151829141805,1.4893932968841852
pH2i,1.5271157695073159,0.9221414919421026
Q2mbr,1.0511785508609532,0.6347490979686417
