显示名,贡献值,占比(%)
CODo,1.0886489566005404,46.003255696013476
NH3NO,0.6398939311307266,27.040125242994645
COD2i,0.14864746052169375,6.281425333190965
P,0.10569262416365184,4.4662742614166895
TempO,0.07925903476391587,3.349264811541577
DO,0.07446172882119517,3.1465440992339784
pHO,0.05706137974113629,2.411254083957217
NH3N2i,0.047332990465590745,2.000159601534916
pHMBR,0.04230739991572328,1.7877922211343908
Q2i,0.03339957501105961,1.4113724906969656
Q2mbr,0.027626243800538706,1.1674076843330146
pH2i,0.02212935296550937,0.9351244739521724
