显示名,贡献值,占比(%)
CODo,1.0710916301208138,46.18573611003999
NH3NO,0.6402210301735145,27.606489230390725
COD2i,0.15597690416426682,6.7257627007871035
P,0.09348053534978483,4.030903814086791
TempO,0.0748858870362136,3.229097977948634
DO,0.07137590353362432,3.07774662084495
pHO,0.05087075875109075,2.193559704252728
NH3N2i,0.04643502449978258,2.002289745806618
pHMBR,0.03204549856861358,1.3818098272672612
Q2i,0.031242472136260194,1.3471831288120817
Q2mbr,0.02797421028933304,1.2062548693095185
pH2i,0.023496300018214393,1.0131662704536057
