显示名,贡献值,占比(%)
CODo,127.41973176936735,77.60413751576212
TempO,12.228516151630915,7.447696175993886
pHMBR,5.341906124577682,3.2534522850697147
pHO,3.0609539971677635,1.8642536099164502
Q2i,2.883647199597001,1.7562660878106409
COD2i,2.6575230024738317,1.6185466542071363
P,2.557125023665713,1.5573999350488177
NH3NO,2.115151032633447,1.2882186245706242
DO,1.940531291553224,1.181867636292887
NH3N2i,1.8199387968363006,1.1084215819539878
pH2i,1.6781647494048855,1.0220750442533115
Q2mbr,0.48874166308966027,0.2976648491204134
