显示名,贡献值,占比(%)
CODo,1.2229598217407616,54.74255371637775
NH3NO,0.6426293331644525,28.765598153830602
P,0.10409722351074605,4.6596361944675175
pHO,0.046874590983877036,2.0982167764233086
DO,0.04181421817300257,1.8717026052301078
NH3N2i,0.041286802658882134,1.8480942481939033
COD2i,0.0396833358275371,1.7763193071149788
pH2i,0.025260417403654194,1.1307156065432769
TempO,0.024432924367824873,1.093675074909673
pHMBR,0.021281116343604765,0.9525927457911344
Q2i,0.015088095321684971,0.6753785806711902
Q2mbr,0.008612528241873607,0.3855169904465816
