显示名,贡献值,占比(%)
CODo,1.222138919419707,54.59159251314648
NH3NO,0.645946059072365,28.853695338574926
P,0.10609174241629281,4.739000680667271
pHO,0.04730019288298219,2.1128472505294775
NH3N2i,0.043097232185746924,1.9251056492382081
DO,0.0397767805791182,1.7767847520076647
COD2i,0.03932109426644763,1.7564297489062644
pH2i,0.026681396097961902,1.1918284249988556
TempO,0.024062798718995942,1.074858579102466
pHMBR,0.02018861546692619,0.9018031023006378
Q2i,0.015072322700337346,0.6732639686118125
Q2mbr,0.009017236955574126,0.4027899919159144
