显示名,贡献值,占比(%)
CODo,52.39567938496251,38.176827574127714
P,23.417739462216446,17.06276189409359
pHO,16.859629294809213,12.284355658844069
COD2i,15.065051056772898,10.976780210524623
DO,6.991897885659851,5.094475024086669
pHMBR,4.83275694368896,3.5212698969188843
pH2i,4.832261581142181,3.520908963140431
Q2mbr,3.5284316568722454,2.5709052454841426
TempO,3.2748089866019305,2.386109303042779
NH3NO,2.8155487655526743,2.051480599369835
Q2i,1.9815713769976075,1.4438234158516507
NH3N2i,1.2493417082016764,0.910302214515616
