显示名,贡献值,占比(%)
CODo,50.36492666517907,37.38195479800573
P,23.36825514913676,17.34443223754844
pHO,17.060158128247505,12.662424076115961
COD2i,14.40087580466602,10.688646326450588
DO,7.5140294313293685,5.577077683844582
pH2i,4.725548215583679,3.507405678660043
pHMBR,4.370095408530865,3.2435807980162843
Q2mbr,3.6049231734587868,2.675653158722625
TempO,3.1071879150248454,2.3062231175385244
NH3NO,2.8432905879956585,2.110352725114425
Q2i,2.151408572636987,1.596822696655701
NH3N2i,1.2198867009543481,0.9054267033270909
