sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR
1331,131.35327,-0.42113408,0.0060395757,-6.6845155,2.3421695,-0.48090422,-17.62579,-4.0473957,2.6967356,-39.839256,2.4844427,-10.0692425,3.5358567
597,88.97668,1.2154698,1.3983413,10.346414,1.7096002,0.8511108,-32.833115,-1.589413,0.4634565,-73.55764,-1.2940838,-15.263086,-1.9266717
493,295.1308,8.017645,-1.3181164,-2.4920034,-1.3156854,-0.0738024,39.28196,0.38609356,-5.7440877,118.409134,-6.2384825,-41.643448,-11.59461
707,129.24495,0.63829374,-1.7808006,10.880917,0.9392015,0.7900754,-27.157,-4.1709313,-4.1484985,-50.893234,-0.4487941,2.9997754,2.1396694
500,252.74287,-0.6707628,-0.17323129,4.2304254,-2.1957324,-0.5858258,-27.228348,0.24337105,10.416186,109.11899,-0.065018,-32.92291,-6.880582
816,122.02301,3.0205834,-0.029484931,-18.88935,2.6008499,1.0865777,-9.920894,-4.068162,3.4823177,-58.074497,-1.1534053,1.7951497,2.7170057
1355,83.05619,0.27193192,0.22724998,-9.767686,1.9773254,-0.30474442,-18.783167,-1.5879502,-0.71482414,-89.42903,0.23956375,1.4409035,0.030292615
1210,122.19098,2.3576295,0.009285395,-10.069176,1.6068822,-0.67554426,-16.210836,-3.4944208,1.7990206,-57.690186,-0.6559211,3.833695,1.9242301
898,59.495567,3.0484285,-1.4617019,-14.214887,2.0117068,1.066485,-26.663994,-2.2380018,1.7779464,-86.108635,0.113738984,-16.766685,-0.5251424
1486,120.24143,-0.56279945,0.67231226,4.096285,-10.836537,0.89850044,-30.677797,1.3833054,2.0120966,-51.15402,0.35294446,2.6944394,1.906408
1506,62.783237,-0.25727898,0.44949442,-2.9110389,-12.06747,1.1843888,-30.258408,-4.079738,-0.10833021,-93.92896,1.1349293,2.3101566,1.8592129
664,97.1417,0.010553582,-0.59873253,12.503748,1.921844,0.31189448,-25.689777,-0.5253366,-3.877374,-72.46404,0.60167474,-14.406721,-0.10233936
1058,90.99387,2.980698,0.22259966,-14.128149,1.9084139,-0.2626559,-18.344126,-1.5641835,-1.0971106,-81.34416,1.2070554,2.9368975,-0.9776692
277,378.10904,-0.40151578,-1.3776187,2.275743,0.78259945,1.0841883,49.284878,-1.7196465,-6.8543334,143.15178,-4.595192,3.0571995,-6.03549
1276,120.759415,1.2719263,0.84012634,-8.408899,2.528047,0.50635487,-16.8997,-2.0989525,2.6070862,-67.80287,2.5780382,1.791806,4.3901677
1399,66.96367,0.40575054,0.18889064,-8.763933,-9.118279,0.68531096,-29.455206,-1.9470252,2.874131,-90.52511,2.0524704,2.895397,-1.7850256
1429,77.65415,-0.8203134,0.15207247,-6.3966994,2.255883,0.45434877,-25.989029,-1.5583076,-0.7262263,-91.3645,0.590602,1.4830296,0.11700203
236,468.62222,-0.96971416,0.6012201,9.571308,-1.1125202,-1.4909295,61.908703,1.0478308,1.8502314,183.23753,6.0986385,3.393202,5.0303
672,119.54677,-1.2819245,-0.020042932,8.208131,2.7819536,-0.6115592,-32.57497,0.24260513,-2.5905788,-45.07646,1.161734,-11.500736,1.3522933
1336,122.63183,-0.11095018,-0.098904446,-5.6059866,1.8514388,-0.25470358,-20.1983,-3.7321043,3.128664,-43.939304,2.9651642,-14.235453,3.4059646
1544,84.15892,0.9572681,-0.45659837,-7.7014027,3.4011667,0.92384315,-19.47059,-0.8703863,1.6812793,-81.326164,-1.1950881,-13.881417,2.640717
344,491.91486,-5.33864,-4.611872,14.084145,2.6332676,-0.27465853,56.114185,-1.2263381,15.956771,192.70491,9.645554,3.162743,9.608413
1108,46.57823,2.7983966,-0.8891839,-13.866766,-5.760057,-0.26374763,-24.992481,-0.8991489,-1.3590387,-107.2493,-2.8344543,1.4894322,0.94827175
208,452.6323,4.7148995,1.3541627,10.979504,-1.1423442,1.1574665,55.021698,2.132755,1.879698,165.31029,4.0160728,3.3895776,4.3621516
982,113.924545,1.0961436,0.24696973,-10.950213,0.98082674,0.21356852,-19.32036,-3.5927427,-0.7665533,-57.389046,0.67293286,2.487273,0.78946424
1052,71.60258,0.7799114,-4.616863,-11.796431,2.3747869,0.50973827,-26.901625,-0.015961781,-1.8864279,-87.18692,-0.6419156,2.6001012,-1.0721271
1490,109.33027,0.3555906,0.6610777,4.2970734,-11.1359825,0.64150137,-28.024145,-2.535989,2.6804178,-63.101788,0.6058078,2.7172463,2.7131598
58,413.3308,-8.913625,0.70966846,10.239155,-0.6248803,5.3615856,47.41856,0.7635481,-4.070275,157.88525,-3.747238,3.302617,5.550246
1547,76.771484,-0.7356443,0.7666875,-1.2838911,-4.4458537,1.0201244,-31.042818,-0.8335836,0.7765934,-90.850204,1.3281432,0.9666107,1.6490163
679,90.21368,2.4677618,-0.77173245,9.286587,1.5661914,-0.51087546,-28.392277,-2.0579348,-1.9890699,-75.64216,-3.3224473,-11.832958,1.956297
1229,125.36817,0.650963,-0.067733444,-11.122398,1.4473921,-0.69178236,-16.757378,-3.8923736,1.4763724,-50.929108,1.5267289,2.6201954,1.6509856
931,73.71188,0.2523331,0.30102453,-9.041273,2.936112,-0.35261822,-27.634058,-0.10775533,0.80414724,-75.732124,-1.4648148,-15.770753,0.06533031
1269,122.47887,0.92208344,-0.2105619,-9.156096,1.5429114,-0.47311386,-17.594181,-4.402393,2.7881896,-54.230137,-0.86686385,1.6461065,3.0566092
715,131.83665,0.913,0.6871252,8.512993,2.2840564,-0.43945503,-29.851404,-3.801869,-4.333727,-47.465996,0.24892147,2.7864182,2.840332
354,449.7286,-7.5429044,1.0131565,8.583439,3.2975864,-0.9810424,55.424324,-0.41289967,17.524197,155.39752,8.071951,2.9551344,6.9417853
811,115.277405,0.7991103,-1.6671757,-35.54702,1.0704001,-0.5097542,19.309584,-14.773948,4.7141957,-61.415684,-1.1635395,2.725737,2.2791743
1290,111.20866,1.9537483,0.035054617,-7.0920568,2.3637834,0.39358366,-24.324413,1.0626193,3.7623792,-55.575653,1.0048586,-16.281723,4.450176
429,342.606,-6.2016106,0.6523796,-10.021878,2.1899338,-0.001146514,38.142185,1.6313444,3.431108,126.5637,-17.541576,2.7661579,1.5390515
937,85.28907,1.390434,0.18770005,-13.192782,2.0956373,1.0724444,-24.014734,1.6209546,0.29253685,-76.21384,2.3586013,-8.906629,-0.8575749
292,450.5517,-7.329652,0.8969749,15.857133,1.4188831,-1.596582,59.550556,-0.2509911,-0.09882271,159.74849,10.23774,3.225925,9.4356165
554,137.33678,1.2489177,-0.1804059,9.0023575,2.0630062,1.9422444,-35.81073,8.977276,-2.1802437,-34.56716,3.5103934,-15.900242,-0.22493166
1231,118.738106,2.0011573,-0.014444101,-11.074853,2.662786,-0.4642835,-16.609306,-2.6462817,2.9687934,-64.62888,0.4384396,3.2055345,3.4431522
925,89.234055,-0.40960532,-0.063125245,-10.246586,2.0679176,0.9878027,-27.794615,0.5968001,-1.3770527,-56.873856,-0.78580207,-16.39417,0.07005277
