sample_id,f_x,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3N2i,pHO,CODo,NH3NO,TempO,pHMBR
1331,2.834054,-0.01270231,-0.0087117255,0.07877743,0.067062356,-0.013758064,-0.108269356,-0.105094835,-0.003620829,-0.41698906,0.4687185,-0.038932294,0.009137457
597,1.048205,0.0020364367,0.01020134,0.017386826,0.018777832,0.015814394,-0.22848916,0.0023302024,0.07973234,-0.9425751,-0.8166431,-0.059666075,0.03086233
493,3.3933504,-0.0008011544,-0.0019301996,-0.3402288,-0.006805773,0.011630256,0.4623496,0.044147145,0.07667051,0.21794558,0.2507326,-0.16183588,-0.076960966
707,1.5592066,-0.010726874,-0.0011363954,0.09817728,0.01712657,0.01934762,-0.16730188,-0.066096425,-0.029536031,-0.41742158,-0.810738,0.023637509,-0.01456197
500,3.0766664,-0.015129849,-0.0047324784,-0.34797767,-0.0029479195,0.022621447,-0.22546768,0.021954244,0.039388668,0.63977355,0.17862158,-0.089476526,-0.058398273
816,1.8154597,-0.011191243,-0.0011040948,0.00096390955,0.105136655,0.020424293,-0.08250587,-0.12093169,-0.0046755853,-0.6101751,-0.44788158,0.028277515,0.020685228
1355,1.4580991,-0.013950862,-0.062741555,0.03736806,-0.14913237,-0.011418105,-0.15896216,-0.10391715,-0.006371577,-0.9652384,-0.018504957,-0.0014367426,-0.006031925
1210,1.7248034,-0.018086437,-0.0027408195,0.0318466,0.029808704,-0.0062460364,-0.17687069,-0.09003302,0.030648112,-0.57629776,-0.468249,0.033566304,0.019020641
898,1.0348327,0.003944091,-0.017317673,-0.042485498,0.021791812,0.016235868,-0.22222108,-0.020999635,-0.015381348,-1.0123972,-0.5307139,-0.07092952,0.0068690856
1486,1.5442983,-0.008568427,0.009355838,0.16246843,-0.1587137,0.018332167,-0.23139644,-0.015639633,-0.04149177,-0.61181533,-0.57321054,0.05509559,0.02144506
1506,1.0551766,-0.0070838537,0.012573175,0.088072024,-0.1477541,0.017471962,-0.24386172,-0.04240626,0.034257468,-1.0502619,-0.61107624,0.06496504,0.021844253
664,3.4796054,-0.025774144,-0.0022476362,0.18001859,0.050786987,0.0068345414,-0.051808245,0.09040221,0.000400668,-0.42044407,0.791961,-0.06779188,0.008830744
1058,2.3948205,0.00066321803,0.00012104318,0.036684167,0.04936974,-0.016512455,-0.11251307,-0.06930565,5.529099e-05,-0.83267015,0.4198879,0.004276137,-0.0036727905
277,5.8193088,-0.0042525753,-0.022238484,0.08989719,-0.030488787,0.05759863,0.5233245,-0.002815618,-0.09190096,1.6813705,0.6665975,0.026222551,0.0075563723
1276,1.9086783,-0.021728767,-0.0019916347,0.035045695,0.036316466,0.012831144,-0.11570638,-0.08580876,-0.015383988,-0.6666184,-0.2252003,0.019076668,0.019409634
1399,1.0057126,-0.010895381,-0.015740907,0.03836675,-0.15911856,0.015350462,-0.24025682,-0.061225384,0.051821876,-1.1130072,-0.43365118,0.012421737,0.0032102116
1429,1.7140057,-0.010122292,-0.0057460726,0.06980697,0.04445483,0.014592442,-0.21007673,-0.044864666,-0.0140338,-1.0492805,-0.00018510921,-0.0060719308,0.007095435
236,5.0390506,-0.005061066,-0.013847502,0.118597254,-0.04982209,0.012026126,0.64565486,-0.014150428,-0.037144445,1.8611466,-0.37877327,0.03196382,-0.0499761
672,3.3455484,-0.0031646318,-0.01828924,0.15916665,0.08747991,0.0072191874,-0.21258177,-0.008472739,-0.014847623,-0.32308245,0.7981194,-0.038426034,-0.0060097254
1336,2.2129536,0.0008196103,-0.015213352,0.15103759,-0.11382854,-0.013615057,-0.12211839,-0.10820248,-0.0106122745,-0.52009326,0.08497497,-0.055652358,0.017019883
1544,1.015502,-0.0047027734,0.002724608,0.0737396,0.015783977,0.017300358,-0.25279346,0.012103593,-0.0011586407,-0.9838586,-0.73471665,-0.069319904,0.021962686
344,6.5593843,-0.01774594,0.0025047679,0.1027048,0.088640675,0.027178362,0.37052158,0.039700486,-0.03397118,1.8701817,1.0878516,0.015812328,0.087569036
1108,0.43588766,0.006716425,0.0013685602,-0.037413605,-0.13864742,-0.0041120495,-0.24276565,-0.010841588,-0.020003505,-1.1819173,-0.8446016,-0.00406154,-0.0062700864
