特征,CODMBR_before,NH3NMBR_before
CODo,115.11269652728797,1.0710916301208138
COD2i,16.835996204591144,0.15597690416426682
TempO,7.30089987889402,0.0748858870362136
P,5.477164469812019,0.09348053534978483
pHMBR,4.438189909312118,0.03204549856861358
NH3-NO,3.0752494007122144,
pHO,2.855515603447932,0.05087075875109075
DO,2.7647580163113297,0.07137590353362432
Q2i,2.7000839638222924,0.031242472136260194
NH3-N2i,2.4665151829141805,
pH2i,1.5271157695073159,0.023496300018214393
Q2mbr,1.0511785508609532,0.02797421028933304
NH3NO,,0.6402210301735145
NH3N2i,,0.04643502449978258
