特征,CODMBR_before,NH3NMBR_before
CODo,127.41973176936735,1.222138919419707
TempO,12.228516151630915,0.024062798718995942
pHMBR,5.341906124577682,0.02018861546692619
pHO,3.0609539971677635,0.04730019288298219
Q2i,2.883647199597001,0.015072322700337346
COD2i,2.6575230024738317,0.03932109426644763
P,2.557125023665713,0.10609174241629281
NH3-NO,2.115151032633447,
DO,1.940531291553224,0.0397767805791182
NH3-N2i,1.8199387968363006,
pH2i,1.6781647494048855,0.026681396097961902
Q2mbr,0.48874166308966027,0.009017236955574126
NH3NO,,0.645946059072365
NH3N2i,,0.043097232185746924
