特征,CODMBR_before,NH3NMBR_before
CODo,50.36492666517907,0.6806396665344749
P,23.36825514913676,0.15934916043135375
pHO,17.060158128247505,0.28757676664534315
COD2i,14.40087580466602,0.19021876394427245
DO,7.5140294313293685,0.10647811985286766
pH2i,4.725548215583679,0.04434032997064916
pHMBR,4.370095408530865,0.2109082064266148
Q2mbr,3.6049231734587868,0.05451488161603188
TempO,3.1071879150248454,0.1952833272986846
NH3-NO,2.8432905879956585,
Q2i,2.151408572636987,0.04090171322678953
NH3-N2i,1.2198867009543481,
NH3NO,,0.6031833024150418
NH3N2i,,0.04998840253129977
