feature_value_original,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40
108.0,99.30481,46.913914,129.65134,78.50384,274.8304,70.80185,164.56781,315.79736,113.89392,70.2633,79.302666,79.480675,119.65498,365.06003,75.675255,444.5944,272.7446,89.82425,110.20449,133.42128,332.72925,126.0082,134.48894,288.9815,77.53086,354.3596,82.32914,47.940773,380.9293,84.89651,418.6274,102.397545,67.71763,256.0045,125.47997,109.79528,94.27141,111.71825,378.79163,88.19343
294.2413793103448,99.30481,46.913914,130.32115,79.17365,275.50024,70.80185,165.23763,315.79736,114.563736,70.2633,81.247154,80.75535,121.59947,365.06003,76.94993,444.5944,272.7446,89.82425,110.874306,135.36578,332.72925,127.282875,135.15875,288.9815,78.200676,354.3596,82.998955,47.940773,380.9293,84.89651,418.6274,102.397545,67.71763,256.67426,125.47997,109.79528,94.27141,111.71825,378.79163,88.86324
480.48275862068965,99.30481,45.93626,130.32115,78.57993,287.58234,70.80185,165.23763,322.6324,114.563736,69.28564,80.653435,80.75535,121.21554,371.89505,76.35621,451.4294,284.8267,92.8146,110.874306,135.36578,339.56427,130.27318,135.15875,295.8165,77.60696,361.19455,82.998955,46.96312,387.7643,84.89651,425.46243,105.38789,66.739975,268.75644,130.15694,112.78563,93.6777,111.71825,385.62665,88.86324
666.7241379310344,99.30481,45.93626,130.32115,78.57993,288.68713,70.80185,166.34242,322.6324,114.563736,69.28564,80.653435,80.75535,121.21554,371.89505,76.35621,452.5342,284.8267,92.8146,110.874306,135.36578,339.56427,130.27318,135.15875,295.8165,77.60696,361.19455,82.998955,46.96312,387.7643,84.89651,425.46243,105.38789,66.739975,268.75644,130.15694,112.78563,93.6777,111.71825,385.62665,88.86324
852.9655172413793,97.100975,43.33456,127.18529,77.25235,288.68713,68.598015,159.16525,322.6324,110.74492,67.95805,79.32585,78.55151,116.998856,371.89505,75.028625,452.5342,284.8267,90.79417,107.74834,132.4232,339.56427,128.25278,131.14777,295.8165,76.27937,361.19455,80.79512,44.36142,387.7643,83.568924,425.46243,101.217094,65.41239,268.75644,125.005325,109.84306,91.076,109.51441,385.62665,88.524796
1039.2068965517242,97.100975,43.33456,127.18529,136.51784,370.2504,68.598015,180.97456,399.70435,110.74492,67.95805,79.32585,78.55151,116.998856,448.96695,75.028625,523.6882,324.45743,90.79417,107.74834,191.68875,427.04547,128.25278,190.41324,341.51315,135.54485,407.30533,80.79512,44.36142,464.83627,83.568924,507.02567,101.217094,65.41239,337.89316,125.005325,109.84306,91.076,109.51441,473.10782,88.524796
1225.4482758620688,97.100975,43.33456,127.18529,137.57983,370.2504,68.598015,180.97456,399.70435,110.74492,67.95805,79.32585,78.55151,116.998856,448.96695,76.090614,525.5175,324.45743,90.79417,107.74834,191.68875,427.04547,128.25278,190.41324,341.51315,135.54485,408.3673,80.79512,44.36142,464.83627,83.568924,507.02567,101.217094,65.41239,337.89316,125.005325,109.84306,91.076,109.51441,473.10782,88.524796
1411.6896551724137,98.49376,113.91551,145.8447,138.09285,389.41232,68.79556,173.34499,421.5971,148.1393,135.47636,141.0751,85.984726,148.81142,475.55655,132.68591,555.0888,328.9734,89.75532,150.09642,207.26088,446.26477,122.879585,186.03702,355.2576,135.00822,416.9376,84.50624,114.942375,486.729,114.07423,526.1876,102.41242,134.1765,341.996,119.840546,116.88689,154.14426,110.07668,492.32712,94.348785
1597.9310344827586,96.77627,126.46248,142.34113,161.92094,401.83023,83.824745,194.06723,437.62708,155.62077,151.77019,151.31297,93.31623,157.1568,495.5851,158.16809,566.9188,333.40118,96.4462,156.99689,224.73494,464.14432,121.53416,188.20592,361.20486,162.91064,437.17422,93.279205,127.48934,507.54053,122.07401,539.2302,101.46013,150.95775,348.3801,126.71383,122.95441,164.96242,118.21154,503.7403,99.25233
1784.1724137931035,97.94392,126.46248,143.50877,161.92094,401.83023,83.824745,194.06723,437.62708,155.62077,151.77019,147.08664,93.31623,157.1568,498.6072,158.16809,565.26807,331.75043,96.4462,156.99689,220.5086,459.918,122.701805,188.20592,359.5541,162.91064,437.17422,91.62845,127.48934,504.55478,120.66609,537.57947,100.05221,150.95775,348.3801,127.88146,122.95441,160.7361,118.21154,505.11163,95.026
1970.4137931034484,96.479744,127.11691,143.05307,163.11354,407.95593,85.01734,196.69199,437.62708,156.2752,157.35774,145.62245,94.50883,159.468,498.6072,159.36069,557.98737,331.76065,97.638794,158.18948,219.04442,459.918,120.53159,193.79349,359.5541,164.10324,437.17422,95.09741,128.14377,500.9202,119.20192,523.4245,98.588036,156.54533,354.5058,125.711266,128.54196,159.27191,118.865974,505.11163,95.70879
2156.655172413793,98.7914,134.65839,143.82124,162.18689,415.49747,87.328995,197.46016,445.1686,163.81673,159.6694,147.9341,96.82048,161.77965,500.91888,161.67235,558.7556,335.48212,106.35464,160.50114,222.53038,461.86044,122.84325,201.05003,361.49655,163.17662,444.50406,96.69951,135.68527,508.46173,121.51357,525.36707,99.35622,158.85696,362.04733,123.33267,139.03673,161.58356,121.625755,507.05408,100.973755
2342.8965517241377,99.55552,135.42252,144.58536,162.85263,418.90692,89.69132,198.1259,448.57806,166.17905,160.43352,148.69821,97.5846,162.54376,500.78644,162.43646,561.1553,338.89157,108.716965,161.26526,223.19612,465.2699,125.205574,201.71577,366.1976,163.84236,448.00592,99.06184,136.44939,505.31973,122.277695,523.538,100.12034,159.62108,366.74838,125.695,139.80084,162.34767,123.98808,505.22507,101.73788
2529.137931034483,100.887794,136.75479,145.91763,161.72354,421.59247,91.0236,197.72238,452.35376,167.51132,161.7658,150.03049,98.91688,163.87604,503.1777,163.76874,559.4654,338.48807,110.04924,162.59753,222.06703,463.81296,126.53785,200.58669,364.69168,162.71327,448.0945,100.39411,137.78166,506.67706,123.60997,524.1508,101.452614,160.95335,370.40427,127.027275,141.13312,163.67995,125.32036,505.83786,103.07015
2715.3793103448274,101.95293,138.16998,145.52663,161.72354,423.00766,92.08873,197.68143,453.41888,168.57646,163.18098,151.44568,99.98201,163.48503,504.24283,163.76874,559.4654,338.09705,111.11437,163.66267,223.13217,463.81296,127.60298,201.65182,364.65073,164.12846,448.0945,101.45924,139.19685,508.09225,124.6751,524.1508,101.452614,162.36855,371.81946,128.09238,142.19826,165.09514,124.92935,505.83786,104.135284
2901.6206896551726,101.95293,138.16998,145.62802,164.43787,425.722,92.08873,200.39575,453.41888,171.29079,163.18098,151.54707,99.98201,166.19936,504.24283,163.76874,559.4654,338.09705,111.11437,166.377,223.23357,463.81296,127.60298,204.36615,364.65073,166.84279,448.0945,101.56063,139.19685,508.09225,124.6751,524.1508,101.452614,162.36855,374.53378,128.09238,142.19826,165.09514,124.92935,505.83786,104.23667
3087.862068965517,100.79291,137.00995,144.46799,163.27783,421.38977,90.92871,199.23572,449.08667,170.13075,162.02095,150.38704,98.82199,165.03932,503.08282,162.6087,555.1332,336.93704,109.95435,165.21696,222.07353,459.48074,126.44296,203.20612,360.3185,165.68275,443.7623,100.40061,138.03682,506.01285,123.51508,519.8186,100.292595,161.20851,370.20157,126.93239,141.03822,163.9351,123.76933,504.67786,103.07665
3274.103448275862,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
3460.344827586207,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
3646.5862068965516,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
3832.8275862068967,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
4019.0689655172414,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
4205.310344827586,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
4391.551724137931,103.51277,139.72981,146.17699,165.9977,432.2344,93.648575,204.53177,456.4207,172.54333,164.74081,153.1069,101.541855,169.18481,512.3118,165.32857,565.9778,340.25143,111.21583,167.93683,223.335,465.7722,131.63818,209.74391,364.79114,168.40262,451.8531,103.82709,140.75668,511.4906,126.23495,527.5519,103.01246,167.7463,380.89615,130.6692,143.75809,166.65497,125.26248,508.63058,105.489235
