feature_value_original,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40
60.0,67.124435,46.320194,88.6998,64.917534,156.89452,48.233837,96.450745,182.17285,71.729675,57.3096,67.326996,63.588787,63.519104,180.43977,61.64808,163.91571,137.16505,48.380817,73.51877,79.56555,175.70988,70.64729,76.16214,149.8884,63.686764,163.0276,67.0566,46.96312,182.94519,62.531178,167.9142,65.23113,58.848442,136.37186,77.48834,65.36103,61.46239,75.09562,168.64299,69.02995
82.0,67.124435,46.320194,88.6998,64.917534,156.89452,48.233837,96.450745,182.17285,71.729675,57.3096,67.326996,63.588787,63.519104,180.43977,61.64808,163.91571,137.16505,48.380817,73.51877,79.56555,175.70988,70.64729,76.16214,149.8884,63.686764,163.0276,67.0566,46.96312,182.94519,62.531178,167.9142,65.23113,58.848442,136.37186,77.48834,65.36103,61.46239,75.09562,168.64299,69.02995
104.0,81.90137,53.788746,110.86163,78.83771,170.81468,64.57093,110.37091,196.09302,86.50662,69.66957,81.247154,79.92587,74.96476,196.7769,75.56823,177.83588,153.50215,64.71791,89.85588,93.48572,189.63002,86.98439,90.939064,163.80855,77.60696,182.77249,81.833534,54.43167,196.86536,78.868286,181.83437,81.56823,67.71763,150.29205,93.82545,80.13796,75.38256,89.87255,182.56316,85.36708
126.0,81.90137,53.788746,110.86163,78.83771,170.81468,64.57093,110.37091,196.09302,86.50662,69.66957,81.247154,79.92587,74.96476,196.7769,75.56823,177.83588,153.50215,64.71791,89.85588,93.48572,189.63002,86.98439,90.939064,163.80855,77.60696,182.77249,81.833534,54.43167,196.86536,78.868286,181.83437,81.56823,67.71763,150.29205,93.82545,80.13796,75.38256,89.87255,182.56316,85.36708
148.0,82.73084,53.788746,111.69111,78.83771,170.81468,65.400406,110.37091,196.09302,87.3361,69.66957,81.247154,80.75535,75.794235,197.60637,75.56823,177.83588,154.33163,65.547386,90.685356,93.48572,189.63002,87.813866,91.76854,163.80855,77.60696,182.77249,82.66301,54.43167,196.86536,78.868286,181.83437,82.397705,67.71763,150.29205,94.65492,80.96744,75.38256,90.70203,182.56316,86.196556
170.0,83.90378,54.96168,112.5281,79.17365,171.15062,65.73635,110.706856,196.09302,87.67204,70.005516,81.5831,81.09129,76.13018,197.60637,75.904175,177.83588,154.33163,65.88333,91.0213,93.82166,189.63002,88.14981,92.104485,163.80855,77.9429,183.6095,82.998955,55.604607,197.70236,80.04122,181.83437,83.57064,68.05357,150.62799,95.82786,81.30338,76.5555,91.87496,182.56316,86.5325
192.0,92.779655,63.95546,123.56134,85.823135,179.68973,71.16694,121.90287,203.67674,95.07528,77.60685,83.439606,85.98798,83.9949,205.77936,85.57745,186.84474,165.05188,71.16694,100.69305,95.67817,198.02722,98.23536,103.988434,173.51569,85.36856,193.39528,96.59308,63.551003,205.51202,86.83764,191.5415,92.3309,72.189705,158.9755,110.28706,89.435455,84.302635,101.58736,192.2703,95.33162
214.0,102.32299,88.35773,135.22664,107.49932,199.82909,82.10848,143.73198,225.08144,112.54912,99.06716,101.315384,98.38024,108.2458,222.56033,107.23764,207.8249,179.15208,82.10848,116.15129,118.007484,217.93784,115.86352,118.38987,197.95242,108.85893,212.75674,109.848145,88.76007,227.42906,96.7754,211.45212,103.569984,94.27146,181.90819,124.235504,100.6275,97.76515,115.65089,212.73811,109.98898
236.0,110.29784,104.02843,141.98721,124.0935,210.92624,89.44694,154.18721,239.54057,123.9479,113.6981,115.08586,105.59558,121.59947,237.60373,117.665596,220.17273,188.82762,90.336105,123.20329,131.83148,231.50804,125.45265,126.990776,212.12862,121.87174,225.88535,119.79085,107.55559,240.87793,109.06968,222.61986,112.95953,105.331,193.14825,133.83516,110.98886,112.75983,120.27105,224.99837,121.78314
258.0,111.025475,105.39511,142.10454,125.4572,213.64424,91.92543,157.22858,245.53635,127.634224,117.38442,118.620155,109.129875,127.03607,244.02957,120.560844,222.89073,191.53972,92.8146,125.12571,135.36578,234.8651,130.27318,132.72995,217.38797,123.23544,224.99942,123.47717,111.092865,246.8737,110.43636,227.87921,114.32622,108.48821,197.40436,136.73341,114.95622,116.297104,122.16602,227.71637,125.46947
