feature_value_original,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40
42.0,2.6217535,0.5777937,2.9712713,0.9468216,3.1361125,0.9812548,1.8170232,5.111,1.7725176,1.069151,2.2688253,1.3675048,1.7809646,5.2472386,1.1973016,6.1222053,3.9366825,1.4679258,1.8534873,2.8107724,7.337673,2.3852808,1.5581294,6.1555343,0.9649372,6.186202,1.7172289,0.58667785,4.920911,1.7803509,7.2210083,3.7621362,1.027313,1.9145716,2.2349646,1.6828455,2.5263925,1.3120211,6.7171764,2.5994284
80.72413793103448,2.6217535,0.5777937,2.9712713,0.9468216,3.1361125,0.9812548,1.8170232,5.111,1.7725176,1.069151,2.2688253,1.3675048,1.7809646,5.2472386,1.1973016,6.1222053,3.9366825,1.4679258,1.8534873,2.8107724,7.337673,2.3852808,1.5581294,6.1555343,0.9649372,6.186202,1.7172289,0.58667785,4.920911,1.7803509,7.2210083,3.7621362,1.027313,1.9145716,2.2349646,1.6828455,2.5263925,1.3120211,6.7171764,2.5994284
119.44827586206897,2.6217535,0.5777937,2.9712713,0.9468216,3.1361125,0.9812548,1.8170232,5.111,1.7725176,1.069151,2.2688253,1.3675048,1.7809646,5.2472386,1.1973016,6.1222053,3.9366825,1.4679258,1.8534873,2.8107724,7.4555492,2.4331946,1.5581294,6.1555343,0.9649372,6.186202,1.7172289,0.58667785,4.920911,1.7803509,7.2210083,3.7621362,1.027313,1.9145716,2.2349646,1.6828455,2.5263925,1.3120211,6.7171764,2.5994284
158.17241379310346,2.5810447,0.5444957,2.9713657,0.92877793,3.027111,0.9720317,1.8171177,5.0606422,1.7318648,1.0284983,2.234065,1.3656366,1.7972345,5.196881,1.2047391,6.0714498,3.879909,1.4587026,1.8447495,2.8089042,7.4170203,2.4494646,1.5174767,5.97706,0.9468936,6.088786,1.6765761,0.55337983,4.870553,1.7396982,7.241664,3.7378561,0.994015,1.9067668,2.235059,1.6421927,2.4690228,1.2968614,6.758813,2.5363324
196.89655172413794,2.66264,0.6249683,2.9946783,0.9653251,3.0465033,1.0088993,1.8326633,5.097595,1.7765849,1.0968015,2.303085,1.3903348,1.8279549,5.28536,1.2294375,6.105372,3.9080298,1.483401,1.8856231,2.8450322,7.385355,2.4767604,1.566599,5.935258,0.9834409,6.081169,1.7300249,0.6338524,4.959032,1.793147,7.288718,3.9475188,1.0623183,1.938328,2.2671,1.6956415,2.5654726,1.3536471,6.789109,2.6202068
235.6206896551724,2.6706638,0.7861669,2.2978058,1.0219988,3.091796,1.0716895,1.8406869,4.7702007,1.7846085,1.1715684,2.3086927,1.3959423,1.8359785,4.9579654,1.300895,5.054522,3.4381204,1.4914246,1.8936467,2.853056,6.0347943,2.4847841,1.5746226,4.8599944,1.0401144,5.330306,1.7574492,0.795051,4.6316376,1.877754,5.938158,3.967855,1.1370852,2.018094,2.2751238,1.7036651,2.5938325,1.3616707,5.438549,2.6476312
274.3448275862069,2.6820552,0.77098453,2.348206,1.0068164,3.0391307,1.0804477,1.8408723,4.666314,1.7959999,1.156386,2.2935102,1.38076,2.0025294,4.8224015,1.2857126,4.87803,3.3342328,1.502816,2.0327518,2.9921618,5.6259127,2.4961753,1.7137281,4.6835027,1.024932,5.194742,1.7422668,0.7798686,4.496074,1.8625716,5.5292764,4.0201073,1.1219028,1.9337523,2.286515,1.7425021,2.6326692,1.3730621,4.9654846,2.6324487
313.0689655172414,2.6703203,0.7730959,2.3767152,1.0050112,2.9800174,1.0687128,1.7817591,4.6326094,1.784265,1.1006464,2.2817752,1.3690251,1.9467899,4.774074,1.2739778,4.818917,3.2751195,1.4910811,1.9882622,2.9795709,5.5026174,2.4844403,1.6654006,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,3.9789891,1.0661632,1.8854247,2.27478,1.7161444,2.5915523,1.3613273,4.9063716,2.576709
351.7931034482759,2.6703203,0.7730959,2.4634964,1.0050112,2.9800174,1.0687128,1.7817591,4.6326094,1.784265,1.1006464,2.2817752,1.3690251,1.9467899,4.774074,1.2739778,4.818917,3.2751195,1.4910811,1.9882622,2.9795709,5.5026174,2.4844403,1.6654006,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,3.9789891,1.0661632,1.8854247,2.27478,1.7161444,2.5915523,1.3613273,4.9063716,2.576709
390.51724137931035,2.8945181,0.7730959,2.4859357,1.0050112,2.9800174,1.0687128,1.790323,4.6326094,1.8067043,1.1006464,2.2817752,1.3690251,2.0206997,4.774074,1.2739778,4.818917,3.2751195,1.5270369,2.2259762,3.0155268,5.5026174,2.5203962,1.68784,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,4.0393834,1.0661632,1.8854247,2.2972195,1.7385837,2.8537045,1.5855253,4.9063716,2.576709
429.2413793103448,2.8945181,0.7730959,2.4859357,1.0050112,2.9800174,1.0687128,1.790323,4.6326094,1.8067043,1.1006464,2.2817752,1.3690251,2.0206997,4.774074,1.2739778,4.818917,3.2751195,1.5270369,2.2259762,3.0155268,5.5026174,2.5203962,1.68784,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,4.0393834,1.0661632,1.8854247,2.2972195,1.7385837,2.8537045,1.5855253,4.9063716,2.576709
467.9655172413793,2.8945181,0.7730959,2.4859357,1.0050112,2.9800174,1.0687128,1.790323,4.6326094,1.8067043,1.1006464,2.2817752,1.3690251,2.0206997,4.774074,1.2739778,4.818917,3.2751195,1.5270369,2.2259762,3.0155268,5.5026174,2.5203962,1.68784,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,4.0393834,1.0661632,1.8854247,2.2972195,1.7385837,2.8537045,1.5855253,4.9063716,2.576709
506.68965517241384,2.8945181,0.7730959,2.4859357,1.0050112,2.9800174,1.0687128,1.790323,4.6326094,1.8067043,1.1006464,2.2817752,1.3690251,2.0206997,4.774074,1.2739778,4.818917,3.2751195,1.5270369,2.2259762,3.0155268,5.5026174,2.5203962,1.68784,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,4.0393834,1.0661632,1.8854247,2.2972195,1.7385837,2.8537045,1.5855253,4.9063716,2.576709
545.4137931034484,2.8945181,0.7730959,2.4859357,1.0050112,2.9800174,1.0687128,1.790323,4.6326094,1.8067043,1.1006464,2.2817752,1.3690251,2.0206997,4.774074,1.2739778,4.818917,3.2751195,1.5270369,2.2259762,3.0155268,5.5026174,2.5203962,1.68784,4.6243896,0.99122715,5.2340374,1.7159091,0.81188476,4.4623694,1.8508368,5.405981,4.0393834,1.0661632,1.8854247,2.2972195,1.7385837,2.8537045,1.5855253,4.9063716,2.576709
