feature_value_original,sample_1,sample_2,sample_3,sample_4,sample_5,sample_6,sample_7,sample_8,sample_9,sample_10,sample_11,sample_12,sample_13,sample_14,sample_15,sample_16,sample_17,sample_18,sample_19,sample_20,sample_21,sample_22,sample_23,sample_24,sample_25,sample_26,sample_27,sample_28,sample_29,sample_30,sample_31,sample_32,sample_33,sample_34,sample_35,sample_36,sample_37,sample_38,sample_39,sample_40
1.1,1.160253,0.53342086,1.7542919,0.919251,2.5377963,0.8017932,1.2637801,5.0417194,1.3436116,0.7161822,0.8588938,0.96234256,1.1729112,5.287483,0.7912586,4.7201676,3.0743103,1.086005,1.225187,1.3872361,4.5309,1.0481173,1.5752926,5.7327023,0.93736666,6.186202,0.8884082,0.542305,4.936944,0.7880399,4.686263,1.17666,0.6841105,1.9145716,1.2968639,1.3265268,0.83738,1.2002946,4.7513046,0.9868165
1.831034482758621,1.1878237,0.5609914,1.7542919,0.9468216,2.5377963,0.82936376,1.2913507,5.0417194,1.3711822,0.7437527,0.88646436,0.9899133,1.2004817,5.287483,0.8188291,4.7201676,3.0743103,1.1135756,1.2527575,1.4148068,4.5504007,1.0756879,1.6028632,5.7327023,0.9649372,6.186202,0.91597867,0.56987554,4.936944,0.81561047,4.705764,1.2042305,0.71168107,1.9145716,1.3244345,1.3540974,0.86495066,1.2278652,4.7513046,1.0143874
2.5620689655172413,1.3216292,0.7240461,1.8880974,1.1172315,2.779494,0.96316975,1.4302676,5.0606422,1.5049877,0.90680754,1.0305965,1.117819,1.3505139,5.2933836,0.9892394,4.9310694,3.264199,1.2473811,1.3865631,1.5589387,4.781285,1.2094934,1.7366687,5.751625,1.1353472,6.2124796,1.0497848,0.73293024,4.954242,0.9786652,4.9366484,1.3380361,0.85581326,2.1949465,1.45824,1.4879029,1.0280057,1.3616707,4.9622064,1.148193
3.293103448275862,1.5203252,0.89559174,2.0980532,1.337592,3.1361125,1.161866,1.8043401,5.0853972,1.7718309,1.0615053,1.1852939,1.2603472,1.5588152,5.3271923,1.184524,4.972151,3.4217448,1.5050508,1.5804642,1.8469017,4.8955216,1.4658957,1.9882762,5.782847,1.3557078,6.169694,1.2108349,0.9032084,4.9953237,1.1773616,5.010211,1.5463374,1.0105108,2.6210368,1.6850631,1.7287246,1.2203492,1.5335889,5.049477,1.3457309
4.024137931034483,1.9588251,1.3167163,2.3901925,1.7514315,3.3048158,1.6247934,2.1747782,5.166335,2.2849047,1.3810769,1.5048656,1.5799187,1.9071457,5.40813,1.5458989,5.053088,3.4217448,2.0174582,1.9591984,2.2895005,4.9954715,1.957582,2.4308743,5.8637843,1.7695472,6.2506313,1.5722097,1.4008021,5.0762615,1.6610107,5.110161,1.8946679,1.3300824,2.8200166,2.0751967,2.13958,1.596324,1.9714333,5.130415,1.5837239
4.755172413793104,2.206931,1.4837427,2.5883424,1.9185134,3.3498511,1.8896745,2.3977444,5.277371,2.583877,1.5174239,1.6094677,1.6845208,2.0676315,5.5653434,1.7345427,5.2103014,3.3571734,2.302849,2.1616552,2.512467,5.3238683,2.2041366,2.6538405,5.991151,1.9366292,6.361667,1.7710365,1.6438346,5.2141514,1.9258919,5.438558,2.0551531,1.4346845,2.9339414,2.2910717,2.3942912,1.7669804,2.1574385,5.4383984,1.688326
5.4862068965517246,2.6706638,1.825856,2.9117093,2.2656534,3.470598,2.3978794,2.7461047,5.275068,3.2278264,1.7981153,1.8904794,2.0204082,2.4166634,5.5517287,2.126794,5.2247148,3.3715873,2.7665818,2.647001,2.861172,5.3500323,2.6097226,3.0440056,6.017315,2.283769,6.3760805,2.2255864,1.9859478,5.2285647,2.4340975,5.464722,2.4254987,1.766244,3.1777322,2.7290046,2.868793,2.092683,2.705752,5.4528117,2.0286984
6.2172413793103445,3.3747873,2.4047432,3.318323,2.7586415,4.0665936,3.1828148,3.0155115,5.661135,3.7273448,2.1965203,2.3937001,2.5236285,3.052431,6.0577884,2.9117293,6.1222053,3.308551,3.307346,3.3651004,3.3168306,6.2189503,3.3601685,3.520349,5.8895226,2.776757,6.2506337,3.0148504,2.463125,5.614632,2.947435,6.524425,2.998112,2.2504241,3.865229,3.548113,3.4452846,2.4690228,3.3817384,6.244724,2.576709
6.948275862068966,3.728458,2.9081156,3.5770473,2.9285588,4.159526,3.6488605,3.2597811,5.96092,4.0752835,2.535265,2.7249987,2.8469036,3.397948,6.283512,3.2690773,6.446374,3.2590551,3.6613715,3.6157763,3.4292796,6.610595,3.6264498,3.7440548,6.092181,2.9466743,6.4633245,3.43136,2.9749212,5.969584,3.2598317,6.848593,3.4328818,2.6993997,3.9735308,3.8278089,3.6690652,2.8077674,3.841294,6.6363688,2.935159
7.679310344827586,5.168005,4.685047,4.2915716,4.17954,4.5074353,5.1871142,3.8116238,5.980441,5.475172,4.2736826,3.9238853,4.44073,4.684122,6.341092,4.6382813,6.6062894,3.2723656,4.675785,5.097784,4.189189,6.8476973,4.733092,5.0461526,6.2053304,4.1976557,6.4037185,5.087169,4.7735295,5.809771,4.7556252,7.0856953,4.990625,4.220049,4.4922585,5.1401443,4.814428,4.2640486,5.2797375,6.873471,4.7625914
8.410344827586208,5.3101573,4.816879,4.3874483,4.3113713,4.716449,5.3357873,3.9427683,5.8871927,5.579566,4.4055142,3.9267354,4.4435806,4.773478,6.3789015,4.7869544,6.7538867,3.3213215,4.720862,5.2399364,4.147075,7.003666,4.8289685,5.133019,6.2494955,4.3294873,6.409522,5.2698007,4.905361,5.7165227,4.8534985,7.241664,5.088498,4.2228994,4.701272,5.236021,4.903784,4.361922,5.517243,6.957328,4.8669853
9.141379310344828,7.5950727,7.1197886,6.8658023,6.593504,5.2811775,7.575012,5.996837,5.6566277,7.378491,6.759411,5.932523,6.6436768,7.293625,6.514136,6.997586,7.081919,3.4145913,6.7257333,7.10284,6.045698,7.4170203,7.4144344,7.314897,6.6855574,6.61162,6.7122374,7.3406343,6.854595,5.6299686,6.947347,7.4832244,7.2305393,6.1471443,6.16614,7.3842974,6.887127,6.6633296,8.260183,7.2278514,6.715512
9.872413793103448,8.243218,7.669625,7.7851467,7.082998,5.435325,8.114424,6.132033,5.823438,7.716966,7.1497836,6.2309704,6.893968,7.6842704,6.674906,7.5227213,7.339002,3.7588372,7.3834066,7.672004,6.1149025,7.280481,8.102606,7.6575394,6.8608985,6.937418,7.262455,7.445623,7.144814,5.5436864,7.477234,7.4825478,7.787825,6.3437877,6.4414563,8.04197,7.2436633,6.83684,8.848215,7.088542,7.0815744
