feature_value_original,partial_dependence
60.0,94.95114
82.0,94.95114
104.0,109.66632
126.0,109.66632
148.0,110.033165
170.0,110.55905
192.0,119.619514
214.0,138.08311
236.0,149.54745
258.0,152.48708
280.0,156.55157
302.0,161.71878
324.0,178.23296
346.0,178.23296
368.0,252.21982
390.0,309.60397
412.0,320.77448
434.0,321.82245
456.0,323.54416
478.0,332.69385
500.0,324.03107
522.0,318.01395
544.0,320.6669
566.0,328.66428
588.0,325.6182
610.0,351.0041
632.0,320.25552
654.0,354.47525
676.0,353.74982
698.0,358.6761
