NH3N2i_raw,DO_raw,interaction_shap_value
362.0,7.53,0.0041609704
132.0,6.0,0.002080448
136.0,5.7,-0.00074559613
355.0,6.5,0.005010416
136.0,5.2,-0.0002706868
317.0,1.5,-0.012988765
387.0,9.36,0.007272497
259.0,5.3,-0.005433657
144.0,7.2,0.0023988122
217.0,10.74,0.0035611317
168.0,11.37,-0.008127019
549.0,7.1,0.0026799757
247.0,8.3,0.0008764453
178.0,7.8,0.0077434108
261.0,7.6,0.001767803
162.0,10.64,-0.007748291
165.0,5.21,0.00420266
165.3,6.2,0.0076449215
196.0,8.0,0.0034782514
253.0,8.99,0.0035950206
223.0,8.29,-0.0033037947
153.0,2.6,0.00821263
193.0,10.2,-0.0014880672
180.2,6.6,0.007683281
280.0,9.2,0.0144409165
189.0,3.4,0.002052294
241.0,10.99,0.005922504
166.1,5.1,0.0017542662
198.0,9.76,0.00010289624
237.0,6.6,0.0025664242
259.0,9.4,0.013062805
198.0,2.6,0.00095628947
285.0,6.5,0.0020204112
274.0,8.2,0.0077389926
154.0,0.2,0.0050415024
364.0,3.1,-0.0041551962
210.0,7.7,0.00025033206
134.0,1.4,0.014944784
210.0,3.9,-0.003912747
154.0821429,4.9,0.0017179043
86.0,2.1,0.0037932266
270.0,8.8,0.0074403305
201.0,4.5,0.0024299575
236.0,4.4,-0.002688243
208.0,6.4,0.0049001575
98.0,3.7,0.003075963
156.9,1.6,0.011785746
360.0,1.8,-0.004503809
508.0,8.99,-0.0010320768
153.6,4.9,0.0029080543
203.0,8.47,0.0005062632
175.0,9.2,-0.0077916384
256.0,8.4,0.00058314763
178.2,1.0,-0.0034403428
264.0,9.92,0.01512859
305.0,7.8,0.004373841
477.0,9.28,0.0030203164
242.0,4.5,0.00094480626
502.0,9.24,0.0029757917
376.0,0.4,-0.00909093
179.0,8.5,0.00064937584
133.0,4.5,0.0005358467
377.0,7.7,0.002407303
246.0,5.7,0.008464461
189.0,10.6,-0.002472572
208.0,12.8,0.002085574
247.0,6.3,0.004828101
347.0,2.6,-0.004555313
158.0,6.2,0.003175797
329.0,8.74,0.011237766
148.0,9.9,-0.011269592
198.0,8.4,-0.0006813463
135.0,5.0,0.00091348984
177.0,4.53,0.004360444
132.0,4.5,0.0023694304
156.0,5.4,0.0003362093
275.0,7.3,0.0022354275
150.0,6.2,0.0026878295
264.0,2.5,-0.006628651
213.0,4.97,0.00041069556
364.0,6.4,0.004365092
146.0,4.4,0.00026951963
201.0,3.1,-0.007055655
154.0,2.2,0.0030746497
227.0,10.5,0.012247313
563.0,7.99,0.0021868106
140.0,6.8,0.000860041
238.0,9.3,0.008287571
250.0,9.45,0.013215903
165.9,5.1,0.00511992
230.0,9.42,0.013021402
152.0,5.4,0.00033620838
143.0,2.1,0.0018118359
154.0,5.6,-0.0050201192
274.0,6.7,0.0020907475
203.0,11.71,0.0032776892
163.0,2.7,0.003758818
157.2,5.7,0.0020972937
155.2071429,6.5,-0.0050710775
210.0,8.99,8.330122e-05
135.0,1.5,0.02376347
