NH3NO_raw,DO_raw,interaction_shap_value
5.5,7.53,0.01600922
1.6,6.0,-0.005527114
5.4,5.7,0.011298152
2.3,6.5,-0.005407562
5.0,5.2,0.009805504
3.3,1.5,-0.003536582
4.4,9.36,-0.008501597
3.4,5.3,-0.0026747342
3.2,7.2,-0.004229606
2.9,10.74,0.016980395
2.8,11.37,0.018942378
5.7,7.1,0.013858462
5.1,8.3,0.021262577
6.1,7.8,0.0047597373
3.8,7.6,0.00062744506
3.3,10.64,0.012533143
4.5,5.21,0.002995206
3.1,6.2,-0.0020351764
5.6,8.0,0.013609033
4.8,8.99,-0.030971333
2.5,8.29,-0.0071580936
6.9,2.6,0.002049312
1.1,10.2,0.018872976
3.0,6.6,-0.0020217262
5.6,9.2,-0.07669172
4.0,3.4,0.0022684876
2.9,10.99,0.016514748
9.2,5.1,-0.0034717615
3.5,9.76,0.012431618
2.0,6.6,-0.0056287856
3.8,9.4,-0.0072789863
2.3,2.6,-0.0018594377
3.6,6.5,-0.0045929914
3.6,8.2,-0.0042951666
7.21,0.2,0.01131738
3.4,3.1,-0.0026160087
4.3,7.7,0.0008738246
2.0,1.4,-0.0040266216
3.8,3.9,0.0028327424
3.3,4.9,-0.0014051469
5.2,2.1,0.016912436
4.0,8.8,0.00021491572
2.5,4.5,-0.0046024118
2.8,4.4,-0.0051290113
2.4,6.4,-0.003211476
3.5,3.7,-0.0015259273
11.4,1.6,-0.104216486
2.9,1.8,-0.004658032
4.0,8.99,-0.010965165
6.0,4.9,0.0064505246
2.4,8.47,-0.00702747
6.1,9.2,-0.06961694
4.6,8.4,0.005342059
4.2,1.0,0.00017048419
3.4,9.92,0.012016006
4.2,7.8,9.6419826e-05
5.1,9.28,-0.053395048
4.2,4.5,0.0011678534
5.6,9.24,-0.07778275
3.4,0.4,-0.002499532
1.6,8.5,-0.006546988
5.12,4.5,0.014118989
4.1,7.7,-0.00084983
4.4,5.7,-0.0010221801
1.4,10.6,0.018872969
3.9,12.8,-0.0072191954
2.9,6.3,-0.0060354136
3.2,2.6,-0.0008735303
3.9,6.2,-5.423464e-05
8.3,8.74,0.0058386168
1.4,9.9,0.01864846
2.5,8.4,-0.006440881
3.5,5.0,-0.0021147057
2.3,4.53,-0.005587673
7.3,4.5,-0.007054536
2.1,5.4,-0.003528203
3.6,7.3,-0.004274646
4.3,6.2,0.00040180702
3.0,2.5,-0.0018874779
4.2,4.97,0.0025590248
3.9,6.4,0.00014921464
4.3,4.4,0.0011032808
3.4,3.1,-0.000115305185
5.2,2.2,0.012706485
2.4,10.5,0.018355012
3.4,7.99,-0.005181432
2.9,6.8,-0.006008587
2.8,9.3,0.01698038
3.3,9.45,0.01194578
5.7,5.1,0.007981303
5.2,9.42,-0.053463105
3.2,5.4,-0.0017047441
2.9,2.1,-0.0035541784
6.3,5.6,0.0048928335
2.8,6.7,-0.0069140345
2.3,11.71,0.018690888
7.3,2.7,-0.0015593059
3.3,5.7,-0.0018965639
4.4,6.5,-0.00048411638
4.6,8.99,-0.02317775
7.2,1.5,0.010551475
8.6,5.4,-0.012808267
3.5,10.72,0.012533151
10.3,5.3,0.031934813
2.1,3.5,-0.0055798925
3.5,5.7,-0.00364568
3.3,6.3,-0.0036706394
5.0,9.04,-0.056871872
2.6,7.4,-0.0033498267
5.3,3.0,0.009728629
1.9,11.2,0.018540911
5.2,7.9,0.016135866
3.9,0.9,-0.0008660853
3.2,3.8,-0.004190607
4.1,6.4,-0.00075445045
5.5,8.2,0.01809784
5.8,10.28,-0.07726346
2.7,3.1,-0.001615569
2.8,1.7,-0.003928788
2.8,6.08,-0.0059295725
3.6,6.3,-0.0018487163
2.1,2.1,-0.004035687
20.0,7.5,0.044726
4.0,7.0,0.0007809587
2.3,11.67,0.018634051
2.5,5.2,-9.771716e-05
2.2,6.1,-0.005708672
2.9,7.4,-0.003122544
2.2,4.8,-0.0029262411
3.9,6.7,-0.00027634948
1.6,4.1,-0.00337122
2.8,7.5,-0.00315791
3.8,2.6,0.0027733166
3.2,11.21,0.011150092
2.6,9.2,0.016798828
4.21,3.0,0.0026244316
3.2,1.9,-0.0026212744
2.9,1.7,-0.0044764727
1.9,4.3,-0.0022978545
2.3,7.2,-0.0060847993
7.6,1.7,-0.0010084584
9.2,3.1,-0.010233775
6.8,4.5,-0.0005598851
3.8,5.9,0.0003180541
8.5,3.6,-0.004624054
5.8,5.5,0.0091139
2.8,5.0,-0.0047756946
5.2,5.0,0.007838568
3.6,2.2,-0.001058355
4.9,5.0,0.008537118
1.9,8.5,-0.006717139
2.6,3.2,-0.001282163
4.3,4.05,0.0024074744
4.2,6.6,0.0009345822
4.3,12.03,-0.007618211
4.5,1.12,0.002073221
3.6,4.2,-0.0038271714
2.2,9.31,0.016516028
4.6,7.93,0.005297819
6.0,1.9,0.027156087
2.7,5.9,-0.0028433036
4.1,8.7,-0.00020673871
6.7,1.3,0.013492066
4.5,3.89,0.0026469454
2.7,8.48,-0.007208526
3.4,6.5,-0.0044042477
3.6,5.9,-0.004511948
7.6,3.8,-0.0046120957
1.9,6.8,-0.0062817354
2.4,2.4,-0.00011532381
6.6,6.2,0.010245295
3.9,7.7,0.00048410706
6.2,1.7,0.021959484
2.3,10.7,0.018359367
2.8,7.66,-0.006175668
2.6,3.7,-0.0036054086
1.9,5.8,-0.005044342
5.3,1.81,0.01875034
3.3,9.22,0.0122727975
3.2,8.1,-0.0040949266
4.8,10.75,-0.027165055
2.9,6.7,-0.0064867153
1.9,5.9,-0.0029458655
3.2,3.1,-0.0032091439
1.1,5.0,-0.0034726313
4.6,5.2,0.008388052
5.2,7.3,0.015325091
4.6,9.01,-0.02390226
5.63,1.6,0.03140132
2.3,3.6,-0.0020281728
2.4,11.81,0.018821511
8.6,5.0,-0.015221598
5.35,5.1,0.013027316
2.3,2.1,-0.0040340796
7.72,0.4,-0.0007230267
4.2,12.18,-0.007618211
2.2,5.0,-0.002618301
2.7,0.5,-0.004602812
4.5,3.39,0.0026962683
3.1,5.6,-0.003534872
2.8,7.35,-0.0064315386
2.5,5.5,-0.0033188947
4.3,6.4,0.00048001483
5.3,4.4,0.008211551
3.6,7.6,-0.0049934164
3.3,4.4,-0.004144703
6.7,7.1,0.0032955986
1.5,10.3,0.018632576
5.4,5.9,0.006827309
2.0,6.2,-0.00618489
5.2,2.0,0.017542522
7.31,1.4,0.010551468
2.3,9.03,0.014666552
2.9,7.0,-0.0033498257
4.1,3.0,0.0027192645
4.1,7.8,0.00035582297
3.8,6.4,0.0010821149
2.7,7.54,-0.0060272776
2.3,8.65,-0.0073957164
1.7,10.7,0.019124463
22.3,0.0,-0.028430574
2.7,10.5,0.01821541
4.6,1.18,0.0073864795
4.6,4.3,0.0033020824
2.1,9.5,0.018541712
4.2,6.2,5.341135e-05
3.2,3.8,-0.001267599
2.9,0.6,-0.0049806386
6.2,5.0,0.015573708
5.5,5.9,0.0069735255
5.08,2.1,0.012317974
2.6,10.5,0.018610861
6.9,3.8,-0.003958011
4.5,6.0,0.00021107402
7.6,5.1,-0.014529033
10.6,0.0,-0.038710263
6.5,7.7,0.011388918
2.2,2.4,-0.0028104447
3.3,2.1,-0.0012068115
3.6,8.88,0.008614792
3.5,6.0,-0.00402045
4.5,8.85,-0.008968471
8.9,3.8,-0.0045666397
