NH3NO_raw,NH3N2i_raw,interaction_shap_value
5.5,362.0,-0.0038978867
1.6,132.0,-0.005749078
5.4,136.0,0.0020372905
2.3,355.0,0.03256545
5.0,136.0,0.002257187
3.3,317.0,0.01926094
4.4,387.0,-0.009461381
3.4,259.0,0.020000352
3.2,144.0,0.0038388018
2.9,217.0,-0.0010617822
2.8,168.0,0.0006424114
5.7,549.0,0.0003246665
5.1,247.0,-0.0046070814
6.1,178.0,0.00023850333
3.8,261.0,0.020316025
3.3,162.0,0.004672883
4.5,165.0,0.005044533
3.1,165.3,-0.0034776377
5.6,196.0,0.00039145024
4.8,253.0,-0.007723406
2.5,223.0,-0.001849262
6.9,153.0,0.010415997
1.1,193.0,-0.0065533314
3.0,180.2,-0.002596648
5.6,280.0,0.0002108328
4.0,189.0,-0.0033905618
2.9,241.0,0.016121674
9.2,166.1,-0.04786872
3.5,198.0,-0.005140029
2.0,237.0,0.025645368
3.8,259.0,0.019809972
2.3,198.0,-0.006188957
3.6,285.0,0.019146904
3.6,274.0,0.019235365
7.21,154.0,0.0073614884
3.4,364.0,0.017425839
4.3,210.0,-0.0049299668
2.0,134.0,-0.009546531
3.8,210.0,-0.005674135
3.3,154.0821429,0.000724372
5.2,86.0,0.0021376908
4.0,270.0,0.008862911
2.5,201.0,-0.0031899095
2.8,236.0,0.015813185
2.4,208.0,0.0014034864
3.5,98.0,0.007483688
11.4,156.9,-0.02724252
2.9,360.0,0.011500441
4.0,508.0,0.008502681
6.0,153.6,0.006346632
2.4,203.0,-0.0017655445
6.1,175.0,-0.007823754
4.6,256.0,-0.00823006
4.2,178.2,-0.0034074695
3.4,264.0,0.019778768
4.2,305.0,0.008993525
5.1,477.0,-0.0060346834
4.2,242.0,0.012399331
5.6,502.0,-0.0015201382
3.4,376.0,0.015560936
1.6,179.0,-0.0042583346
5.12,133.0,-0.00059101544
4.1,377.0,0.007889589
4.4,246.0,-0.008872405
1.4,189.0,-0.0044987095
3.9,208.0,-0.004035635
2.9,247.0,0.015232973
3.2,347.0,0.020080056
3.9,158.0,0.006906612
8.3,329.0,0.011047486
1.4,148.0,-0.0075102486
2.5,198.0,-0.0028104126
3.5,135.0,0.0041815373
2.3,177.0,-0.0029517096
7.3,132.0,-0.0010304106
2.1,156.0,-0.00046124868
3.6,275.0,0.019932413
4.3,150.0,0.006551495
3.0,264.0,0.018790687
4.2,213.0,-0.004286517
3.9,364.0,0.009790376
4.3,146.0,0.0063804295
3.4,201.0,-0.011812147
5.2,154.0,0.0036431253
2.4,227.0,0.003530589
3.4,563.0,0.02097946
2.9,140.0,-0.00056586973
2.8,238.0,0.016123623
3.3,250.0,0.013044754
5.7,165.9,-0.0013541337
5.2,230.0,0.0048849294
3.2,152.0,0.00481945
2.9,143.0,-0.00038539153
6.3,154.0,0.006289074
2.8,274.0,0.018952776
2.3,203.0,-0.0040605105
7.3,163.0,0.010170564
3.3,157.2,-0.0047504464
4.4,155.2071429,6.898539e-05
4.6,210.0,-0.0037041113
7.2,135.0,0.013067838
8.6,118.5,-0.07030364
3.5,179.0,0.0018885508
10.3,264.0,0.047109146
2.1,261.0,0.032792103
3.5,123.0,0.0050613256
3.3,148.0,0.003961036
5.0,229.0,0.0059607066
2.6,168.9,-0.003632884
5.3,164.8,-0.0004262617
1.9,211.0,0.0073136184
5.2,226.0,0.000288715
3.9,149.6,-0.0011406764
3.2,210.0,-0.005621849
4.1,136.0,0.0032566935
5.5,150.0,0.007408007
5.8,175.0,-0.008700699
2.7,119.4,-0.0035950914
2.8,139.0,-0.0012039486
2.8,208.0,-0.0011304328
3.6,155.6571429,-0.006108127
2.1,146.0,-0.013930705
20.0,283.0,-0.07636469
4.0,255.0,0.0025517344
2.3,170.0,-0.0029397868
2.5,149.2,0.0029189736
2.2,112.0,-0.003719301
2.9,178.3,-0.0052176923
2.2,149.0,-0.011173591
3.9,165.0,0.0061199255
1.6,150.0,-0.008537532
2.8,156.5,-0.0023201585
3.8,135.0,0.0040901555
3.2,178.0,0.0019885637
2.6,212.0,-0.0026040813
4.21,159.0,0.003221958
3.2,347.0,0.016626872
2.9,304.0,0.011500426
1.9,152.3,-0.008965589
2.3,145.0,-0.0061629117
7.6,157.0,-0.014374829
9.2,172.0,-0.0062844437
6.8,214.5,-0.018351648
3.8,106.0,0.006858213
8.5,146.0,-0.014960593
5.8,136.0,0.0016606748
2.8,219.0,-0.0013621848
5.2,215.0,-0.01087831
3.6,135.2,0.0015832856
4.9,291.0,-0.0142772645
1.9,235.0,0.025555033
2.6,131.2,-0.0039891563
4.3,365.0,-0.009222727
4.2,184.0,0.0018007709
4.3,215.0,-0.0030439491
4.5,269.0,-0.008505292
3.6,272.0,0.019177742
2.2,289.0,0.03345836
4.6,190.0,-0.002596899
6.0,158.0,-0.0014532376
2.7,171.2,-0.002143135
4.1,167.0,0.0019576978
6.7,177.0,-0.0075231697
4.5,598.5,-0.008534566
2.7,246.0,0.01622324
3.4,189.0,-0.003822646
3.6,210.0,-0.005684887
7.6,153.0,-0.026040863
1.9,247.0,0.025885826
2.4,162.0,0.00085657474
6.6,352.0,-0.026047878
3.9,168.0,0.0037496854
6.2,154.0,0.005007716
2.3,247.0,0.026437713
2.8,228.0,-0.0010009934
2.6,113.0,0.0035432233
1.9,152.0,0.0010386296
5.3,275.0,-0.005186755
3.3,258.0,0.020033343
3.2,260.0,0.020227158
4.8,251.0,-0.0078001656
2.9,205.0,-0.0006869824
1.9,257.2,0.16358995
3.2,247.0,0.012835607
1.1,278.0,0.028415842
4.6,180.0,0.0042330856
5.2,544.0,-0.0049590617
4.6,460.0,-0.009455819
5.63,137.0,-0.003356276
2.3,142.0,-0.00985729
2.4,192.0,-0.005176658
8.6,146.0,-0.07063487
5.35,153.0,0.0015651663
2.3,139.0,-0.014244039
7.72,156.0,-0.012607817
4.2,195.0,-0.005142818
2.2,121.3,-0.012610063
2.7,325.0,0.021367725
4.5,338.0,-0.009222727
3.1,213.0,-0.004053746
2.8,182.0,-0.00070805475
2.5,131.2,-0.004220428
4.3,239.0,-0.007890563
5.3,187.0,-0.0029807573
3.6,190.0,-0.003136326
3.3,247.0,0.012792569
6.7,177.0,0.01235885
1.5,159.0,-0.001206331
5.4,135.2,0.00046594813
2.0,240.0,0.025513334
5.2,240.0,-0.003501378
7.31,135.0,0.011961181
2.3,289.0,0.031665154
2.9,155.0,-0.002574314
4.1,201.8,0.005755267
4.1,287.0,0.008412231
3.8,250.0,0.012796797
2.7,185.0,0.0046236743
2.3,195.0,-0.006346626
1.7,161.0,0.0017338656
22.3,120.0,0.10447283
2.7,192.0,-0.0016483259
4.6,234.0,-0.007879619
4.6,155.8,0.0011820745
2.1,233.0,0.025718153
4.2,161.7,-0.0017754994
3.2,154.3071429,-0.00033909746
2.9,264.0,0.020610146
6.2,152.0,-0.0031371694
5.5,156.3,-0.003912773
5.08,135.0,0.0022345595
2.6,184.0,0.004295813
6.9,282.0,-0.03330602
4.5,173.0,0.004681917
7.6,147.0,-0.06919061
10.6,150.0,0.0011537736
6.5,211.0,0.0071431384
2.2,433.0,0.032943003
3.3,143.5,-0.002310831
3.6,251.0,0.013147447
3.5,153.0,0.006019702
4.5,466.0,-0.011214849
8.9,169.2,-0.005636758
4.2,422.0,0.008549858
15.2,91.0,0.035597466
4.1,152.0,0.0013597342
6.2,165.3,-0.0007574642
2.6,184.0,0.0042918697
3.9,505.0,0.008500759
2.7,116.6,-0.0042514205
3.2,150.0,0.00033553224
3.5,163.0,0.0055704433
4.1,260.0,0.008633874
5.6,264.0,0.0018218495
3.7,187.0,0.0008159615
7.4,387.0,-0.006359618
6.3,149.0,0.0031326786
1.6,157.0,-0.0012071766
3.1,163.8,-0.0014041245
5.99,228.0,-0.0017702319
8.3,145.0,-0.05841786
3.2,236.0,0.013548639
3.3,200.0,-0.0056785634
4.5,454.0,-0.009642947
6.4,186.0,-0.009542635
4.2,158.0,0.0052364804
5.0,179.0,-0.002733333
4.4,260.0,-0.008366536
3.0,288.0,0.019525658
3.0,225.0,-0.0042150905
3.1,351.0,0.017949093
1.7,178.0,-0.002979122
3.1,153.6321429,-0.0041140653
4.2,163.0,0.0067303153
4.6,185.0,0.0027671605
7.2,144.0,0.010644693
3.3,142.4,0.0041645095
5.6,163.5,-0.0073539303
2.9,180.0,0.00067529455
2.7,113.0,0.00147158
6.1,268.0,-0.018720843
8.4,421.0,0.020623874
3.5,215.0,-0.0041595567
4.5,136.3,0.0016723052
3.1,154.5321429,0.0005396473
2.3,175.0,-0.0045017917
2.3,195.0,-0.006029753
8.9,153.0,-0.0061399546
7.3,186.0,-0.008507181
5.4,179.0,-0.0043906625
2.6,175.0,0.0003739614
2.9,208.0,-0.0009412067
4.2,215.0,-0.0036567063
4.2,177.0,0.0034617037
4.2,175.0,0.0037226612
7.1,284.0,-0.17090267
6.8,171.0,0.014683039
5.02,164.0,0.00072141364
4.2,374.0,0.010930434
1.9,215.0,0.008409373
3.2,316.0,0.020860821
5.1,184.0,-0.0061004013
2.5,186.0,0.004349078
3.0,239.0,0.014380125
3.1,265.0,0.020286266
4.2,172.0,0.0008380427
2.6,224.0,-0.0013621096
5.34,132.0,0.0026445165
4.0,260.0,0.009641707
2.8,256.0,0.015814029
3.9,154.5,-0.0016802121
3.5,195.6,-0.004899012
5.8,135.6,0.0021408312
3.1,253.2,0.1055284
2.2,187.0,0.001642813
5.8,316.0,-0.0070914105
1.9,305.0,0.031559203
4.2,185.2,-0.00233949
3.8,102.0,0.008746276
2.7,280.0,0.020533156
3.8,180.0,0.0032274267
3.0,296.0,0.01813998
9.8,169.0,0.017062133
4.3,174.3,0.00016412791
8.1,336.0,0.012486808
3.1,194.0,-0.0039211884
2.5,109.1,-0.0013715178
5.1,347.0,0.006049618
4.2,145.0,0.0057767984
4.51,166.0,0.0037170583
3.1,287.0,0.021294698
3.5,172.0,-0.006240288
7.2,278.0,-0.015768778
3.3,303.0,0.018641118
2.5,215.0,-0.0013590977
2.2,165.0,-0.002116643
2.6,150.2,-0.007968791
2.5,204.0,0.00062412955
11.5,229.0,-0.0075466707
3.9,146.0,0.007143166
2.8,261.0,0.023047877
3.5,202.0,-0.003241932
4.4,231.0,0.001761185
3.4,123.8,0.0036505982
2.9,328.0,0.02062641
6.3,378.0,-0.08522034
5.1,129.0,0.007613506
3.4,155.8,-0.0006267867
2.6,156.3,-0.0038223565
3.2,113.0,0.007773235
