P_raw,DO_raw,interaction_shap_value
22.7,7.53,0.005883001
59.7,6.0,-0.0021887468
59.5,5.7,-0.0056727673
58.9,6.5,-0.0027695792
59.5,5.2,-0.0057986956
17.2,1.5,-0.0038423575
19.2,9.36,0.005436167
20.1,5.3,0.0061738594
15.9,7.2,0.0031340485
41.8,10.74,-0.0034828335
35.4,11.37,-0.0019575506
57.6,7.1,0.0006859582
15.3,8.3,0.002328029
49.4,7.8,-0.0045730677
20.6,7.6,0.0032126065
17.5,10.64,0.009347446
21.6,5.21,0.009177467
49.5,6.2,-0.003907617
63.1,8.0,0.014848907
29.3,8.99,0.002176512
20.8,8.29,0.0037098988
55.0,2.6,0.0038412586
14.4,10.2,0.006999485
49.6,6.6,-0.0035906918
19.6,9.2,0.0050089955
12.8,3.4,-0.0032101795
41.7,10.99,-0.006709054
49.4,5.1,0.00053972844
36.5,9.76,-0.0027544945
58.9,6.6,-0.0031498922
19.4,9.4,0.0019524395
19.3,2.6,-0.002442008
21.0,6.5,0.0059637334
68.0,8.2,0.016008085
50.4,0.2,0.0037025288
16.6,3.1,-0.005170252
20.5,7.7,0.0037282296
60.2,1.4,-0.011732265
16.5,3.9,-0.0023816042
49.1,4.9,0.0026452248
59.3,2.1,-0.005245615
18.1,8.8,0.00276093
18.1,4.5,-0.0019897604
16.6,4.4,-0.0029986463
49.5,6.4,-0.0040001534
59.4,3.7,0.003290441
49.6,1.6,0.001429229
20.2,1.8,-0.004557848
25.5,8.99,0.003896851
49.0,4.9,0.002533184
17.3,8.47,0.0020269388
14.8,9.2,0.008338615
18.4,8.4,0.0029083882
51.4,1.0,0.0020074248
19.8,9.92,0.0048583224
18.5,7.8,0.0028869212
19.0,9.28,0.0053212717
60.2,4.5,-0.005298146
19.2,9.24,0.0054522976
17.9,0.4,-0.003866665
39.2,8.5,0.0042138714
29.9,4.5,-0.0021638973
66.4,7.7,0.01050293
60.3,5.7,0.00030706218
17.4,10.6,0.012933083
23.2,12.8,-0.012335457
18.1,6.3,0.0040570963
17.8,2.6,-0.004636325
58.6,6.2,-0.0018438371
15.5,8.74,-0.0005590748
16.4,9.9,0.007558994
38.9,8.4,0.004213872
59.7,5.0,-0.002348083
19.3,4.53,-0.0010278868
58.6,4.5,0.0016861513
61.5,5.4,-0.0061774813
59.3,7.3,0.008326352
58.6,6.2,-0.0023047095
35.3,2.5,-0.002348505
18.4,4.97,0.00010235142
27.6,6.4,0.009064956
61.4,4.4,-0.0051122224
49.4,3.1,0.0026307292
58.7,2.2,-0.0017450526
17.2,10.5,0.009020917
21.8,7.99,0.0065189656
59.8,6.8,0.006838789
38.4,9.3,-0.0007978156
18.1,9.45,0.0048583224
59.1,5.1,-0.0055507245
16.1,9.42,0.0075921416
59.5,5.4,-0.001358699
59.4,2.1,0.0003110636
49.2,5.6,-0.0005562529
19.1,6.7,0.0040570917
28.7,11.71,-0.0020839944
56.9,2.7,0.0029817
49.4,5.7,-0.0034291707
49.2,6.5,-0.005217809
16.3,8.99,-0.0004479438
51.4,1.5,0.0025678724
51.4,5.4,-0.0007394813
28.0,10.72,-0.0030345917
23.1,5.3,0.026966708
16.6,3.5,-0.005333933
59.6,5.7,-0.002188746
59.1,6.3,-0.00011752825
35.4,9.04,0.0021692663
49.5,7.4,-0.005664753
54.1,3.0,0.0027333908
16.9,11.2,0.013727196
14.1,7.9,0.0022230893
30.6,0.9,-0.019960716
24.2,3.8,-6.757118e-05
59.5,6.4,-0.0018721689
16.1,8.2,0.002168227
15.9,10.28,0.0046544075
49.1,3.1,0.0038365722
58.9,1.7,0.00031106174
38.4,6.08,0.0074561145
49.3,6.3,-0.0045192093
60.3,2.1,-0.005331984
23.2,7.5,0.023435388
22.2,7.0,0.0075090844
25.4,11.67,-0.0052676573
41.0,5.2,0.036572464
58.8,6.1,0.00059135444
49.6,7.4,-0.0056208856
61.0,4.8,-0.004065613
59.5,6.7,-0.0018263869
63.6,4.1,5.010888e-05
49.5,7.5,-0.0060786996
60.1,2.6,-0.003882479
42.4,11.21,-0.009855829
39.2,9.2,-0.0008050576
58.7,3.0,-0.00033556484
21.1,1.9,-0.0009233393
19.0,1.7,-0.004410386
49.6,4.3,0.0025617077
18.5,7.2,0.0046358285
59.7,1.7,-0.0020497553
59.7,3.1,0.0027472475
49.3,4.5,0.002290014
59.5,5.9,-0.00047241803
56.5,3.6,0.0031235665
48.9,5.5,0.03181739
20.1,5.0,-0.001595214
60.6,5.0,-0.0053973086
58.7,2.2,0.0016372576
62.3,5.0,-0.0052358108
16.8,8.5,0.0017691711
49.1,3.2,0.0037216805
20.7,4.05,-0.0030478556
21.0,6.6,0.006684996
37.0,12.03,-0.009101994
16.6,1.12,-0.0025362
16.3,4.2,-0.0049541704
41.2,9.31,-0.0008167811
16.8,7.93,0.002214767
59.9,1.9,-0.0029669553
49.6,5.9,-0.002543224
17.1,8.7,0.0018399572
60.0,1.3,-0.002407331
22.7,3.89,0.00042800047
34.8,8.48,0.0052211825
69.1,6.5,0.004788423
17.0,5.9,0.0066380636
59.4,3.8,0.0011421777
61.6,6.8,0.0126693
60.7,2.4,-0.0016898215
18.7,6.2,0.0029296186
20.3,7.7,0.0032171477
57.3,1.7,0.0028389841
27.2,10.7,-0.0020767413
15.8,7.66,0.0018868428
60.3,3.7,-0.004888301
59.1,5.8,0.0005560005
16.6,1.81,-0.0033844635
19.8,9.22,0.004728336
16.6,8.1,0.0018261895
19.9,10.75,0.009209074
65.3,6.7,0.004724743
49.4,5.9,-0.0026506223
17.4,3.1,-0.0038290732
59.8,5.0,-0.0025174543
18.2,5.2,0.00812028
19.4,7.3,0.0026595313
18.0,9.01,-0.00082619116
40.4,1.6,-0.004745353
61.0,3.6,-0.0031216769
33.1,11.81,-0.0006615147
58.3,5.0,0.0020429268
49.2,5.1,-0.0012594052
60.0,2.1,-0.002945153
67.2,0.4,-0.01245182
35.1,12.18,-0.009102002
49.6,5.0,0.0023235686
15.3,0.5,-0.004047647
20.6,3.39,-0.0030478574
38.1,5.6,0.008373169
33.7,7.35,0.0050323512
49.1,5.5,-0.0018424317
20.2,6.4,0.004785601
61.0,4.4,-0.0049823606
18.2,7.6,0.0030809734
15.9,4.4,-0.002209736
57.9,7.1,-0.004481432
15.6,10.3,0.0075153336
56.7,5.9,-0.003703842
17.9,6.2,0.0032426286
58.9,2.0,-0.005212713
54.0,1.4,0.0024056584
21.1,9.03,0.0071678627
49.6,7.0,-0.0043555982
54.1,3.0,0.0029525384
17.9,7.8,0.003063826
22.6,6.4,0.0075090863
18.9,7.54,0.0034003016
18.1,8.65,0.002025174
16.4,10.7,0.012835182
60.3,0.0,-0.012912519
15.6,10.5,0.015141271
16.9,1.18,-0.0030360632
49.2,4.3,0.0014113784
19.3,9.5,0.0077452734
49.4,6.2,-0.0058485456
49.2,3.8,0.003681263
62.4,0.6,-0.016953096
59.5,5.0,0.0017582132
59.6,5.9,-0.0084638465
59.6,2.1,-0.0031143203
17.9,10.5,0.00958474
17.5,3.8,-0.003363762
58.9,6.0,-0.00043366384
59.0,5.1,0.00016004127
60.1,0.0,-0.012237081
23.2,7.7,0.006044468
58.9,2.4,2.1142885e-05
49.1,2.1,0.0039535426
17.6,8.88,0.0013263933
59.8,6.0,-0.0048173754
19.2,8.85,-0.0023421268
49.6,3.8,-0.0015704855
21.9,7.49,0.005787302
59.5,0.1,-0.005484931
58.2,9.2,-0.0070240274
52.5,4.5,0.0026286882
15.4,7.3,-0.0016685091
21.9,6.17,0.009084166
49.1,1.5,0.00492914
59.1,2.4,0.0030869506
60.1,5.1,-0.005275026
61.0,4.7,-0.0052516274
16.5,0.0,0.004689619
16.9,2.2,-0.002798058
17.1,9.05,0.0026263297
61.0,4.3,-0.004768366
16.9,10.5,0.011421099
49.6,5.9,-0.0029571727
57.6,7.6,-0.0042717066
59.6,2.1,-0.0029810173
24.0,9.24,-0.0019699521
17.1,4.9,-0.0013898741
19.2,7.24,0.004933064
17.9,10.35,0.0036087036
18.2,8.0,0.0036812052
21.2,6.5,0.008064514
17.2,4.2,-0.0026563108
20.9,8.9,0.0020204969
20.8,7.3,0.0036135335
19.5,1.1,-0.0036691725
15.6,10.6,0.015125155
49.1,5.7,-0.0023538806
58.7,4.2,0.0010692142
16.4,7.7,0.002214769
41.0,5.3,0.016399305
56.8,1.5,0.004174635
57.3,4.6,0.0013221795
19.8,10.03,0.004807424
61.6,6.0,0.0069182515
27.0,8.7,0.0056056026
13.7,8.66,-0.0016201315
22.7,6.0,0.008268682
49.0,2.8,0.0039495453
49.1,4.8,0.0032649946
43.6,11.92,6.86273e-05
42.0,11.09,-0.006622359
53.3,3.3,0.0066147745
59.4,5.5,0.002447037
17.4,9.86,0.0023993626
33.7,11.43,-0.001957558
10.1,10.11,0.009969879
17.5,4.0,-0.001839919
16.3,7.8,0.0026673228
19.6,7.7,0.0033868905
61.1,5.6,-0.006291922
59.2,2.4,0.001210507
53.6,0.6,0.0012753606
24.1,6.4,0.009064963
19.9,10.5,0.010315388
18.9,9.4,0.004876673
15.3,9.5,0.006792821
16.8,7.17,0.0026238384
21.4,10.56,-0.0087352395
19.3,8.3,0.0032673348
63.3,2.6,-0.0029280502
17.5,9.2,0.0017834231
55.3,4.5,0.0013254331
19.0,9.6,0.0053008124
16.3,9.5,0.016000167
48.9,6.3,0.029690169
49.1,3.8,0.0045459494
49.2,3.7,0.0030309483
49.4,7.2,-0.0040900623
15.6,4.0,-0.0046044774
21.2,7.6,0.0059694797
16.4,2.5,-0.0062405653
51.4,4.4,0.0021942686
59.1,2.6,-0.0042679235
68.4,8.2,0.016727285
19.3,6.1,0.0063305367
20.3,7.6,0.0019784681
59.3,0.0,0.00026854873
53.6,5.0,0.0020453678
15.7,8.82,-0.00055907667
17.5,6.8,0.0042896597
49.5,7.4,-0.0057244617
20.0,3.3,-0.003785152
59.9,8.5,0.010390379
57.3,2.4,0.0013165157
16.6,2.5,-0.0055364445
49.0,5.9,-0.0026430339
16.6,2.2,0.0043271556
18.8,1.3,-0.0036691763
17.6,11.8,0.012818206
23.7,11.72,-0.0019575506
49.6,4.5,0.0023227138
26.0,10.9,-0.00209447
60.0,0.7,-0.007828889
60.7,3.1,-0.002922155
59.1,6.7,-0.0006815698
28.8,9.71,0.000593774
20.2,1.96,-0.0023884475
49.4,3.1,0.0027323272
21.3,1.7,-0.001019042
61.9,5.4,-0.0068718707
60.3,2.5,-0.005389735
49.4,3.8,0.003281393
49.5,7.7,-0.00568375
58.8,2.4,0.0016952716
17.8,7.6,0.0030638203
52.5,3.4,0.0046220906
59.1,3.6,0.0021387003
49.4,5.3,-0.0018451437
59.4,5.1,-0.0032791847
20.5,10.19,0.004303187
18.2,8.3,0.00276093
58.3,6.6,-0.003155969
18.4,9.91,0.004342422
20.2,1.4,-0.0036691725
26.2,9.87,-0.00056201965
16.5,2.8,-0.0066406354
18.2,5.8,0.006873696
59.9,3.2,-0.0014152154
16.6,8.31,0.001769172
57.8,6.2,-0.0016040802
18.6,7.3,0.003024417
31.2,10.44,-0.004086554
60.0,4.7,-0.001355472
22.4,4.1,-0.004639432
60.1,5.6,-0.008008241
56.8,2.3,0.0012493804
16.0,4.9,-0.0034145622
17.0,7.7,0.002150178
19.2,7.0,0.0046358276
18.7,6.7,0.0029960424
59.2,0.1,0.0008317083
59.2,1.5,-0.0046859793
60.1,4.7,-0.0066316808
15.6,10.2,0.007177368
16.3,8.1,0.0020378232
14.2,9.3,0.006495267
16.6,7.6,0.0020415448
58.9,2.3,2.1142885e-05
49.6,7.2,-0.0039344598
37.1,9.49,-0.0062752217
15.7,1.9,-0.0054162256
16.0,7.6,0.0017098952
38.0,6.2,0.007604695
49.2,5.0,0.0011805929
58.5,3.2,0.0010329112
59.6,2.8,-0.0012981961
49.0,5.0,0.0021827165
49.6,7.7,-0.0056293923
19.2,6.0,0.0062014777
33.5,6.3,0.0089183245
60.1,3.8,-0.002414396
22.4,2.9,-0.00028652884
17.2,2.6,-0.0048512463
48.9,6.3,0.02131696
20.5,2.04,-0.0023375675
49.4,7.0,-0.0038632667
16.8,7.4,0.0017071925
19.2,8.2,0.0027040727
24.8,3.5,0.0022149272
21.8,1.61,-0.0017771497
59.4,6.1,0.0013105492
16.2,10.5,0.018214494
41.9,10.95,-0.006622359
59.5,5.6,-0.0031272853
49.4,6.3,-0.005531339
20.7,5.2,0.0067294426
54.2,2.5,0.003376633
60.3,6.3,0.014556006
49.4,4.2,0.0026616203
49.3,4.7,0.0020685848
30.6,4.8,0.001948094
18.4,7.17,0.004137296
19.9,7.85,0.0034002997
57.5,7.3,-0.0033117794
60.5,3.0,-0.0029398948
18.3,8.38,0.0034253336
49.5,7.7,-0.00568375
33.1,6.8,0.0075974455
48.9,6.1,0.035807196
16.8,10.8,0.015030562
18.0,9.3,0.007899985
20.1,12.71,0.008334808
36.3,4.9,0.0013360428
57.8,6.5,-0.0019075228
19.3,5.7,0.0063255606
63.4,6.9,0.004563513
63.5,7.9,0.016562117
16.7,4.8,-0.0013827905
58.8,6.3,-0.0008437466
17.8,10.5,0.012818199
49.4,3.2,0.0033489615
48.9,3.0,-0.023401896
62.8,2.5,-0.0007329248
59.3,2.9,0.0011068573
57.3,3.5,0.0035866462
61.4,4.8,-0.0048877373
53.9,1.4,0.0018946826
53.6,4.3,3.6895275e-05
16.9,10.3,0.006232284
49.6,7.9,-0.005664747
22.4,3.8,-0.014541894
17.1,3.0,-0.004661819
18.2,8.81,0.0020251712
49.1,3.6,0.0034165531
21.8,9.02,0.0020826943
17.4,11.5,0.012291573
18.8,1.0,-0.0036287718
59.6,4.9,-0.0025096172
18.0,8.96,-0.00086984783
60.1,4.6,-0.0052296906
17.8,5.5,0.006406421
18.6,8.2,0.0024330001
17.4,7.6,0.0020596348
17.5,6.3,0.0049330685
59.7,4.3,-0.0031219516
20.9,6.7,0.0046591163
59.9,6.8,0.00624338
61.9,4.5,-0.0043367036
16.7,6.7,0.0020900024
19.7,9.57,0.0024186969
19.1,8.95,-0.0005766973
17.3,8.9,-0.0019111801
49.4,4.2,0.003198158
19.2,9.17,0.0017534718
38.5,6.8,0.0112740835
64.1,7.6,0.0075550377
17.8,1.4,-0.010731518
49.6,3.3,0.002035059
49.4,8.1,-0.0071325228
63.0,6.7,0.0043498054
45.5,0.9,-0.015862085
59.5,4.4,-0.00041941553
16.3,0.2,-0.004809115
16.7,3.77,-0.0039449446
49.6,4.1,0.0036558248
18.2,9.14,0.00019168481
14.9,10.2,0.010588549
55.9,1.9,0.0014868081
17.9,5.5,0.0073029418
56.7,1.3,0.0040789247
37.9,3.7,0.0005541928
56.8,4.3,0.0017328747
49.6,6.5,-0.0035748705
26.0,10.48,-0.0040865615
59.4,6.3,-0.007853819
19.2,8.2,0.0027609244
59.8,3.6,-0.0001805285
49.1,5.3,0.00029805442
17.5,6.5,0.001467145
18.9,9.0,0.002404023
17.0,2.4,-0.0027943533
21.1,4.87,0.0015205685
49.6,5.3,-0.0022401568
55.9,5.3,-0.0029946943
21.3,1.9,-0.0001948215
58.7,4.7,3.7129736e-05
49.0,5.9,-0.001273267
24.3,7.9,0.006721163
58.7,2.9,0.0017177388
17.7,8.2,0.0027609318
59.1,3.8,0.0021387003
22.6,8.94,0.0026440434
59.8,4.8,-0.0028543342
49.0,1.5,0.004493594
49.4,5.5,-0.003298303
49.2,5.0,0.0014266875
61.6,3.8,-0.003741446
20.8,2.3,-0.0058446415
54.1,0.8,0.003449291
18.0,3.5,-0.002869485
55.3,3.3,0.003697183
33.8,3.9,0.00015904196
17.7,7.17,0.004465224
40.0,8.7,0.004242198
18.7,7.9,0.0030638222
20.4,5.19,0.0065671876
59.8,4.5,-0.0025666053
59.6,4.1,-0.0014445744
61.0,3.7,-0.0037414497
49.1,3.8,0.016076878
34.1,10.57,-0.003990248
17.9,2.6,-0.0036458392
15.4,4.73,-0.0024053399
49.0,6.8,-0.0024055764
