主特征,交互特征,MeanAbsInteraction
NH3NO,NH3NO,0.6637356877326965
NH3NO,NH3N2i,0.010982273146510124
NH3NO,DO,0.009316367097198963
NH3NO,P,0.01271101925522089
NH3N2i,NH3NO,0.010982268489897251
NH3N2i,NH3N2i,0.08863811194896698
NH3N2i,DO,0.005029570311307907
NH3N2i,P,0.0057283611968159676
DO,NH3NO,0.009316363371908665
DO,NH3N2i,0.005029570311307907
DO,DO,0.05917896330356598
DO,P,0.0048597147688269615
P,NH3NO,0.01271102949976921
P,NH3N2i,0.00572836073115468
P,DO,0.0048597161658108234
P,P,0.12568850815296173
