COD2i_raw,DO_raw,interaction_shap_value
451.0,7.53,0.3993169
391.0,6.0,0.02404362
2219.0,5.7,-0.9738548
451.0,6.5,0.12516463
782.0,5.2,0.35973424
1224.0,1.5,0.037214756
630.0,9.36,0.2732849
536.0,5.3,0.29321706
456.0,7.2,0.3319317
484.0,10.74,-0.5913744
456.0,11.37,-0.6759534
624.0,7.1,0.2721225
295.0,8.3,0.24977571
1801.0,7.8,-0.74576074
480.0,7.6,0.3218403
350.0,10.64,-0.23146439
505.0,5.21,0.32118225
2585.0,6.2,-0.60066766
382.0,8.0,-0.0067873
302.0,8.99,0.28201967
586.0,8.29,0.4112035
1572.0,2.6,0.86106795
420.0,10.2,-0.43682384
1881.0,6.6,-0.47306743
370.0,9.2,0.2205491
260.0,3.4,0.18345499
436.0,10.99,-0.59672976
3017.0,5.1,-0.55251205
477.0,9.76,-0.5063158
210.0,6.6,0.10674161
498.0,9.4,0.14793909
425.0,2.6,-0.0957253
505.0,6.5,0.2298615
356.0,8.2,-0.013085961
1684.0,0.2,0.9697546
1422.0,3.1,-0.45574942
320.0,7.7,0.37149674
1420.0,1.4,-0.6116755
433.0,3.9,0.12175441
2103.0,4.9,-0.28622997
328.0,2.1,-0.33365315
560.0,8.8,0.33826315
392.0,4.5,0.17439729
949.0,4.4,0.33658653
1681.4,6.4,-0.57385343
269.0,3.7,0.087629676
2325.0,1.6,1.1852679
1361.0,1.8,0.12178111
1070.0,8.99,0.459293
1755.0,4.9,-0.46693912
492.0,8.47,0.3605175
268.0,9.2,0.22970003
494.0,8.4,0.3079909
2130.0,1.0,1.0299473
477.0,9.92,-0.26204348
385.0,7.8,0.2777781
952.0,9.28,-0.14981288
1897.0,4.5,-0.40477347
1120.0,9.24,-0.15516937
1352.0,0.4,0.037214875
325.0,8.5,0.33956635
1456.0,4.5,-0.49916118
407.0,7.7,-0.05461216
2684.0,5.7,-0.6779419
484.0,10.6,-0.57716274
426.0,12.8,-0.4971063
469.0,6.3,0.22104275
1341.0,2.6,0.09365797
299.0,6.2,0.14678213
468.0,8.74,0.27844965
344.0,9.9,-0.41815186
325.0,8.4,0.3395667
687.0,5.0,0.33900034
462.0,4.53,0.29408705
333.0,4.5,0.15948445
450.0,5.4,0.23874998
394.0,7.3,0.090281785
287.0,6.2,0.15213871
405.0,2.5,-0.14775783
524.0,4.97,0.32951468
1524.0,6.4,-0.5404222
1256.0,4.4,0.19331884
1898.0,3.1,-0.1916056
1654.0,2.2,0.28366637
541.0,10.5,-0.80170155
642.0,7.99,0.4237529
301.0,6.8,-0.09041953
473.0,9.3,0.16828728
450.0,9.45,0.24253303
456.1,5.1,0.23039848
420.0,9.42,0.22969991
726.0,5.4,0.21531805
1422.0,2.1,-0.5144522
1908.0,5.6,-0.6358763
513.0,6.7,0.338691
510.0,11.71,-0.85665846
1799.0,2.7,0.69143367
1834.0,5.7,-0.6949073
1969.0,6.5,-0.53890234
480.0,8.99,0.28580022
1852.0,1.5,1.2463621
3575.0,5.4,-0.97004294
360.0,10.72,-0.21935749
694.0,5.3,0.3514145
652.0,3.5,0.16631472
355.0,5.7,0.29119015
316.0,6.3,0.081659615
263.0,9.04,0.2820198
3022.0,7.4,-1.21228
2054.0,3.0,-0.02633208
280.0,11.2,-0.43682456
306.0,7.9,0.2724216
1456.0,0.9,-0.92603827
321.0,3.8,0.13195384
342.0,6.4,0.069234475
360.0,8.2,0.26227015
477.0,10.28,-0.32231998
2714.0,3.1,0.46493155
1370.0,1.7,-0.3458438
453.0,6.08,0.20925683
1867.0,6.3,-0.5297006
1495.0,2.1,-0.26175576
635.0,7.5,0.41529572
433.0,7.0,0.41153312
485.0,11.67,-1.0278182
2951.0,5.2,-0.6319375
288.0,6.1,0.020050168
2665.0,7.4,-0.3201542
1502.0,4.8,-0.42508286
271.0,6.7,0.1843823
320.0,4.1,0.17534769
3125.0,7.5,-1.2199831
251.0,2.6,-0.073522806
1100.0,11.21,-0.99028635
402.0,9.2,0.1812219
1432.0,3.0,-0.32138196
1421.0,1.9,-0.66655827
1367.0,1.7,0.10413718
2985.0,4.3,-0.37389672
543.0,7.2,0.41298282
1464.0,1.7,-0.67123353
389.0,3.1,0.13972968
3347.0,4.5,-0.41537806
321.0,5.9,0.013104081
1651.0,3.6,-0.36043188
2533.0,5.5,-1.135605
396.0,5.0,0.19497633
2544.0,5.0,-0.60738635
2334.0,2.2,0.5978329
2688.0,5.0,-0.6251689
441.0,8.5,0.3605175
3742.0,3.2,0.7906303
820.0,4.05,0.22203636
458.0,6.6,0.30920738
460.0,12.03,-0.5956795
537.0,1.12,-0.32586384
463.0,4.2,0.13688552
360.0,9.31,0.2473706
501.0,7.93,0.36792648
325.0,1.9,-0.33721936
3125.0,5.9,-0.7039562
326.0,8.7,0.26227003
401.0,1.3,-0.3477273
459.0,3.89,0.31137305
395.0,8.48,0.31893218
326.0,6.5,-0.007831156
360.0,5.9,0.1815213
1981.0,3.8,-0.5733114
434.0,6.8,0.03726852
1541.0,2.4,0.02555728
494.0,6.2,0.30735815
412.0,7.7,0.38911277
1564.0,1.7,0.6952602
473.0,10.7,-0.882144
442.0,7.66,0.3846618
162.0,3.7,0.14595443
314.0,5.8,0.120173275
550.0,1.81,-0.35844743
369.0,9.22,0.21471256
560.0,8.1,0.41493404
460.0,10.75,-0.31316853
361.0,6.7,0.024412632
2651.0,5.9,-0.5734364
324.0,3.1,0.024117172
426.0,5.0,0.22015673
352.0,5.2,0.2475006
3266.0,7.3,-1.368702
800.0,9.01,0.30786818
1643.0,1.6,0.5420389
1514.0,3.6,-0.37766474
521.0,11.81,-0.85665846
311.0,5.0,0.22047037
1531.0,5.1,-0.6380564
1480.0,2.1,-0.22631848
1654.0,0.4,0.42092
380.0,12.18,-0.49174976
2953.0,5.0,-1.0428764
524.0,0.5,-0.08395386
744.0,3.39,0.22703254
436.0,5.6,0.21581116
436.0,7.35,0.3934806
2654.0,5.5,-0.9224541
455.0,6.4,0.30920726
1690.0,4.4,-0.41675413
375.0,7.6,0.27417052
541.0,4.4,0.11837864
1752.0,7.1,-0.63409543
420.0,10.3,-0.4842651
3540.0,5.9,-0.56614715
771.0,6.2,0.22235042
526.0,2.0,-0.36291903
1864.0,1.4,0.8252456
810.0,9.03,0.40695894
2003.0,7.0,-1.0906882
2098.0,3.0,0.0028906763
505.0,7.8,0.36792648
426.0,6.4,0.2133075
426.0,7.54,0.39224005
532.0,8.65,0.3977592
376.0,10.7,-0.4842651
401.0,0.0,-0.32002902
405.0,10.5,-0.32491636
562.0,1.18,-0.32586384
3002.0,4.3,-0.46277264
547.0,9.5,0.31114364
2257.0,6.2,-0.51418906
1985.0,3.8,-0.066228926
505.0,0.6,-0.09036207
342.0,5.0,0.22534011
2895.0,5.9,-0.6046469
1756.0,2.1,0.3197763
347.0,10.5,-0.3302734
395.0,3.8,0.1878559
312.0,6.0,0.15213865
346.0,5.1,0.22766167
257.0,0.0,-0.28924507
789.0,7.7,0.34584302
496.0,2.4,-0.06523448
3512.0,2.1,1.1746889
390.0,8.88,0.23881751
473.0,6.0,0.054871082
1421.0,8.85,0.039519966
2587.0,3.8,-0.58624816
543.0,7.49,0.42423272
345.0,0.1,-0.35652095
1454.0,9.2,0.5718304
2203.0,4.5,-0.5636861
326.0,7.3,0.31469047
596.0,6.17,0.33947974
2806.0,1.5,0.9427367
1397.0,2.4,-0.32330406
312.0,5.1,0.1869641
1989.0,4.7,-0.39941692
413.0,0.0,-0.46361053
457.0,2.2,-0.13013649
606.0,9.05,0.30872184
1685.0,4.3,-0.45836902
324.0,10.5,-0.4842658
3249.0,5.9,-0.8371248
1477.0,7.6,-0.46431065
398.0,2.1,-0.36367035
385.0,9.24,0.13841712
357.0,4.9,0.18933916
510.0,7.24,0.41614503
538.0,10.35,-0.29740477
336.0,8.0,0.29539406
450.0,6.5,0.30920738
390.0,4.2,0.18983424
436.0,8.9,0.30400383
485.0,7.3,0.39567822
1344.0,1.1,0.10413718
450.0,10.6,-0.57716227
1289.0,5.7,0.3165208
326.0,4.2,0.16827095
