CODo_raw,COD2i_raw,interaction_shap_value
240.0,451.0,4.1253834
164.0,391.0,6.3991156
429.0,2219.0,3.0676727
253.0,451.0,4.183817
469.0,782.0,-5.2898197
258.0,1224.0,-0.626636
160.0,630.0,3.6428852
220.0,536.0,3.2430162
174.0,456.0,2.921609
235.0,484.0,3.6640291
179.0,456.0,3.3894844
192.0,624.0,3.035327
187.0,295.0,5.5198936
575.0,1801.0,1.4533501
205.0,480.0,3.638465
138.0,350.0,5.1391144
128.0,505.0,3.5387478
619.0,2585.0,-1.0652466
215.0,382.0,7.779976
220.0,302.0,7.2736454
166.0,586.0,2.8629932
615.0,1572.0,0.3669033
79.0,420.0,4.130534
625.0,1881.0,1.2108173
222.0,370.0,5.403381
171.0,260.0,5.526263
216.0,436.0,4.004138
496.0,3017.0,1.82794
180.0,477.0,3.4115124
105.0,210.0,6.708767
249.0,498.0,3.1567578
178.0,425.0,7.212242
233.0,505.0,3.7994933
255.0,356.0,5.586525
586.0,1684.0,1.5151291
259.0,1422.0,-0.8587427
199.0,320.0,7.6552763
398.0,1420.0,-0.114816666
180.0,433.0,3.9137201
398.0,2103.0,1.1958427
243.0,328.0,7.6937313
211.0,560.0,3.7087932
212.0,392.0,7.2956734
221.0,949.0,3.0921779
617.0,1681.4,1.5933895
241.0,269.0,7.552967
592.0,2325.0,0.85655785
222.0,1361.0,-1.4112301
174.0,1070.0,-0.9179559
512.0,1755.0,-1.1067085
181.0,492.0,2.5928612
205.0,268.0,5.553334
233.0,494.0,3.8153324
533.0,2130.0,-0.96657944
140.0,477.0,3.580696
215.0,385.0,5.30313
166.0,952.0,3.072947
465.0,1897.0,0.96204185
168.0,1120.0,-0.92213917
265.0,1352.0,-1.0870576
230.0,325.0,4.082917
376.0,1456.0,3.5134125
203.0,407.0,7.4613466
462.0,2684.0,1.6809387
74.0,484.0,2.6367922
238.0,426.0,7.2289553
196.0,469.0,3.506178
247.0,1341.0,-0.6191821
275.0,299.0,7.438856
280.0,468.0,2.7552953
68.0,344.0,4.6789417
283.0,325.0,4.997096
410.0,687.0,-7.681697
162.0,462.0,3.44166
256.0,333.0,7.465618
360.0,450.0,-1.5157166
258.0,394.0,5.3307257
181.0,287.0,7.62405
251.0,405.0,5.3064938
211.0,524.0,2.5754251
254.0,1524.0,-0.8702326
389.0,1256.0,0.30809087
631.53,1898.0,0.75668526
395.0,1654.0,1.2934875
132.0,541.0,3.5090094
222.0,642.0,3.7393966
190.0,301.0,7.825794
226.0,473.0,3.760995
154.0,450.0,3.857081
482.0,456.1,-6.802231
158.0,420.0,7.3068743
295.0,726.0,2.4224339
420.0,1422.0,0.32668114
515.77,1908.0,-0.9811859
211.0,513.0,3.431944
176.0,510.0,3.4543772
588.0,1799.0,1.30546
639.0,1834.0,1.4551792
654.0,1969.0,-1.822443
223.0,480.0,2.633768
602.0,1852.0,1.8480434
494.0,3575.0,1.578165
149.0,360.0,5.140481
200.0,694.0,2.7859573
161.0,652.0,2.043427
189.0,355.0,7.5889454
172.0,316.0,7.7481527
231.0,263.0,7.0962744
588.0,3022.0,-1.9737453
534.0,2054.0,-0.7285042
75.0,280.0,4.5889235
207.0,306.0,5.5563912
576.4,1456.0,1.0821018
252.0,321.0,5.0400543
237.0,342.0,7.3474026
210.0,360.0,7.2172823
122.0,477.0,3.4914408
521.0,2714.0,-0.48488998
443.0,1370.0,-0.23350716
233.0,453.0,3.8843336
653.0,1867.0,2.0236893
402.0,1495.0,0.6684933
210.0,635.0,3.710186
198.0,433.0,3.9908366
211.0,485.0,3.3688507
467.0,2951.0,2.2733746
207.0,288.0,7.1428823
586.0,2665.0,-0.6814079
412.0,1502.0,0.35865784
244.0,271.0,7.2746563
180.0,320.0,6.9706526
602.0,3125.0,-0.3841648
220.0,251.0,7.3429327
241.0,1100.0,-0.9989748
239.0,402.0,5.126672
401.2,1432.0,0.43709755
252.0,1421.0,-1.1089907
222.0,1367.0,-1.5183148
586.0,2985.0,-2.750105
176.0,543.0,2.6679916
622.0,1464.0,0.8949547
232.0,389.0,7.5728025
558.0,3347.0,1.4280262
206.0,321.0,7.9299774
645.0,1651.0,4.4386787
514.0,2533.0,0.22015762
215.0,396.0,5.332492
474.0,2544.0,1.8676758
489.59,2334.0,2.7883682
489.0,2688.0,1.5095463
169.0,441.0,3.001217
563.0,3742.0,1.0280857
156.0,820.0,3.62466
228.0,458.0,3.311553
241.0,460.0,3.1726847
230.0,537.0,3.123362
199.0,463.0,3.039434
126.0,360.0,6.443964
203.0,501.0,2.4204426
386.0,325.0,-13.516241
580.0,3125.0,-2.3832035
221.0,326.0,6.6603146
385.0,401.0,-12.6635
231.0,459.0,3.1520152
140.0,395.0,4.989685
278.0,326.0,5.347249
160.0,360.0,5.1095324
678.0,1981.0,-0.8786526
151.0,434.0,3.150031
454.0,1541.0,1.8867722
213.0,494.0,3.8928971
232.0,412.0,7.3028345
545.0,1564.0,0.73797417
128.0,473.0,3.5381126
168.0,442.0,3.6582808
312.0,162.0,4.3538895
214.0,314.0,6.554551
245.0,550.0,3.1303024
166.0,369.0,7.3570094
200.0,560.0,3.3189316
158.0,460.0,3.7246828
230.0,361.0,5.526351
624.0,2651.0,-0.21160698
245.0,324.0,6.607832
112.0,426.0,6.5313683
183.0,352.0,5.212694
264.0,3266.0,-0.43803787
190.0,800.0,3.0961003
365.2,1643.0,6.406864
421.0,1514.0,0.37303734
185.0,521.0,3.4117365
198.0,311.0,7.571332
378.2,1531.0,2.6311302
401.0,1480.0,0.3704586
654.0,1654.0,4.2408867
255.0,380.0,7.4817724
581.0,2953.0,-3.2940655
169.0,524.0,2.8251233
163.0,744.0,3.7023373
254.0,436.0,3.9262857
230.0,436.0,3.9062996
582.0,2654.0,-1.9423923
198.0,455.0,3.8635082
474.0,1690.0,0.6954708
175.0,375.0,5.1805677
227.0,541.0,3.7694435
655.0,1752.0,3.5166168
75.0,420.0,4.19246
543.33,3540.0,-0.44424057
166.0,771.0,2.3218951
222.0,526.0,3.263814
544.0,1864.0,0.4166851
143.0,810.0,2.874957
606.0,2003.0,0.54410744
553.0,2098.0,0.15559578
222.0,505.0,3.3971615
235.0,426.0,5.177222
161.0,426.0,6.790308
199.0,532.0,2.824422
85.0,376.0,4.2651186
321.0,401.0,3.102272
82.0,405.0,4.947837
252.0,562.0,3.1616683
485.0,3002.0,1.5112743
203.0,547.0,3.228222
651.0,2257.0,-2.7308044
432.0,1985.0,2.5816631
225.0,505.0,3.855238
269.0,342.0,7.5480394
545.4,2895.0,1.4828911
420.0,1756.0,0.5496483
74.0,347.0,5.116273
205.0,395.0,5.2105393
221.0,312.0,7.415908
305.0,346.0,7.6277227
295.0,257.0,7.5396223
232.0,789.0,3.3986645
232.0,496.0,2.9493465
565.0,3512.0,1.2913055
151.0,390.0,7.222471
298.0,473.0,3.0699396
156.0,1421.0,-0.8538618
591.0,2587.0,1.0740376
248.0,543.0,3.2043943
355.0,345.0,2.430603
454.0,1454.0,0.10400009
523.0,2203.0,-1.6963844
193.0,326.0,5.608552
241.0,596.0,3.6955547
564.0,2806.0,0.15780067
447.0,1397.0,-0.47571945
221.0,312.0,5.381407
478.0,1989.0,1.2544136
167.0,413.0,7.2396894
185.0,457.0,2.9465094
260.0,606.0,2.6790462
399.0,1685.0,0.47672462
83.0,324.0,4.6790867
579.16,3249.0,-1.732584
588.0,1477.0,1.7718353
352.0,398.0,2.7418156
175.0,385.0,7.276296
152.0,357.0,5.0181236
254.0,510.0,3.1544147
127.0,538.0,3.473465
170.0,336.0,5.535941
219.0,450.0,4.2308397
199.0,390.0,5.138992
199.0,436.0,4.0068436
260.0,485.0,3.0641394
274.0,1344.0,-1.1449456
78.0,450.0,2.917057
545.0,1289.0,-0.1707604
184.0,326.0,7.7588577
198.0,495.0,2.3585148
517.15,2156.0,-1.5601215
462.0,2352.0,3.0937252
546.78,3154.0,0.63591385
129.0,340.0,5.4784613
241.0,282.0,7.6101036
246.0,722.0,3.7930942
276.0,612.0,2.7791033
219.0,582.0,3.8287172
570.0,2654.0,1.3337193
421.0,2236.0,2.5089188
175.0,476.0,3.411481
220.0,880.0,3.0630045
681.0,1700.0,3.217146
283.0,484.0,3.1592455
135.0,501.0,3.433113
186.0,501.0,3.2622137
223.0,532.0,3.6790504
165.0,312.0,7.7224436
178.0,339.0,5.4937572
156.0,325.0,5.5269117
521.0,2451.0,1.4588432
674.0,1602.0,5.0989456
398.0,1287.0,0.47410107
247.0,1471.0,-1.341795
165.0,561.0,2.6839685
135.0,523.0,3.2682533
197.0,357.0,5.1506996
182.0,475.0,2.5711164
202.0,505.0,3.6019273
191.0,389.0,7.228958
398.0,1420.0,0.36808968
135.0,459.0,3.5831566
395.0,1569.0,1.2384243
223.0,500.0,3.8338919
195.0,890.0,2.7017884
572.0,3540.0,-0.27048492
485.0,3513.0,0.94638443
574.34,3365.0,-0.8400574
635.66,2530.0,1.0828419
150.0,315.0,6.837556
203.0,394.0,5.173546
155.0,701.0,2.0836225
552.0,3658.0,0.6661625
255.0,315.0,7.729945
165.0,361.0,7.6479263
178.0,310.0,5.528282
266.0,687.0,2.9144344
251.0,460.0,3.2813168
552.0,3952.0,0.53899574
272.0,482.0,2.69139
182.0,302.0,5.497202
636.0,1426.0,3.0001793
274.0,1596.0,-0.6784649
452.0,1398.0,0.43816376
398.0,1198.0,0.48152047
210.0,385.0,7.2863317
628.0,1561.0,1.0077553
192.0,484.0,3.6660213
261.0,1220.0,-0.80399466
119.0,450.0,3.832137
180.0,456.0,3.1904192
589.0,2014.0,0.3497467
133.0,428.0,4.922636
330.0,215.0,2.775217
460.0,598.0,-6.9410467
243.0,419.0,7.4655256
142.0,489.0,3.5289745
181.0,565.0,3.6655302
399.0,3154.0,3.066368
266.0,1246.0,-1.1842217
514.0,3214.0,0.02415657
387.0,1544.0,0.7564602
424.0,2761.0,2.969242
647.0,2785.0,-2.9444256
245.0,326.0,7.675416
215.0,560.0,3.3466105
487.0,1785.0,1.9679489
213.0,255.0,7.562174
623.0,2356.0,-0.5918369
550.22,2894.0,-0.35255432
126.0,398.0,7.173542
220.0,583.0,3.8813386
115.0,310.0,6.594659
140.0,463.0,2.9929209
263.0,1326.0,-0.73198605
138.0,589.0,3.5453138
220.0,437.0,4.192021
242.0,461.0,3.2383947
402.0,287.0,-18.060667
172.0,428.0,6.8989096
154.0,378.0,6.297262
249.0,552.0,3.083066
215.0,475.0,3.7387028
641.0,1669.0,3.4823723
387.0,1565.0,1.3882504
426.0,1546.0,0.11254501
384.0,1667.0,3.1625423
234.0,361.0,7.365309
216.0,425.0,5.2626953
159.0,280.0,6.6537085
206.0,671.0,3.4092927
439.0,1433.0,-0.23350716
256.0,376.0,7.6614933
278.0,566.0,3.4702587
75.0,460.0,2.7326107
205.0,297.0,7.6482096
95.0,421.0,4.1225605
188.0,440.0,3.9486403
244.0,425.0,5.2744627
612.0,2966.0,0.07987213
211.0,450.0,3.7437963
247.0,403.0,7.4493804
189.0,387.0,7.1547966
223.0,462.0,3.872551
502.0,1598.0,-0.5778389
587.0,1528.0,1.3409767
378.0,368.0,-15.0824585
489.0,2682.0,2.4630585
544.0,2351.0,1.0255623
219.0,514.0,3.1668205
262.0,690.0,2.8294067
269.0,223.0,7.259674
246.0,1368.0,-1.0699353
232.0,1275.0,-0.63244104
515.08,1809.0,-1.1845284
170.0,511.0,3.659319
398.0,1247.0,0.43901634
257.0,385.0,5.2424116
261.0,547.0,3.0433383
251.0,685.0,3.8334012
198.0,498.0,3.7299976
182.0,326.0,7.7231636
72.0,913.0,2.67943
215.0,980.0,-1.0212345
373.0,556.0,8.292807
580.0,1631.5,1.6234474
230.0,459.0,3.1097126
655.0,1877.0,5.2562466
189.0,108.0,7.944908
387.0,3026.0,3.8682098
486.0,2915.0,0.8712044
354.0,1565.0,5.8471184
156.0,460.0,2.6205082
166.0,436.0,3.5330849
