CODo_raw,DO_raw,interaction_shap_value
240.0,7.53,-0.568564
164.0,6.0,1.1185234
429.0,5.7,-0.6374779
253.0,6.5,0.025925636
469.0,5.2,-1.970579
258.0,1.5,-0.5095626
160.0,9.36,-0.3322178
220.0,5.3,0.36062723
174.0,7.2,0.5654287
235.0,10.74,0.3257885
179.0,11.37,-3.884694
192.0,7.1,0.033550203
187.0,8.3,0.6345665
575.0,7.8,1.1650295
205.0,7.6,0.057189226
138.0,10.64,-2.2946494
128.0,5.21,1.119946
619.0,6.2,-1.472207
215.0,8.0,-0.9246167
220.0,8.99,-0.43350953
166.0,8.29,-0.47473836
615.0,2.6,-1.537428
79.0,10.2,-0.8597717
625.0,6.6,-1.5271008
222.0,9.2,-0.25843853
171.0,3.4,0.73981124
216.0,10.99,-0.30208254
496.0,5.1,-1.2488934
180.0,9.76,-1.573096
105.0,6.6,0.7438034
249.0,9.4,-1.3465692
178.0,2.6,0.6486002
233.0,6.5,-0.024040043
255.0,8.2,-1.0315037
586.0,0.2,-0.7829478
259.0,3.1,-0.22162539
199.0,7.7,-0.040899932
398.0,1.4,-0.42350966
180.0,3.9,0.64148384
398.0,4.9,-0.04780394
243.0,2.1,-0.36091936
211.0,8.8,-0.846141
212.0,4.5,0.26630473
221.0,4.4,-0.07221508
617.0,6.4,-1.4690655
241.0,3.7,-0.4027868
592.0,1.6,-0.31223
222.0,1.8,-0.34869576
174.0,8.99,0.44842446
512.0,4.9,-0.722361
181.0,8.47,-0.29288173
205.0,9.2,-0.19575533
233.0,8.4,-0.96577364
533.0,1.0,0.30433476
140.0,9.92,-0.3373984
215.0,7.8,-0.46489334
166.0,9.28,-0.15132987
465.0,4.5,-0.353235
168.0,9.24,-0.3322178
265.0,0.4,-0.50969374
230.0,8.5,-0.9754947
376.0,4.5,-0.5016761
203.0,7.7,-1.0955856
462.0,5.7,-0.7328822
74.0,10.6,-0.7241945
238.0,12.8,0.3532617
196.0,6.3,0.45314324
247.0,2.6,-0.8302166
275.0,6.2,0.165993
280.0,8.74,-0.8536343
68.0,9.9,-1.1022601
283.0,8.4,-0.53205216
410.0,5.0,-0.011771008
162.0,4.53,0.8220601
256.0,4.5,-0.30576026
360.0,5.4,0.061324894
258.0,7.3,-0.9465377
181.0,6.2,0.7876468
251.0,2.5,-0.62669796
211.0,4.97,0.5717294
254.0,6.4,0.10071693
389.0,4.4,-0.25768808
631.53,3.1,-2.0159302
395.0,2.2,-0.523757
132.0,10.5,-2.5082927
222.0,7.99,-0.4183725
190.0,6.8,0.69592834
226.0,9.3,-1.0230438
154.0,9.45,0.14101452
482.0,5.1,-1.5945001
158.0,9.42,-0.21857059
295.0,5.4,0.15908724
420.0,2.1,0.44535863
515.77,5.6,-1.5247372
211.0,6.7,0.4821471
176.0,11.71,-4.4726143
588.0,2.7,-0.46126056
639.0,5.7,-1.2737676
654.0,6.5,-0.9881154
223.0,8.99,-1.2027614
602.0,1.5,-1.0398368
494.0,5.4,-2.0688624
149.0,10.72,-2.263019
200.0,5.3,0.6029522
161.0,3.5,0.4982093
189.0,5.7,1.0426376
172.0,6.3,0.90480185
231.0,9.04,-0.9461796
588.0,7.4,5.879623
534.0,3.0,-0.17316931
75.0,11.2,-1.089755
207.0,7.9,-0.5621542
576.4,0.9,-0.22418201
252.0,3.8,-0.28638846
237.0,6.4,0.16959032
210.0,8.2,-0.06144905
122.0,10.28,-2.3669448
521.0,3.1,-1.0494514
443.0,1.7,0.15394199
233.0,6.08,-0.0015115738
653.0,6.3,-1.0412941
402.0,2.1,-0.36569095
210.0,7.5,-0.78917575
198.0,7.0,0.11137396
211.0,11.67,-2.157104
467.0,5.2,-1.0265607
207.0,6.1,0.22670007
586.0,7.4,5.7374806
412.0,4.8,-0.070762455
244.0,6.7,0.07331349
180.0,4.1,0.8501789
602.0,7.5,6.230029
220.0,2.6,-0.55597293
241.0,11.21,-0.14636898
239.0,9.2,-0.68457544
401.2,3.0,-0.11622083
252.0,1.9,-0.53359747
222.0,1.7,-0.57930255
586.0,4.3,-1.4418204
176.0,7.2,0.27689964
622.0,1.7,-1.0415144
232.0,3.1,-0.26013333
558.0,4.5,-0.81392956
206.0,5.9,0.6187568
645.0,3.6,-0.769192
514.0,5.5,-2.0919697
215.0,5.0,0.28097904
474.0,5.0,-1.1251011
489.59,2.2,0.0058567524
489.0,5.0,-1.37768
169.0,8.5,-0.3066802
563.0,3.2,-1.2040997
156.0,4.05,0.65948737
228.0,6.6,0.01030165
241.0,12.03,0.26368737
230.0,1.12,-0.80306923
199.0,4.2,0.08268505
126.0,9.31,-0.3468262
203.0,7.93,-0.87300414
386.0,1.9,-0.49317193
580.0,5.9,-1.7999792
221.0,8.7,-0.49556553
385.0,1.3,-0.54783934
231.0,3.89,-0.25094193
140.0,8.48,-0.30003214
278.0,6.5,0.037425935
160.0,5.9,0.87846404
678.0,3.8,-0.40529844
151.0,6.8,0.8818993
454.0,2.4,0.55590355
213.0,6.2,0.2553398
232.0,7.7,-0.51637167
545.0,1.7,-0.74472445
128.0,10.7,-2.6479506
168.0,7.66,-0.33894324
312.0,3.7,-0.60317683
214.0,5.8,0.12974852
245.0,1.81,-0.6131815
166.0,9.22,0.08488953
200.0,8.1,-0.63530004
158.0,10.75,-2.4291923
230.0,6.7,0.034804106
624.0,5.9,-1.4503006
245.0,3.1,-0.20820412
112.0,5.0,0.99472976
183.0,5.2,1.2133155
264.0,7.3,-1.0791829
190.0,9.01,0.38788742
365.2,1.6,-0.7925123
421.0,3.6,-0.46534657
185.0,11.81,-4.5880127
198.0,5.0,0.5895894
378.2,5.1,-0.7599349
401.0,2.1,-0.43537754
654.0,0.4,-0.9871067
255.0,12.18,0.44420505
581.0,5.0,-3.0575063
169.0,0.5,0.13707352
163.0,3.39,0.62079924
254.0,5.6,0.033947915
230.0,7.35,-0.53738916
582.0,5.5,-2.8831575
198.0,6.4,0.34192157
474.0,4.4,-0.41637084
175.0,7.6,-0.22774947
227.0,4.4,-0.23844504
655.0,7.1,3.817338
75.0,10.3,-0.6171231
543.33,5.9,-1.1204789
166.0,6.2,0.67315286
222.0,2.0,-0.33874893
544.0,1.4,0.6546786
143.0,9.03,-0.40107417
606.0,7.0,4.769546
553.0,3.0,-1.1249666
222.0,7.8,-0.8143096
235.0,6.4,0.016083598
161.0,7.54,0.09212637
199.0,8.65,-0.8377255
85.0,10.7,-0.6171231
321.0,0.0,-0.8714882
82.0,10.5,-0.9169228
252.0,1.18,-0.5775399
485.0,4.3,-0.37731618
203.0,9.5,-0.71443355
651.0,6.2,-1.0871218
432.0,3.8,-0.26170623
225.0,0.6,-0.48159277
269.0,5.0,0.049780548
545.4,5.9,-1.4850109
420.0,2.1,0.28809357
74.0,10.5,-1.4241395
205.0,3.8,0.18104208
221.0,6.0,0.22455281
305.0,5.1,0.08925849
295.0,0.0,-0.89242697
232.0,7.7,-0.42068776
232.0,2.4,-0.54142874
565.0,2.1,-0.11447251
151.0,8.88,0.23958766
298.0,6.0,0.07424903
156.0,8.85,0.398476
591.0,3.8,-1.2785442
248.0,7.49,-0.91450936
355.0,0.1,-0.6988268
454.0,9.2,-0.32395053
523.0,4.5,-0.9318409
193.0,7.3,-0.36403573
241.0,6.17,0.042227507
564.0,1.5,-1.1416826
447.0,2.4,-0.22724986
221.0,5.1,0.3828974
478.0,4.7,-0.31783652
167.0,0.0,0.12519681
185.0,2.2,0.41180944
260.0,9.05,-0.9111794
399.0,4.3,-0.113051474
83.0,10.5,-0.6644535
579.16,5.9,-1.8004842
588.0,7.6,4.680853
352.0,2.1,-0.6096362
175.0,9.24,0.10436675
152.0,4.9,0.7029314
254.0,7.24,-0.3905939
127.0,10.35,-2.5987675
170.0,8.0,0.22312951
219.0,6.5,0.1096639
199.0,4.2,0.22122133
199.0,8.9,-0.281067
260.0,7.3,-0.9217721
274.0,1.1,-0.50969374
78.0,10.6,-0.7559595
545.0,5.7,-0.79083693
184.0,4.2,0.7162276
198.0,7.7,-0.67612714
517.15,5.3,-1.4787868
462.0,1.5,0.67070496
546.78,4.6,-1.3196642
129.0,10.03,-0.51889217
241.0,6.0,-0.0012306869
246.0,8.7,-0.32641858
276.0,8.66,-0.85363424
219.0,6.0,0.18220031
570.0,2.8,-0.830662
421.0,4.8,-0.1265111
175.0,11.92,-4.5391507
220.0,11.09,-0.2598071
681.0,3.3,-0.63600314
283.0,5.5,0.11610618
135.0,9.86,-0.35145319
186.0,11.43,-3.8396964
223.0,10.11,-0.5401145
165.0,4.0,0.579566
178.0,7.8,0.42284048
156.0,7.7,0.23709619
521.0,5.6,-1.6403979
674.0,2.4,0.91282105
398.0,0.6,-0.7128775
247.0,6.4,0.114640996
165.0,10.5,-2.6921601
135.0,9.4,-0.46558958
197.0,9.5,-0.09427649
182.0,7.17,-0.3635323
202.0,10.56,-1.1716495
191.0,8.3,0.13008338
398.0,2.6,-0.46667767
135.0,9.2,-0.24839717
395.0,4.5,-0.42471611
223.0,9.6,-0.81462365
195.0,9.5,0.050053954
572.0,6.3,-0.8711532
485.0,3.8,-0.6079159
574.34,3.7,-1.2667363
635.66,7.2,4.0278482
150.0,4.0,0.66121453
203.0,7.6,-0.16465068
155.0,2.5,0.114476204
552.0,4.4,-0.9335804
255.0,2.6,-0.36243802
165.0,8.2,-0.78685653
178.0,6.1,0.93415034
266.0,7.6,-0.9465957
251.0,0.0,-0.66897917
552.0,5.0,-1.7147567
272.0,8.82,-0.8536343
182.0,6.8,1.0126108
636.0,7.4,8.559795
274.0,3.3,-0.2558658
452.0,8.5,-0.3334149
398.0,2.4,-0.7010618
210.0,2.5,-0.27548528
628.0,5.9,-2.2654605
192.0,2.2,0.23762417
261.0,1.3,-0.7319958
119.0,11.8,-3.9151125
180.0,11.72,-4.60982
589.0,4.5,-1.4387991
133.0,10.9,-2.2823873
330.0,0.7,-0.775732
460.0,3.1,-0.45599842
243.0,6.7,-0.03302148
142.0,9.71,-0.43454093
181.0,1.96,0.3368088
399.0,3.1,-0.31168032
266.0,1.7,-0.5337199
514.0,5.4,-1.566339
387.0,2.5,-0.769904
424.0,3.8,-0.10110539
647.0,7.7,5.5594873
245.0,2.4,-0.25614214
215.0,7.6,-0.8466274
487.0,3.4,-0.56425774
213.0,3.6,-0.10430896
623.0,5.3,-1.9429951
550.22,5.1,-2.0596104
126.0,10.19,0.14183354
220.0,8.3,-0.47170687
115.0,6.6,0.7444979
140.0,9.91,-0.2294941
263.0,1.4,-0.50969374
138.0,9.87,-0.39180553
220.0,2.8,-0.09168208
242.0,5.8,0.14937574
402.0,3.2,-0.32974792
172.0,8.31,-0.5600399
154.0,6.2,0.67699367
249.0,7.3,-0.9826653
215.0,10.44,-0.24810314
641.0,4.7,-0.6272826
387.0,4.1,-0.44870123
426.0,5.6,-0.6730166
384.0,2.3,-0.5080117
234.0,4.9,-0.23688146
216.0,7.7,-0.25503597
159.0,7.0,0.4279142
206.0,6.7,0.41695827
439.0,0.1,0.15394199
256.0,1.5,-0.6785103
278.0,4.7,-0.5373388
75.0,10.2,-0.9120703
205.0,8.1,-0.13334888
95.0,9.3,-0.12533963
188.0,7.6,-0.30134666
244.0,2.3,-0.5453677
612.0,7.2,6.92516
211.0,9.49,-0.955451
247.0,1.9,-0.56881344
189.0,7.6,0.20259017
223.0,6.2,0.1570893
502.0,5.0,-2.031689
587.0,3.2,-1.2398654
378.0,2.8,-0.15311766
489.0,5.0,-1.2350103
544.0,7.7,3.9764543
219.0,6.0,0.24693304
262.0,6.3,0.13217902
269.0,3.8,-0.30923986
246.0,2.9,-0.18748212
232.0,2.6,-0.47794938
515.08,6.3,-1.0144051
170.0,2.04,0.07548356
398.0,7.0,-0.3200127
257.0,7.4,-0.39520204
261.0,8.2,-1.0251596
251.0,3.5,-0.2837152
198.0,1.61,-0.15726125
182.0,6.1,0.9923315
72.0,10.5,-0.80332994
215.0,10.95,-0.07891941
373.0,5.6,-0.62382424
580.0,6.3,-1.1424577
230.0,5.2,0.00094914436
655.0,2.5,-0.36771536
189.0,6.3,0.5249829
387.0,4.2,-0.47239953
486.0,4.7,-0.52706385
354.0,4.8,-0.32733208
156.0,7.17,-0.20218253
166.0,7.85,0.09024322
206.0,7.3,-0.41622922
613.0,3.0,-2.6315672
195.0,8.38,-0.2897488
687.0,7.7,5.239339
269.0,6.8,0.114359975
461.0,6.1,-0.23815033
132.0,10.8,-2.627599
202.0,9.3,-0.84447324
216.0,12.71,-1.1364787
246.0,4.9,-0.31062335
251.0,6.5,-0.08990139
219.0,5.7,0.20373368
255.0,6.9,-0.68083954
144.0,7.9,-0.8069725
198.0,4.8,0.16513026
