P_raw,DO_raw,interaction_shap_value
22.7,7.53,-0.34171844
59.7,6.0,-0.39012408
59.5,5.7,0.2062844
58.9,6.5,-0.313493
59.5,5.2,-0.24677181
17.2,1.5,0.0789119
19.2,9.36,-0.21280092
20.1,5.3,0.17913073
15.9,7.2,-0.37927634
41.8,10.74,-2.550529
35.4,11.37,0.3518753
57.6,7.1,-0.21267253
15.3,8.3,-0.596122
49.4,7.8,-2.09829
20.6,7.6,-0.32229424
17.5,10.64,-0.04846239
21.6,5.21,0.18219674
49.5,6.2,-0.19916359
63.1,8.0,0.58252573
29.3,8.99,-0.37931818
20.8,8.29,-0.346645
55.0,2.6,-0.32740366
14.4,10.2,-0.5621269
49.6,6.6,-0.17186278
19.6,9.2,-0.26107502
12.8,3.4,-0.083020926
41.7,10.99,-2.5402179
49.4,5.1,0.22764948
36.5,9.76,-0.81858325
58.9,6.6,-0.30493116
19.4,9.4,-0.32151067
19.3,2.6,0.14704597
21.0,6.5,0.10612738
68.0,8.2,0.40066832
50.4,0.2,0.122722745
16.6,3.1,0.061704397
20.5,7.7,-0.30375803
60.2,1.4,-0.01386106
16.5,3.9,0.043272853
49.1,4.9,0.1261723
59.3,2.1,-0.12856114
18.1,8.8,-0.52135146
18.1,4.5,0.110948384
16.6,4.4,0.08817017
49.5,6.4,-0.29387936
59.4,3.7,-0.155424
49.6,1.6,0.13165116
20.2,1.8,0.23900819
25.5,8.99,-0.36226618
49.0,4.9,0.19673696
17.3,8.47,-0.44255316
14.8,9.2,-0.30392537
18.4,8.4,-0.50318706
51.4,1.0,0.07207847
19.8,9.92,-0.46859324
18.5,7.8,-0.44032502
19.0,9.28,-0.23743689
60.2,4.5,-0.33475012
19.2,9.24,-0.23839158
17.9,0.4,0.09384072
39.2,8.5,-0.23620427
29.9,4.5,0.123416245
66.4,7.7,0.18029356
60.3,5.7,-0.15453136
17.4,10.6,-0.17080164
23.2,12.8,-0.45549893
18.1,6.3,0.04040581
17.8,2.6,0.15068626
58.6,6.2,-0.2304079
15.5,8.74,-0.5179107
16.4,9.9,-0.6839185
38.9,8.4,-0.23607558
59.7,5.0,-0.25184822
19.3,4.53,0.18247128
58.6,4.5,-0.14814645
61.5,5.4,-0.4927226
59.3,7.3,-0.029315233
58.6,6.2,-0.2140379
35.3,2.5,0.2004062
18.4,4.97,0.15449375
27.6,6.4,-0.03425443
61.4,4.4,-0.55754834
49.4,3.1,0.24078865
58.7,2.2,-0.2839502
17.2,10.5,0.3859458
21.8,7.99,-0.3495273
59.8,6.8,0.11132136
38.4,9.3,-0.5337372
18.1,9.45,-0.17934781
59.1,5.1,-0.29832336
16.1,9.42,-0.36916608
59.5,5.4,-0.3161375
59.4,2.1,-0.09907365
49.2,5.6,0.12848932
19.1,6.7,-0.01121825
28.7,11.71,-0.108334064
56.9,2.7,-0.5216328
49.4,5.7,0.1400966
49.2,6.5,0.12253711
16.3,8.99,-0.545609
51.4,1.5,0.2205615
51.4,5.4,-0.31452477
28.0,10.72,-0.21412325
23.1,5.3,0.16598785
16.6,3.5,0.08155364
59.6,5.7,-0.19225472
59.1,6.3,-0.22489965
35.4,9.04,-0.38971347
49.5,7.4,-0.4509859
54.1,3.0,0.0107758045
16.9,11.2,-0.17902923
14.1,7.9,-0.56024355
30.6,0.9,0.36144078
24.2,3.8,0.17462057
59.5,6.4,-0.19329557
16.1,8.2,-0.47350144
15.9,10.28,0.15714169
49.1,3.1,0.25056762
58.9,1.7,-0.15435886
38.4,6.08,0.02901131
49.3,6.3,0.15349522
60.3,2.1,-0.47823054
23.2,7.5,-0.33753645
22.2,7.0,-0.2950548
25.4,11.67,-0.053304195
41.0,5.2,0.31137037
58.8,6.1,-0.39800858
49.6,7.4,0.6509247
61.0,4.8,-0.41067404
59.5,6.7,-0.19824877
63.6,4.1,-0.38283718
49.5,7.5,-0.42924643
60.1,2.6,-0.3893093
42.4,11.21,-2.5941234
39.2,9.2,-0.49533892
58.7,3.0,-0.07566482
21.1,1.9,0.13504815
19.0,1.7,0.10415113
49.6,4.3,-0.1302455
18.5,7.2,-0.36287248
59.7,1.7,-0.0872331
59.7,3.1,-0.13202488
49.3,4.5,0.31055382
59.5,5.9,-0.20351467
56.5,3.6,0.047226623
48.9,5.5,0.021495342
20.1,5.0,0.17760429
60.6,5.0,-0.4955421
58.7,2.2,-0.3877281
62.3,5.0,-0.36143827
16.8,8.5,-0.48322833
49.1,3.2,0.28620338
20.7,4.05,0.1806829
21.0,6.6,0.1298033
37.0,12.03,-0.3179264
16.6,1.12,0.121913075
16.3,4.2,0.03211087
41.2,9.31,-0.25799668
16.8,7.93,-0.4267304
59.9,1.9,-0.40066248
49.6,5.9,-0.2198391
17.1,8.7,-0.41971296
60.0,1.3,-0.19340557
22.7,3.89,0.2167275
34.8,8.48,-0.3726437
69.1,6.5,0.20650935
17.0,5.9,0.05441594
59.4,3.8,-0.008780897
61.6,6.8,0.100416064
60.7,2.4,-0.4892422
18.7,6.2,0.0436216
20.3,7.7,-0.31626314
57.3,1.7,-0.37345016
27.2,10.7,0.19384813
15.8,7.66,-0.57013285
60.3,3.7,-0.6436138
59.1,5.8,-0.39117333
16.6,1.81,0.20094502
19.8,9.22,-0.15935844
16.6,8.1,-0.47983348
19.9,10.75,0.0038526058
65.3,6.7,0.23788291
49.4,5.9,0.14367601
17.4,3.1,0.044782877
59.8,5.0,-0.32388902
18.2,5.2,0.048074126
19.4,7.3,-0.9480764
18.0,9.01,-0.48068643
40.4,1.6,0.42783117
61.0,3.6,-0.53969866
33.1,11.81,-0.12126732
58.3,5.0,-0.05106151
49.2,5.1,-0.0056843758
60.0,2.1,-0.6182667
67.2,0.4,-0.47101474
35.1,12.18,-0.44120097
49.6,5.0,-0.22153258
15.3,0.5,0.058654666
20.6,3.39,0.1806829
38.1,5.6,0.10765335
33.7,7.35,-0.34163713
49.1,5.5,0.069218874
20.2,6.4,0.1127013
61.0,4.4,-0.48680925
18.2,7.6,-0.3436035
15.9,4.4,0.05038756
57.9,7.1,0.41548085
15.6,10.3,-0.0065379143
56.7,5.9,0.067035764
17.9,6.2,0.013454795
58.9,2.0,-0.08784604
54.0,1.4,-0.25577903
21.1,9.03,-0.35255718
49.6,7.0,0.025344372
54.1,3.0,0.053648263
17.9,7.8,-0.40902758
22.6,6.4,0.10612732
18.9,7.54,-0.3319863
18.1,8.65,-0.44305062
