,Q2i,Q2mbr,P,DO,pH2i,COD2i,NH3-N2i,pHO,CODo,NH3-NO,TempO,pHMBR
Q2i,2.4640448,0.06693784,0.10969317,0.158372,0.07754757,0.299644,0.16941108,0.4643569,1.7092992,0.17096289,0.25587362,0.38764867
Q2mbr,0.06693786,0.60713935,0.0899318,0.019284252,0.020328667,0.15497215,0.0729564,0.030614924,0.2482246,0.085519865,0.03279848,0.047531676
P,0.10969327,0.08993171,12.955065,0.3104289,0.052195076,3.7283473,0.8807816,0.95316243,2.4184275,0.3759027,0.3783332,0.5442588
DO,0.15837201,0.019284256,0.31042886,2.5508144,0.053322766,0.37384477,0.19398294,0.22116165,0.84801835,0.21440591,0.13595037,0.15067828
pH2i,0.07754763,0.020328676,0.05219505,0.053322736,1.339461,0.33272898,0.08732722,0.25816646,0.7622891,0.37101033,0.030394249,0.05569016
COD2i,0.29964414,0.15497196,3.7283485,0.37384477,0.33272895,38.066803,2.4918067,1.4342116,3.621315,1.1100678,0.56501025,0.9432908
NH3-N2i,0.1694111,0.072956346,0.8807815,0.19398293,0.08732722,2.4918065,3.498526,0.14907958,1.1185831,0.24030839,0.07821772,0.23804566
pHO,0.46435684,0.030614931,0.9531625,0.22116184,0.25816652,1.4342114,0.14907964,2.2289066,1.4354547,0.48618612,0.286389,0.26294512
CODo,1.7093005,0.24822403,2.4184284,0.8480196,0.76228976,3.621317,1.1185846,1.4354535,98.0223,1.3826047,4.018555,1.8422269
NH3-NO,0.17096287,0.08551988,0.37590256,0.21440598,0.3710103,1.1100674,0.24030828,0.4861859,1.3826047,1.7517068,0.20784527,0.42201167
TempO,0.25587362,0.032798484,0.3783332,0.13595034,0.030394198,0.5650098,0.0782178,0.28638893,4.0185556,0.20784527,9.926592,0.28269023
pHMBR,0.3876486,0.047531627,0.54425865,0.15067834,0.055690147,0.94329065,0.23804566,0.26294518,1.8422296,0.42201167,0.2826903,3.364122
