Date,CODMBR,CODMBR_rolling_mean_7,CODMBR_rolling_std_7,CODMBR_rolling_mean_14,CODMBR_rolling_std_14,CODMBR_rolling_mean_30,CODMBR_rolling_std_30
2021/1/1,475,475,,475,,475,
2021/1/2,484,479.5,6.363961031,479.5,6.363961031,479.5,6.363961031
2021/1/3,460,473,12.12435565,473,12.12435565,473,12.12435565
2021/1/4,520,484.75,25.5,484.75,25.5,484.75,25.5
2021/1/5,516,491,26.13426869,491,26.13426869,491,26.13426869
2021/1/6,507,493.6666667,24.27069564,493.6666667,24.27069564,493.6666667,24.27069564
2021/1/7,496,494,22.17355783,494,22.17355783,494,22.17355783
2021/1/8,485,495.4285714,21.03851344,492.875,20.77386751,492.875,20.77386751
2021/1/9,453,491,26.41968963,488.4444444,23.54310468,488.4444444,23.54310468
2021/1/10,441,488.2857143,30.75556473,483.7,26.79158243,483.7,26.79158243
2021/1/11,457,479.2857143,29.10162817,481.2727273,26.66117368,481.2727273,26.66117368
2021/1/12,460,471.2857143,24.68950037,479.5,26.15165561,479.5,26.15165561
2021/1/13,550,477.4285714,37.22390425,484.9230769,31.76859439,484.9230769,31.76859439
2021/1/14,621,495.2857143,66.2689326,494.6428571,47.47891377,494.6428571,47.47891377
2021/1/15,586,509.7142857,74.17931941,502.5714286,52.90443385,500.7333333,51.47463546
2021/1/16,549,523.4285714,70.7409762,507.2142857,53.99028199,503.75,51.17225811
2021/1/17,535,536.8571429,60.6943945,512.5714286,52.64936888,505.5882353,50.12367059
2021/1/18,521,546,50.64911977,512.6428571,52.66089944,506.4444444,48.76259683
2021/1/19,505,552.4285714,39.55526574,511.8571429,52.68901089,506.3684211,47.38988468
2021/1/20,499,545.1428571,44.46882268,511.2857143,52.7890265,506,46.15534411
2021/1/21,485,525.7142857,34.36429487,510.5,53.11489723,505,45.21946484
2021/1/22,491,512.1428571,23.68845409,510.9285714,52.91715482,504.3636364,44.23050601
2021/1/23,503,505.5714286,17.27095001,514.5,50.3308286,504.3043478,43.21451227
2021/1/24,492,499.4285714,11.85829025,518.1428571,46.28483244,503.7916667,42.33918851
2021/1/25,512,498.1428571,9.352870708,522.0714286,42.90681188,504.12,41.48023626
2021/1/26,498,497.1428571,8.858678822,524.7857143,39.76503793,503.8846154,40.65988384
2021/1/27,509,498.5714286,9.947481136,521.8571429,39.27194564,504.0740741,39.88244835
2021/1/28,556,508.7142857,22.31377964,517.2142857,29.20004892,505.9285714,40.34841644
2021/1/29,602,524.5714286,40.03272471,518.3571429,32.25286426,509.2413793,43.4524824
2021/1/30,622,541.5714286,52.63033708,523.5714286,42.01229543,513,47.40071293
2021/1/31,588,555.2857143,50.0023809,527.3571429,45.3746916,516.7666667,48.74754341
2021/2/1,563,562.5714286,46.21636486,530.3571429,46.30103362,519.4,49.04930665
2021/2/2,574,573.4285714,36.40447382,535.2857143,47.06040075,523.2,48.70346585
2021/2/3,545,578.5714286,27.15300562,538.5714286,45.92420894,524.0333333,48.86045106
2021/2/4,569,580.4285714,25.76080448,544.5714286,43.82607985,525.8,49.51377377
2021/2/5,541,571.7142857,27.50584353,548.1428571,41.07564718,526.9333333,49.45770282
2021/2/6,580,565.7142857,17.45197492,553.6428571,39.69810525,529.7333333,50.02063942
2021/2/7,601,567.5714286,20.62245655,561.4285714,37.29449183,533.6,50.91886718
2021/2/8,586,570.8571429,21.58262087,566.7142857,34.91842928,538.0333333,49.42739945
2021/2/9,611,576.1428571,26.46021272,574.7857143,30.60713484,543.7,47.63159629
2021/2/10,577,580.7142857,22.67681845,579.6428571,24.05956436,547.7,45.06941007
2021/2/11,564,580,23.18045153,580.2142857,23.54432341,551.1666667,41.98528752
2021/2/12,556,582.1428571,19.3513873,576.9285714,23.47982534,551.3666667,41.99382823
2021/2/13,536,575.8571429,26.12424526,570.7857143,21.98313539,548.5333333,39.95146481
2021/2/14,499,561.2857143,36.24782424,564.4285714,28.51912796,545.6333333,40.29416261
2021/2/15,521,552,37.17526059,561.4285714,30.79888681,544.7,40.53704138
2021/2/16,515,538.2857143,28.47053615,557.2142857,32.91055143,544.0333333,40.86519751
2021/2/17,502,527.5714286,25.42215007,554.1428571,35.99969475,543.4,41.3784885
2021/2/18,512,520.1428571,20.02855105,550.0714286,37.38667859,543.6333333,41.17371386
2021/2/19,503,512.5714286,12.99816837,547.3571429,39.42004009,543.7666667,41.03042045
2021/2/20,490,506,10.58300524,540.9285714,40.99430408,543.9333333,40.79294507
2021/2/21,472,502.1428571,16.70756886,531.7142857,40.95105629,543.3,41.7786862
2021/2/22,498,498.8571429,14.49630495,525.4285714,38.66764556,543.1333333,41.95460053
2021/2/23,485,494.5714286,13.31486817,516.4285714,31.15152617,542.9,42.26708999
2021/2/24,477,491,14.30617582,509.2857143,27.43784184,541.7333333,43.61108158
2021/2/25,485,487.1428571,10.94575369,503.6428571,23.10047333,541.3,44.1222049
2021/2/26,451,479.7142857,15.20651489,496.1428571,21.8028126,539.3666667,46.77715574
2021/2/27,421,469.8571429,25.97709614,487.9285714,26.73650425,534.8666667,51.38813316
2021/2/28,419,462.2857143,32.22170224,482.2142857,32.18260058,528.7666667,53.94229569
2021/3/1,429,452.4285714,29.94916328,475.6428571,33.03519602,522.3333333,53.94846413
2021/3/2,431,444.7142857,26.9673524,469.6428571,32.96526644,517.1,54.9641576
2021/3/3,424,437.1428571,23.62504724,464.0714286,33.65998374,512.4666667,56.78983234
2021/3/4,428,429,10.63014581,458.0714286,31.89999828,507.6,57.58507949
2021/3/5,419,424.4285714,4.961758521,452.0714286,30.67563374,503.4,59.3316802
2021/3/6,412,423.1428571,6.817344826,446.5,30.33847519,498.1666667,60.26269123
2021/3/7,410,421.8571429,8.395009856,442.0714286,30.85066833,493.8,61.7790278
2021/3/8,402,418,10.5039675,435.2142857,28.00049058,487.8666667,61.76246675
2021/3/9,399,413.4285714,10.86058843,429.0714286,25.56579532,481.1333333,59.98892618
2021/3/10,406,410.8571429,10.0403946,424,22.13941838,475.1333333,58.11091258
2021/3/11,359,401,19.66384161,415,21.01647705,466.7333333,55.96793006
2021/3/12,346,390.5714286,26.64493162,407.5,25.44904411,459.0333333,56.16446498
2021/3/13,355,382.4285714,27.69390512,402.7857143,28.66565506,452.0666667,55.65530203
2021/3/14,364,375.8571429,25.42589606,398.8571429,30.00988848,445.6666667,54.31474895
2021/3/15,340,367,25.59947916,392.5,32.4600346,439.1333333,54.85952803
2021/3/16,347,359.5714286,22.06699755,386.5,32.55941315,434.0666667,56.14386283
2021/3/17,350,351.5714286,8.263517065,381.2142857,32.00523652,428.3666667,55.69218563
2021/3/18,387,355.5714286,15.79933694,378.2857143,29.14269554,424.1,53.6934787
2021/3/19,375,359.7142857,16.65046832,375.1428571,26.68291629,419.8666667,52.32902098
2021/3/20,367,361.4285714,16.70186759,371.9285714,24.52460079,415.0333333,50.17794771
2021/3/21,351,359.5714286,17.08661409,367.7142857,22.461689,409.9666667,48.63976189
2021/3/22,361,362.5714286,14.76321039,364.7857143,20.20730474,405.6666667,46.9947417
2021/3/23,354,363.5714286,13.73386499,361.5714286,17.77947947,401.7333333,46.18249656
2021/3/24,345,362.8571429,14.65638168,357.2142857,12.84330757,396.6333333,43.55850868
2021/3/25,353,358,10.31180553,356.7857143,12.87919355,392.2333333,40.91090684
2021/3/26,345,353.7142857,8.056349167,356.7142857,12.94621163,387.8333333,38.50757501
